,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
0,58.424,1998,293,2034,1411,1739,10360.0,99.60940590025096,21.3054287963251
1,72.393,1986,259,1041,1455,2202,10360.0,99.5955058325887,21.304597864144192
2,112.628,1890,163,946,1360,2106,10360.0,99.59654823174124,21.304597864144192
3,124.524,1812,250,868,1282,2028,10360.0,99.59759063089383,21.304597864144196
4,137.256,1998,293,2034,1411,1739,10360.0,99.60905702157207,21.304597864144196
5,0.291,2472,1079,1893,547,1831,10360.0,99.6142690173349,21.304597864144192
6,118.667,1986,259,1041,1455,2202,10360.0,99.5951570183982,21.30376693375247
7,179.71,1925,199,981,1395,2142,10360.0,99.59619941389997,21.303766933752467
8,143.004,1763,203,818,1232,1979,10360.0,99.59724180940175,21.303766933752467
9,119.431,1807,247,863,1277,2023,10360.0,99.59828420490348,21.30376693375247
10,25.429,1829,0,1865,1360,1587,10360.0,99.60766576441938,21.303766933752467
11,48.565,1885,180,1921,1298,1626,10360.0,99.60870815992118,21.30376693375247
12,28.666,2172,786,1717,856,1655,10360.0,99.61079295092466,21.303766933752467
13,14.115,2172,786,1717,856,1655,10360.0,99.61183534642646,21.303766933752467
14,73.121,2241,848,1662,704,1600,10360.0,99.61287774192823,21.303766933752474
15,82.07,2427,1034,1846,495,1784,10360.0,99.61392013742999,21.303766933752474
16,118.521,2385,992,1803,452,1741,10360.0,99.61496253293173,21.303766933752467
17,8.622,2613,1215,2002,0,1940,10360.0,99.6170473239353,21.303766933752467
18,16.261,2613,1215,2002,0,1940,10360.0,99.61808971943704,21.303766933752474
19,131.727,1843,116,899,1313,2059,10360.0,99.59585061308405,21.302936005149853
20,158.792,1726,0,782,1196,1942,10360.0,99.59689300493518,21.302936005149853
21,140.64,1653,96,709,1123,1870,10360.0,99.59793539678631,21.30293600514985
22,43.109,1782,254,838,1252,1998,10360.0,99.59897778863744,21.302936005149853
23,97.604,1720,115,1756,1527,1478,10360.0,99.60627453159543,21.302936005149853
24,21.827,1829,0,1865,1360,1587,10360.0,99.60731692344659,21.302936005149853
