,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.051,3044,1076,1952,1959,652,10466.0,106.75983211796265,31.869990693801967
1,60.615,3044,1076,1952,1959,652,10466.0,106.76093621211605,31.86999069380197
2,0.031,2692,1167,1544,1551,716,10466.0,106.76618288125461,31.866548195886367
3,3.458,2692,1167,1544,1551,716,10466.0,106.76728694974179,31.866548195886374
4,1.648,3263,1242,1189,1029,929,10466.0,106.75341776819889,31.865687578994372
5,12.463,3259,1238,1185,1025,925,10466.0,106.75452183027016,31.865687578994365
6,0.232,3273,1252,1198,1039,939,10466.0,106.75562589234147,31.86568757899437
7,18.076,2955,43,1780,1787,28,10466.0,106.75672995441278,31.86568757899437
8,37.801,2926,7,1750,1758,65,10466.0,106.75783401648408,31.865687578994365
9,2.181,2683,1158,1535,1542,707,10466.0,106.76556245098328,31.865687578994365
10,49.647,2687,1163,1539,1546,711,10466.0,106.76666651305462,31.865687578994372
11,9.502,4012,1365,2225,2065,786,10466.0,106.75169337972598,31.86482696513688
12,1.056,3208,1187,1134,974,875,10466.0,106.75390149103744,31.86482696513688
13,0.566,3163,1142,1089,929,830,10466.0,106.75500554669314,31.864826965136878
14,26.6,2984,72,1808,1815,0,10466.0,106.75610960234887,31.864826965136878
15,53.173,2984,72,1808,1815,0,10466.0,106.75721365800459,31.864826965136885
16,50.624,2786,140,1610,1618,0,10466.0,106.75831771366033,31.864826965136885
17,67.413,2692,234,1516,1523,94,10466.0,106.75942176931605,31.864826965136878
18,76.786,2482,444,1306,1313,7,10466.0,106.76162988062751,31.86482696513688
19,3.318,2481,957,1333,1340,505,10466.0,106.76494204759467,31.86482696513688
20,37.995,2481,957,1333,1340,505,10466.0,106.7660461032504,31.864826965136878
21,2.163,3452,805,1665,1505,226,10466.0,106.75107308020264,31.8639663543138
22,0.0,3452,805,1665,1505,226,10466.0,106.75217712944307,31.863966354313796
23,22.068,3246,600,1417,1257,21,10466.0,106.75328117868347,31.8639663543138
24,59.894,3083,1062,1008,849,749,10466.0,106.75438522792388,31.8639663543138
25,77.172,3047,1026,972,813,713,10466.0,106.75548927716427,31.863966354313796
26,94.064,2546,863,1195,1115,213,10466.0,106.75880142488555,31.8639663543138
27,65.92,2593,910,1242,1161,260,10466.0,106.75990547412594,31.8639663543138
28,86.288,2474,451,1299,1306,0,10466.0,106.76100952336635,31.8639663543138
29,91.592,2325,601,1149,1156,149,10466.0,106.76211357260678,31.8639663543138
30,48.635,2325,601,1149,1156,149,10466.0,106.76321762184719,31.863966354313796
31,19.862,2382,858,1234,1241,406,10466.0,106.7643216710876,31.863966354313792
32,14.145,2481,957,1333,1340,505,10466.0,106.76542572032803,31.8639663543138
33,56.65,3452,805,1665,1505,226,10466.0,106.75045280755634,31.863105746524983
34,35.818,3452,805,1665,1505,226,10466.0,106.75155685038173,31.863105746524987
35,79.026,2890,900,847,687,556,10466.0,106.75486897885789,31.863105746524983
36,44.676,2874,916,862,703,541,10466.0,106.75597302168326,31.863105746524983
37,54.358,2504,821,1153,1072,171,10466.0,106.75818110733402,31.86310574652498
38,66.872,2475,800,1122,1082,150,10466.0,106.75928515015939,31.863105746524983
39,80.185,2333,650,1157,1164,0,10466.0,106.76038919298477,31.863105746524987
40,99.085,2325,601,1149,1156,149,10466.0,106.76149323581016,31.863105746524983
41,55.131,2325,601,1149,1156,149,10466.0,106.76259727863551,31.86310574652498
42,38.556,2261,727,1104,1111,276,10466.0,106.76370132146093,31.863105746524987
43,51.065,2332,856,1186,1194,405,10466.0,106.7648053642863,31.863105746524983
44,44.413,2048,373,1566,1573,821,10466.0,106.76701344993707,31.863105746524987
45,10.796,1992,317,1622,1617,877,10466.0,106.76811749276244,31.86310574652498
46,9.658,1923,0,1940,1549,1194,10466.0,106.77032557841318,31.86310574652498
47,42.263,1923,0,1940,1549,1194,10466.0,106.77142962123858,31.863105746524987
48,62.315,3291,469,416,256,256,10466.0,106.74983256178595,31.86224514177033
49,48.126,3291,469,416,256,256,10466.0,106.75093659819659,31.862245141770327
50,29.844,3184,935,1082,922,356,10466.0,106.7520406346072,31.862245141770334
51,55.723,2910,861,807,648,590,10466.0,106.75424870742849,31.862245141770334
52,95.274,2874,916,862,703,541,10466.0,106.7553527438391,31.862245141770327
53,81.164,2839,1098,892,899,928,10466.0,106.7564567802497,31.862245141770327
54,75.318,2815,1075,869,876,905,10466.0,106.75756081666034,31.86224514177033
55,97.54,2333,650,1157,1164,0,10466.0,106.75976888948159,31.862245141770327
56,76.915,2345,1016,906,913,366,10466.0,106.76087292589222,31.862245141770327
57,27.557,2134,791,958,966,198,10466.0,106.76197696230285,31.862245141770327
58,37.34,2149,820,979,986,265,10466.0,106.76308099871348,31.862245141770327
59,66.347,2048,878,1030,1037,285,10466.0,106.7641850351241,31.862245141770327
60,48.993,1992,317,1622,1617,877,10466.0,106.76749714435599,31.862245141770334
61,5.328,1918,4,1935,1544,1190,10466.0,106.76970521717726,31.862245141770327
62,36.437,1918,4,1935,1544,1190,10466.0,106.77080925358788,31.862245141770327
63,2.111,4098,361,390,427,361,10466.0,106.74369219290955,31.861384540049713
64,51.886,4058,321,350,387,321,10466.0,106.74479622290572,31.861384540049716
65,83.661,3707,412,0,199,32,10466.0,106.747004282898,31.861384540049713
66,91.618,3383,377,358,164,164,10466.0,106.74921234289035,31.861384540049713
67,87.756,3364,397,377,184,184,10466.0,106.75031637288646,31.861384540049713
68,69.087,3184,935,1082,922,356,10466.0,106.75142040288262,31.861384540049713
69,66.795,3184,935,1082,922,356,10466.0,106.75252443287879,31.86138454004971
70,65.894,2792,1052,846,853,882,10466.0,106.7569405528634,31.861384540049713
71,99.446,2698,958,751,759,793,10466.0,106.75804458285951,31.861384540049713
72,123.857,2345,1016,906,913,366,10466.0,106.7591486128557,31.861384540049713
73,113.814,2352,1022,900,907,372,10466.0,106.76025264285182,31.861384540049713
74,35.611,2264,919,870,877,359,10466.0,106.76135667284797,31.861384540049713
75,53.713,2048,878,1030,1037,285,10466.0,106.76246070284414,31.861384540049713
76,31.359,2048,878,1030,1037,285,10466.0,106.76356473284031,31.861384540049713
77,58.869,1791,652,1287,1294,541,10466.0,106.7657727928326,31.861384540049713
78,35.938,1672,353,1624,1297,878,10466.0,106.76908488282106,31.861384540049713
79,46.329,1772,248,1729,1398,983,10466.0,106.7701889128172,31.861384540049713
80,27.121,1723,199,1778,1349,1032,10466.0,106.77129294281335,31.86138454004971
81,46.75,1558,368,1947,1183,1202,10466.0,106.7723969728095,31.861384540049713
82,40.768,1530,393,1964,1155,1219,10466.0,106.77350100280566,31.861384540049716
83,5.873,3890,2365,2742,2749,1913,10466.0,106.77681309279413,31.861384540049713
84,1.62,3870,2345,2721,2729,1893,10466.0,106.77791712279026,31.861384540049713
85,16.746,3891,2367,2743,2750,1915,10466.0,106.7790211527864,31.86138454004971
86,71.842,3648,112,300,100,100,10466.0,106.74748812728633,31.86052394136302
87,41.226,3534,227,213,14,14,10466.0,106.74859215086829,31.860523941363017
88,97.849,3285,114,319,286,99,10466.0,106.75300824519609,31.860523941363017
89,22.09,2264,953,797,805,359,10466.0,106.76073641026977,31.860523941363017
90,52.887,2970,923,842,849,827,10466.0,106.76184043385175,31.860523941363017
91,22.401,1791,652,1287,1294,541,10466.0,106.76515250459758,31.86052394136302
92,39.771,1706,605,1364,1329,629,10466.0,106.76625652817954,31.860523941363017
93,44.506,1688,507,1492,1314,747,10466.0,106.7673605517615,31.860523941363017
94,55.691,1632,393,1628,1257,882,10466.0,106.76846457534346,31.860523941363017
95,49.896,1655,370,1655,1280,910,10466.0,106.76956859892539,31.86052394136302
96,44.724,1723,225,1778,1349,1032,10466.0,106.77067262250736,31.860523941363013
97,70.397,1530,393,1964,1155,1219,10466.0,106.77177664608931,31.86052394136302
98,51.298,1530,393,1964,1155,1219,10466.0,106.77288066967125,31.860523941363013
99,50.021,1388,541,1919,1018,1371,10466.0,106.77398469325321,31.86052394136302
100,26.763,1411,673,1943,1062,1506,10466.0,106.77508871683517,31.860523941363017
101,1.137,1429,690,1961,1080,1524,10466.0,106.77619274041712,31.86052394136302
102,2.773,3891,2367,2743,2750,1915,10466.0,106.77729676399909,31.860523941363017
103,6.73,3891,2367,2743,2750,1915,10466.0,106.77840078758103,31.860523941363017
104,19.472,4107,2583,2959,2966,2131,10466.0,106.77950481116301,31.860523941363017
105,2.181,4108,2583,2960,2967,2131,10466.0,106.78060883474492,31.860523941363017
106,6.814,4302,2778,3154,3161,2326,10466.0,106.78171285832687,31.860523941363017
107,0.249,4301,2777,3153,3160,2325,10466.0,106.78281688190884,31.860523941363017
108,47.047,3705,56,356,83,50,10466.0,106.74686796855063,31.85966334571011
109,88.005,3648,112,300,100,100,10466.0,106.74797198571869,31.85966334571011
110,82.683,3450,373,360,22,22,10466.0,106.74907600288671,31.859663345710114
111,51.397,3438,380,367,10,10,10466.0,106.75018002005474,31.859663345710107
112,94.965,3285,114,319,286,99,10466.0,106.75238805439083,31.859663345710114
113,93.137,3400,0,433,401,213,10466.0,106.75349207155885,31.85966334571011
114,71.533,2972,462,259,226,248,10466.0,106.75459608872688,31.85966334571011
115,76.76,2960,473,271,238,260,10466.0,106.75570010589493,31.85966334571011
116,121.591,2731,749,418,425,535,10466.0,106.75680412306295,31.85966334571011
117,101.017,2588,811,480,487,597,10466.0,106.75790814023098,31.859663345710114
118,40.35,2526,767,548,556,602,10466.0,106.75901215739901,31.859663345710114
119,39.677,2753,705,624,632,610,10466.0,106.76011617456705,31.859663345710114
120,24.769,2924,876,795,803,781,10466.0,106.76122019173509,31.859663345710114
121,1.885,2970,923,842,849,827,10466.0,106.76232420890312,31.859663345710114
122,34.692,1617,574,1462,1242,716,10466.0,106.76674027757527,31.85966334571011
123,45.239,1617,574,1462,1242,716,10466.0,106.76784429474327,31.859663345710107
124,52.264,1543,482,1716,1169,971,10466.0,106.76894831191133,31.85966334571011
125,58.402,1480,564,1798,1106,1053,10466.0,106.77005232907936,31.85966334571011
126,41.204,1389,752,1920,1014,1241,10466.0,106.7711563462474,31.85966334571011
127,55.863,1389,752,1920,1014,1241,10466.0,106.7722603634154,31.859663345710118
128,78.794,1379,543,1911,1005,1369,10466.0,106.77336438058344,31.85966334571011
129,52.031,1337,592,1869,975,1422,10466.0,106.7744683977515,31.859663345710114
130,55.224,1366,788,1897,1033,1660,10466.0,106.77557241491954,31.85966334571011
131,14.597,1384,806,1915,1051,1678,10466.0,106.77667643208756,31.859663345710114
132,20.641,4301,2777,3153,3160,2325,10466.0,106.78109250075968,31.859663345710107
133,32.99,4301,2777,3153,3160,2325,10466.0,106.78219651792772,31.85966334571011
134,8.214,3782,44,457,20,44,10466.0,106.74624783668597,31.858802753090874
135,23.723,3793,55,467,10,55,10466.0,106.74735184744036,31.858802753090878
136,68.778,3584,243,534,196,196,10466.0,106.74955986894916,31.85880275309088
137,45.655,3191,231,202,169,18,10466.0,106.75176789045793,31.85880275309088
138,55.826,3069,330,128,95,117,10466.0,106.75287190121232,31.858802753090878
139,36.565,3049,367,94,61,153,10466.0,106.75397591196672,31.858802753090874
140,22.943,2854,545,292,259,332,10466.0,106.75507992272111,31.858802753090874
141,92.545,2852,553,288,261,339,10466.0,106.75618393347553,31.858802753090878
142,68.134,2726,729,384,392,501,10466.0,106.7572879442299,31.858802753090874
143,56.704,2659,799,471,478,527,10466.0,106.75839195498426,31.858802753090874
144,12.867,2766,692,612,619,597,10466.0,106.75949596573867,31.858802753090874
145,0.0,2877,830,749,756,734,10466.0,106.76059997649307,31.858802753090874
146,37.543,1378,647,1700,1004,955,10466.0,106.76943206252821,31.858802753090878
147,45.223,1393,697,1905,1019,1160,10466.0,106.77053607328261,31.858802753090878
148,57.14,1265,687,1796,890,1365,10466.0,106.77164008403696,31.85880275309088
149,55.427,1197,620,1729,823,1372,10466.0,106.77274409479135,31.858802753090878
150,63.231,1185,608,1717,829,1568,10466.0,106.77384810554575,31.858802753090874
151,62.515,1179,601,1711,841,1580,10466.0,106.77495211630014,31.858802753090874
152,36.608,1241,663,1773,909,1737,10466.0,106.77605612705453,31.858802753090874
153,15.141,3584,243,534,196,196,10466.0,106.74893974471426,31.857942163505196
154,70.374,3266,315,204,222,101,10466.0,106.7511477533963,31.8579421635052
155,106.012,3266,315,204,222,101,10466.0,106.75225175773734,31.857942163505196
156,89.816,3082,453,19,52,119,10466.0,106.75335576207836,31.857942163505204
157,78.769,2986,512,103,110,220,10466.0,106.75445976641939,31.857942163505204
158,100.733,2880,649,241,248,346,10466.0,106.75556377076043,31.857942163505196
159,61.027,2888,704,297,304,307,10466.0,106.75666777510145,31.857942163505204
160,1.823,2803,787,397,405,383,10466.0,106.75777177944246,31.857942163505204
161,0.0,2698,777,502,509,487,10466.0,106.7588757837835,31.857942163505204
162,9.565,2364,569,563,1020,999,10466.0,106.76218779680657,31.857942163505204
163,25.704,1279,701,1799,905,1053,10466.0,106.76991582719376,31.857942163505204
164,33.399,1149,586,1428,770,1188,10466.0,106.77101983153477,31.8579421635052
165,56.065,1197,620,1729,823,1372,10466.0,106.77212383587582,31.857942163505196
166,53.37,1089,511,1621,715,1533,10466.0,106.77322784021683,31.8579421635052
167,64.244,1177,599,1709,845,1673,10466.0,106.77433184455788,31.8579421635052
168,50.005,1177,599,1709,845,1673,10466.0,106.77543584889891,31.857942163505204
169,257.937,2181,950,2143,1848,2705,10466.0,106.78316387928606,31.857942163505204
170,253.532,2181,950,2143,1848,2705,10466.0,106.78426788362711,31.8579421635052
171,36.642,3563,596,1335,1098,1218,10466.0,106.746111651493,31.857081576952947
172,34.891,3565,591,1337,1100,1220,10466.0,106.74721564942097,31.857081576952947
173,0.978,3442,475,1215,977,1098,10466.0,106.7483196473489,31.857081576952947
174,29.406,3283,427,315,333,182,10466.0,106.7516316411327,31.85708157695295
175,70.967,3283,427,315,333,182,10466.0,106.75273563906063,31.857081576952947
176,78.923,3110,573,139,172,9,10466.0,106.75383963698857,31.857081576952947
177,42.101,3073,608,231,238,141,10466.0,106.75494363491653,31.857081576952947
178,0.206,2911,714,309,316,274,10466.0,106.75604763284446,31.857081576952947
179,15.64,2511,437,637,875,853,10466.0,106.76046362455625,31.85708157695295
180,52.404,2364,569,563,1020,999,10466.0,106.76156762248418,31.857081576952947
181,60.863,2190,552,547,1157,1230,10466.0,106.76267162041212,31.857081576952947
182,79.183,2107,641,636,1245,1318,10466.0,106.76377561834005,31.85708157695295
183,70.802,2058,782,777,1387,1460,10466.0,106.764879616268,31.857081576952943
184,21.669,1956,903,898,1337,1407,10466.0,106.76598361419593,31.857081576952947
185,0.218,1925,935,929,1305,1438,10466.0,106.76708761212389,31.857081576952947
186,42.668,1149,586,1428,770,1188,10466.0,106.77039960590768,31.857081576952947
187,45.239,1079,501,1611,705,1254,10466.0,106.77150360383563,31.85708157695295
188,51.828,1079,501,1611,705,1254,10466.0,106.7726076017636,31.85708157695295
189,61.346,1034,456,1565,701,1558,10466.0,106.77371159969151,31.857081576952947
190,54.757,1620,389,1583,1288,2145,10466.0,106.77702359347533,31.857081576952947
191,26.436,1620,389,1583,1288,2145,10466.0,106.77812759140328,31.85708157695295
192,29.412,2181,950,2143,1848,2705,10466.0,106.78254358311506,31.857081576952947
193,245.14,2181,950,2143,1848,2705,10466.0,106.78364758104298,31.857081576952947
194,59.637,3604,575,1762,1474,1645,10466.0,106.74328361079137,31.856220993434018
195,91.412,3567,587,1339,1102,1222,10466.0,106.74549159382167,31.856220993434018
196,95.274,3567,587,1339,1102,1222,10466.0,106.74659558533676,31.856220993434015
197,45.294,3426,456,1198,961,1081,10466.0,106.7476995768519,31.85622099343401
198,24.797,3403,503,1255,1018,1138,10466.0,106.74880356836702,31.856220993434015
199,0.0,3101,573,139,172,0,10466.0,106.75321953442757,31.856220993434015
200,0.0,2674,210,446,518,591,10466.0,106.75653150897296,31.85622099343401
201,1.682,2586,175,412,626,699,10466.0,106.75763550048809,31.856220993434018
202,21.653,2499,262,463,713,786,10466.0,106.75873949200322,31.85622099343402
203,52.825,2351,340,334,923,996,10466.0,106.75984348351837,31.85622099343401
204,68.029,2309,377,371,970,1043,10466.0,106.76094747503346,31.856220993434015
205,57.872,2190,552,547,1157,1230,10466.0,106.76205146654861,31.85622099343401
206,63.823,2087,635,617,1232,1313,10466.0,106.76315545806375,31.856220993434015
