,POP_2015,active_living,education,food_choices,ID_HDC_G0,lng,lat
0,4.082,2033,2750,3003,10803.0,116.0227414582801,39.14269517502622
1,5.367,2033,2750,3003,10803.0,116.0239098586553,39.14269517502621
2,17.555,1543,3155,2513,10803.0,116.02858346015614,39.14269517502621
3,68.842,1543,3155,2513,10803.0,116.02975186053135,39.14269517502622
4,19.993,1571,5000,0,10803.0,116.05078306728508,39.142695175026226
5,35.25,1571,5000,0,10803.0,116.05195146766029,39.142695175026205
6,37.055,1769,5000,0,10803.0,116.05311986803551,39.142695175026226
7,9.851,1769,5000,0,10803.0,116.05428826841069,39.14269517502622
8,1.682,2033,2750,3003,10803.0,116.02299212001822,39.141804661807484
9,0.057,1543,3155,2513,10803.0,116.02766568455127,39.141804661807484
10,18.765,1543,3155,2513,10803.0,116.02883407568454,39.14180466180749
11,42.405,1571,5000,0,10803.0,116.05103350721662,39.14180466180748
12,24.271,1769,5000,0,10803.0,116.05337028948311,39.141804661807484
13,48.188,950,2562,1920,10803.0,116.02891915111907,39.137352159025454
14,79.274,950,2562,1920,10803.0,116.03008749604892,39.137352159025454
15,67.255,507,2996,1477,10803.0,116.0335925308383,39.137352159025454
16,80.729,504,2999,1474,10803.0,116.03476087576809,39.137352159025454
17,70.43,0,3497,970,10803.0,116.03943425548731,39.137352159025454
18,88.911,0,3497,970,10803.0,116.04060260041712,39.137352159025454
19,92.464,310,3808,659,10803.0,116.0429392902767,39.137352159025454
20,61.624,310,3808,659,10803.0,116.04410763520653,39.137352159025454
21,36.755,970,4466,0,10803.0,116.05111770478534,39.13735215902545
22,79.689,970,4466,0,10803.0,116.05228604971515,39.137352159025454
23,7.842,950,2562,1920,10803.0,116.02800157727846,39.136461671130164
24,51.381,950,2562,1920,10803.0,116.02916991296884,39.136461671130164
25,64.439,500,3003,1470,10803.0,116.03384325573023,39.136461671130164
26,81.277,0,3497,970,10803.0,116.03968493418203,39.136461671130164
27,91.708,310,3808,659,10803.0,116.0431899412531,39.136461671130164
28,60.301,970,4466,0,10803.0,116.05019995539523,39.136461671130164
29,61.397,970,4466,0,10803.0,116.05136829108561,39.136461671130164
30,69.069,1825,1124,3631,10803.0,116.01356602392903,39.13379023276354
31,88.174,2082,1510,3059,10803.0,116.01940756380165,39.13379023276356
32,77.403,2082,1510,3059,10803.0,116.02057587177619,39.13379023276355
33,75.702,1819,1772,2796,10803.0,116.02291248772522,39.133790232763545
34,80.899,1819,1772,2796,10803.0,116.02408079569975,39.13379023276356
35,82.316,1570,1932,2547,10803.0,116.02524910367426,39.13379023276355
36,70.543,1570,1932,2547,10803.0,116.02641741164875,39.133790232763545
37,60.282,1320,2173,2293,10803.0,116.02875402759784,39.13379023276355
38,68.483,1320,2173,2293,10803.0,116.02992233557235,39.13379023276356
39,71.437,886,2611,1855,10803.0,116.03342725949592,39.133790232763545
40,62.741,882,2614,1852,10803.0,116.03459556747042,39.133790232763545
41,77.195,380,3117,1349,10803.0,116.03926879936853,39.13379023276356
42,88.174,380,3117,1349,10803.0,116.04043710734305,39.13379023276355
43,78.556,688,3435,1031,10803.0,116.04277372329206,39.133790232763545
44,75.816,688,3435,1031,10803.0,116.04394203126658,39.13379023276355
45,43.558,953,3700,766,10803.0,116.04627864721564,39.133790232763545
46,42.351,953,3700,766,10803.0,116.04744695519015,39.13379023276356
47,68.767,1344,4092,374,10803.0,116.05095187911374,39.133790232763545
48,62.21,1344,4092,374,10803.0,116.05212018708825,39.13379023276355
49,51.136,1825,1124,3631,10803.0,116.01264870773711,39.13289976174718
50,83.847,2082,1510,3059,10803.0,116.01965850015759,39.13289976174718
51,47.769,1819,1772,2796,10803.0,116.0231633963678,39.13289976174718
52,79.368,1570,1932,2547,10803.0,116.02549999384128,39.13289976174718
53,100.854,1320,2173,2293,10803.0,116.02783659131477,39.13289976174719
54,66.972,1320,2173,2293,10803.0,116.02900489005151,39.13289976174718
55,93.862,814,3319,1158,10803.0,116.0430244748924,39.13289976174718
56,87.456,819,3313,1163,10803.0,116.04419277362913,39.13289976174718
57,54.595,1080,3585,893,10803.0,116.04652937110262,39.13289976174718
58,28.701,1080,3585,893,10803.0,116.04769766983937,39.13289976174718
59,91.255,1309,1671,2804,10803.0,116.02691919634506,39.132009294950116
60,81.995,1060,1913,2553,10803.0,116.0292557753438,39.132009294950116
61,84.508,825,3308,1169,10803.0,116.04327524933632,39.132009294950116
62,61.625,1080,3585,893,10803.0,116.0456118283351,39.132009294950116
63,59.803,1080,3585,893,10803.0,116.04678011783446,39.132009294950116
64,31.731,1518,3941,548,10803.0,116.05028498633258,39.132009294950116
65,45.58,1518,3941,548,10803.0,116.05145327583197,39.13200929495011
66,101.61,1772,4195,802,10803.0,116.05378985483073,39.132009294950116
67,80.351,1772,4195,802,10803.0,116.05495814433009,39.13200929495011
68,78.518,1534,833,3797,10803.0,116.01431904006216,39.13111883237219
69,82.448,1534,833,3797,10803.0,116.01548732032458,39.13111883237218
70,90.877,1820,1245,3320,10803.0,116.01899216111187,39.13111883237219
71,82.94,1820,1245,3320,10803.0,116.0201604413743,39.13111883237218
72,84.414,1309,1671,2804,10803.0,116.02600184268643,39.13111883237218
73,93.39,1060,1913,2553,10803.0,116.02833840321131,39.13111883237219
74,105.012,1060,1913,2553,10803.0,116.02950668347374,39.13111883237219
75,82.675,1599,3860,629,10803.0,116.05053572819743,39.13111883237219
76,17.952,1599,3860,629,10803.0,116.05170400845991,39.131118832372195
77,76.855,1890,4079,920,10803.0,116.05404056898475,39.131118832372195
78,73.567,1890,4079,920,10803.0,116.05520884924717,39.13111883237219
79,34.261,1826,3996,1003,10803.0,116.05312303495819,39.13022837401322
80,36.661,1826,3996,1003,10803.0,116.05429130598411,39.13022837401322
81,87.645,1313,612,3953,10803.0,116.01482116497529,39.129337919873045
82,83.11,1313,612,3953,10803.0,116.01598942676507,39.12933791987305
83,83.204,1595,1020,3544,10803.0,116.0194942121344,39.12933791987305
84,95.582,1595,1020,3544,10803.0,116.02066247392418,39.12933791987305
85,79.009,1081,1442,3030,10803.0,116.02533552108332,39.12933791987305
86,82.883,1081,1442,3030,10803.0,116.02650378287309,39.129337919873045
87,86.379,832,1685,2781,10803.0,116.02884030645265,39.129337919873045
88,77.252,832,1685,2781,10803.0,116.03000856824241,39.129337919873045
89,77.384,624,1893,2576,10803.0,116.03117683003222,39.12933791987305
90,84.074,624,1893,2576,10803.0,116.03234509182198,39.12933791987305
91,73.17,396,2121,2348,10803.0,116.03351335361177,39.129337919873045
92,69.485,388,2128,2341,10803.0,116.03468161540152,39.12933791987305
93,54.166,174,2343,2133,10803.0,116.03584987719134,39.129337919873045
94,50.795,174,2343,2133,10803.0,116.03701813898108,39.12933791987305
95,49.152,459,2628,1848,10803.0,116.03935466256065,39.129337919873045
96,61.019,459,2628,1848,10803.0,116.04052292435044,39.129337919873045
97,91.084,773,2943,1534,10803.0,116.04285944793001,39.12933791987305
98,85.396,773,2943,1534,10803.0,116.0440277097198,39.129337919873045
99,21.713,1438,3608,881,10803.0,116.05103728045847,39.12933791987305
100,6.52,1438,3608,881,10803.0,116.05220554224823,39.129337919873045
101,2.929,1695,3864,1135,10803.0,116.05337380403802,39.129337919873045
102,6.444,1695,3864,1135,10803.0,116.05454206582779,39.129337919873045
103,36.52,773,2943,1534,10803.0,116.04311032297404,39.12844746995151
104,49.297,1438,3608,881,10803.0,116.05011983829853,39.128447469951496
105,10.555,1438,3608,881,10803.0,116.05128809085261,39.12844746995151
106,0.076,1695,3864,1135,10803.0,116.05362459596074,39.128447469951496
107,52.068,1105,404,4105,10803.0,116.01532338120518,39.127557024248425
108,92.596,1105,404,4105,10803.0,116.01649162452397,39.127557024248425
109,84.338,1535,981,3485,10803.0,116.02233284111796,39.127557024248425
110,69.813,1535,981,3485,10803.0,116.02350108443677,39.12755702424843
111,87.948,1278,1239,3227,10803.0,116.02583757107435,39.127557024248425
112,88.344,1278,1239,3227,10803.0,116.02700581439314,39.12755702424843
113,90.442,1032,1484,2981,10803.0,116.02817405771194,39.12755702424841
114,87.532,1032,1484,2981,10803.0,116.02934230103072,39.127557024248425
115,73.17,220,2302,2520,10803.0,116.0340152743059,39.127557024248425
116,51.136,0,2517,2307,10803.0,116.03635176094348,39.127557024248425
117,44.805,105,2623,2201,10803.0,116.03752000426229,39.127557024248425
118,43.86,105,2623,2201,10803.0,116.03868824758106,39.127557024248425
119,73.397,285,2802,2022,10803.0,116.03985649089988,39.127557024248425
120,48.528,600,3117,1708,10803.0,116.04336122085626,39.127557024248425
121,61.91,1266,3782,1057,10803.0,116.05037068076903,39.127557024248425
122,17.593,1266,3782,1057,10803.0,116.05153892408784,39.127557024248425
123,60.865,1105,404,4105,10803.0,116.01557452356143,39.12666658276363
124,76.628,1535,981,3485,10803.0,116.02258392806499,39.12666658276363
125,89.629,1278,1239,3227,10803.0,116.02608863031675,39.12666658276363
126,81.088,627,73,4540,10803.0,116.01232101419542,39.12577614549694
127,84.716,664,36,4503,10803.0,116.0134892390449,39.12577614549696
128,88.023,798,97,4369,10803.0,116.01465746389438,39.12577614549694
129,93.522,928,227,4239,10803.0,116.01582568874385,39.12577614549695
130,85.056,877,285,4297,10803.0,116.01699391359332,39.12577614549694
131,81.031,1457,807,3659,10803.0,116.0228350378407,39.12577614549695
132,89.1,1457,807,3659,10803.0,116.02400326269016,39.125776145496935
133,104.18,1461,1060,3410,10803.0,116.02517148753964,39.12577614549695
134,75.645,1461,1060,3410,10803.0,116.02633971238906,39.12577614549694
135,95.601,1221,1307,3170,10803.0,116.028676162088,39.12577614549694
136,81.579,1221,1307,3170,10803.0,116.0298443869375,39.12577614549696
137,75.74,564,136,4603,10803.0,116.01257222990516,39.12488571244821
138,85.566,609,95,4562,10803.0,116.01374044552061,39.12488571244821
139,91.821,707,192,4464,10803.0,116.01490866113602,39.124885712448204
140,86.417,877,285,4297,10803.0,116.01607687675146,39.12488571244821
141,79.822,825,348,4360,10803.0,116.01724509236692,39.12488571244821
142,91.538,499,201,4668,10803.0,116.011655262056,39.12399528361726
143,70.562,468,232,4699,10803.0,116.0128234684378,39.123995283617255
144,98.435,519,188,4655,10803.0,116.01399167481964,39.12399528361726
145,80.937,618,286,4557,10803.0,116.01515988120147,39.12399528361727
146,89.856,776,412,4424,10803.0,116.01632808758328,39.123995283617255
147,60.135,720,485,4430,10803.0,116.01749629396508,39.12399528361726
148,72.017,1206,1005,3910,10803.0,116.02333732587414,39.123995283617255
149,75.173,1365,1255,3660,10803.0,116.02567373863778,39.123995283617255
150,94.505,1365,1255,3660,10803.0,116.02684194501957,39.123995283617255
151,92.521,1119,1501,3418,10803.0,116.02917835778322,39.123995283617255
152,63.738,942,1678,3241,10803.0,116.03151477054685,39.12399528361726
153,65.554,686,1934,2985,10803.0,116.0338511833105,39.12399528361726
154,85.378,683,1940,2982,10803.0,116.03501938969227,39.123995283617255
155,68.861,574,2263,2670,10803.0,116.03735580245592,39.12399528361726
156,82.543,574,2263,2670,10803.0,116.03852400883773,39.123995283617255
