,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,12.432,3372,2583,4354,4752,4351,3308,10975.0,118.16299930018715,39.86988251103224
1,13.955,3372,2583,4354,4752,4351,3308,10975.0,118.16417537323501,39.86988251103224
2,11.438,1748,3492,5000,5000,5000,1684,10975.0,118.18181646895273,39.86988251103224
3,9.431,1748,3492,5000,5000,5000,1684,10975.0,118.1829925420006,39.86988251103224
4,5.749,3372,2583,4354,4752,4351,3308,10975.0,118.16203588174463,39.8689885006161
5,5.749,3372,2583,4354,4752,4351,3308,10975.0,118.16321194520359,39.8689885006161
6,7.041,1748,3492,5000,5000,5000,1684,10975.0,118.18085289708822,39.8689885006161
7,6.385,1744,3488,5000,5000,5000,1681,10975.0,118.18202896054716,39.868988500616084
8,10.299,2794,2357,3547,3849,3338,3863,10975.0,118.15486741455807,39.86451851395887
9,28.177,2794,2357,3547,3849,3338,3863,10975.0,118.1560434300792,39.86451851395888
10,0.035,645,3255,5000,4866,4970,581,10975.0,118.1889718646705,39.86451851395888
11,2.633,0,3486,4877,4587,4691,126,10975.0,118.19132389571276,39.86451851395888
12,193.684,2822,2385,3574,3877,3366,3891,10975.0,118.15860830143774,39.86362452971092
13,209.875,2822,2385,3574,3877,3366,3891,10975.0,118.1597843073726,39.863624529710926
14,10.157,1235,2615,4861,4783,4898,1171,10975.0,118.18095241419995,39.86362452971093
15,5.089,1235,2615,4861,4783,4898,1171,10975.0,118.18212842013479,39.863624529710926
16,18.741,1076,2820,5000,4987,5000,1013,10975.0,118.18330442606967,39.86362452971092
17,14.575,954,2918,5000,4891,4995,890,10975.0,118.18448043200455,39.863624529710926
18,6.072,954,2918,5000,4891,4995,890,10975.0,118.18565643793937,39.86362452971092
19,8.392,645,3255,5000,4866,4970,581,10975.0,118.18800844980908,39.86362452971092
20,10.696,75,3524,4915,4625,4729,51,10975.0,118.18918445574394,39.86362452971093
21,8.847,100,3498,4889,4600,4703,25,10975.0,118.1903604616788,39.863624529710926
22,8.735,25,3461,4852,4562,4666,101,10975.0,118.19153646761364,39.86362452971093
23,240.503,2574,2136,3326,3628,3117,3642,10975.0,118.15529317726228,39.86273054982371
24,166.435,2574,2136,3326,3628,3117,3642,10975.0,118.15646917361128,39.86273054982371
25,219.748,2822,2385,3574,3877,3366,3891,10975.0,118.15764516996029,39.8627305498237
26,200.573,2822,2385,3574,3877,3366,3891,10975.0,118.15882116630932,39.86273054982371
27,218.432,1872,1978,4224,4146,4357,1809,10975.0,118.17410911884663,39.86273054982371
28,179.116,1235,2615,4861,4783,4898,1171,10975.0,118.17998910059175,39.86273054982371
29,19.896,1235,2615,4861,4783,4898,1171,10975.0,118.18116509694077,39.8627305498237
30,26.074,1064,2808,5000,4975,5000,1000,10975.0,118.18234109328979,39.86273054982371
31,22.937,954,2918,5000,4891,4995,890,10975.0,118.18351708963881,39.8627305498237
32,21.379,954,2918,5000,4891,4995,890,10975.0,118.18469308598785,39.86273054982371
33,4.669,126,3473,4864,4574,4678,0,10975.0,118.18939707138395,39.8627305498237
34,22.89,139,3403,4795,4505,4609,37,10975.0,118.19057306773296,39.86273054982371
35,17.239,161,3325,4716,4426,4530,97,10975.0,118.191749064082,39.86273054982371
36,7.052,257,3228,4620,4330,4434,193,10975.0,118.19292506043101,39.86273054982371
37,130.41,1872,1978,4224,4146,4357,1809,10975.0,118.17314589689859,39.86183657429706
38,35.336,1060,2557,4803,4619,4723,996,10975.0,118.181377804244,39.86183657429706
39,38.305,1060,2557,4803,4619,4723,996,10975.0,118.18255379100762,39.86183657429705
40,30.562,761,2845,4989,4699,4803,698,10975.0,118.18490576453489,39.86183657429705
41,24.156,426,3181,4937,4647,4751,362,10975.0,118.18843372482577,39.86183657429705
42,21.529,183,3303,4694,4404,4508,119,10975.0,118.19078569835301,39.861836574297044
43,21.903,257,3228,4620,4330,4434,193,10975.0,118.19196168511668,39.86183657429705
44,174.772,2360,1818,3008,3310,2903,3263,10975.0,118.15689501535645,39.86094260313081
