,POP_2015,community_space,education,food_choices,ID_HDC_G0,lng,lat
0,2.282,579,3272,3077,11822.0,105.78515630845942,-5.544589957452502
1,32.389,667,3360,3165,11822.0,105.78615697682856,-5.5445899574525015
2,13.651,667,3360,3165,11822.0,105.7871576451977,-5.544589957452503
3,6.774,579,3272,3077,11822.0,105.78524591463948,-5.545400179803009
4,32.549,579,3272,3077,11822.0,105.78624658385623,-5.545400179803008
5,8.781,667,3360,3165,11822.0,105.78724725307299,-5.545400179803004
6,15.788,313,3006,2812,11822.0,105.78542516691505,-5.547020625782168
7,35.341,400,3093,2898,11822.0,105.78642583782742,-5.547020625782168
8,7.748,400,3093,2898,11822.0,105.78742650873981,-5.547020625782166
9,22.649,313,3006,2812,11822.0,105.78551481301078,-5.547830849410947
10,32.84,356,3049,2855,11822.0,105.78651548477116,-5.54783084941095
11,1.323,400,3093,2898,11822.0,105.78751615653154,-5.54783084941095
12,32.215,563,3016,2821,11822.0,105.78660514502046,-5.5486410734659515
13,2.893,409,2283,2088,11822.0,105.7816914512916,-5.5494512979472335
14,39.775,409,2283,2088,11822.0,105.78269212474838,-5.5494512979472335
15,43.976,563,3016,2821,11822.0,105.78669481857543,-5.5494512979472335
16,6.396,409,2283,2088,11822.0,105.78178113391043,-5.550261522854861
17,19.015,409,2283,2088,11822.0,105.78278180821556,-5.5502615228548615
18,44.848,0,2693,2498,11822.0,105.78578383113098,-5.550261522854861
19,21.356,0,2693,2498,11822.0,105.78678450543616,-5.550261522854861
20,65.898,92,2700,2506,11822.0,105.78587353044907,-5.551071748188897
21,33.916,92,2700,2506,11822.0,105.78687420560271,-5.551071748188897
22,36.664,0,0,855,11822.0,105.77295445504333,-5.551881973949402
23,10.511,0,0,855,11822.0,105.77304416993934,-5.552692200136444
24,26.153,0,1859,1665,11822.0,105.78213999743903,-5.5535024267500805
25,52.19,372,2420,2225,11822.0,105.78614270823873,-5.55350242675008
26,12.706,447,2495,2300,11822.0,105.7871433859386,-5.5535024267500805
