,POP_2015,active_living,community_space,education,food_choices,mobility,nightlife,ID_HDC_G0,lng,lat
0,36.149,1528,1613,737,2147,1577,2619,11825.0,110.26209424445548,21.393517771026055
1,44.637,1457,1528,651,2061,1506,2533,11825.0,110.2617061984784,21.392686648717714
2,48.812,1325,1378,501,1911,1375,2383,11825.0,110.2613181714004,21.391855528207405
3,81.473,1325,1378,501,1911,1375,2383,11825.0,110.26236095487997,21.391855528207408
4,5.631,1208,1260,383,1850,1257,2385,11825.0,110.26093016322105,21.391024409495067
5,56.504,1189,1279,402,1868,1238,2403,11825.0,110.26197294303107,21.39102440949507
6,79.55,1167,1204,270,877,2226,1349,11825.0,110.24490053182971,21.39019329258061
7,84.138,1167,1204,270,877,2226,1349,11825.0,110.24594330797035,21.390193292580612
8,32.661,1259,979,0,1568,1281,2103,11825.0,110.25741384551773,21.390193292580612
9,89.659,1208,1260,383,1850,1257,2385,11825.0,110.26054217393973,21.39019329258061
10,98.861,1189,1279,402,1868,1238,2403,11825.0,110.2615849500804,21.39019329258061
11,57.191,897,934,0,606,1956,1079,11825.0,110.24764093389813,21.389362177463944
12,67.574,897,934,0,606,1956,1079,11825.0,110.2486837063696,21.389362177463944
13,45.489,1259,979,0,1568,1281,2103,11825.0,110.25702588614146,21.389362177463944
14,112.458,1205,925,53,1515,1228,2050,11825.0,110.25806865861296,21.389362177463948
15,85.127,1103,1118,381,1708,1125,2243,11825.0,110.26015420355596,21.389362177463948
16,82.627,1103,1118,381,1708,1125,2243,11825.0,110.26119697602739,21.389362177463944
17,85.044,897,934,0,606,1956,1079,11825.0,110.24725302643935,21.38853106414499
18,59.387,897,934,0,606,1956,1079,11825.0,110.24829579524183,21.38853106414499
19,92.928,840,877,141,550,1899,1022,11825.0,110.24933856404432,21.388531064144992
20,34.611,1164,709,320,1302,1186,1836,11825.0,110.25663794566167,21.388531064144992
21,118.721,1094,814,164,1404,1116,1938,11825.0,110.25768071446414,21.38853106414499
22,101.855,1025,950,301,1540,1047,2075,11825.0,110.25872348326659,21.38853106414499
23,102.13,1025,950,301,1540,1047,2075,11825.0,110.25976625206913,21.388531064144992
24,61.778,978,994,451,1583,1000,2118,11825.0,110.26080902087156,21.388531064144985
25,140.092,1112,1255,658,1184,2172,1294,11825.0,110.24165131220661,21.387699952623656
26,132.95,1112,1255,658,1184,2172,1294,11825.0,110.24269407734026,21.387699952623656
27,28.017,840,877,141,550,1899,1022,11825.0,110.24790790300854,21.38769995262366
28,76.963,840,877,141,550,1899,1022,11825.0,110.2489506681422,21.387699952623656
29,132.923,1164,709,320,1302,1186,1836,11825.0,110.25625002407774,21.387699952623656
30,39.858,1094,814,164,1404,1116,1938,11825.0,110.25729278921139,21.387699952623656
31,105.371,1025,950,301,1540,1047,2075,11825.0,110.25833555434504,21.387699952623656
32,115.37,1025,950,301,1540,1047,2075,11825.0,110.2593783194787,21.387699952623656
33,50.213,874,889,452,1479,896,2014,11825.0,110.26042108461235,21.387699952623656
