,POP_2015,community_space,food_choices,mobility,ID_HDC_G0,lng,lat
0,0.533,2874,3769,993,12356.0,121.0116808671414,32.00773051362811
1,31.732,2145,2873,514,12356.0,121.01760402460962,32.006869397440205
2,26.394,2145,2873,514,12356.0,121.0187091426074,32.006869397440205
3,23.029,2145,2873,514,12356.0,121.01689646597926,32.00600828430665
4,22.57,2145,2873,514,12356.0,121.0180015775157,32.006008284306645
5,4.031,1337,2088,516,12356.0,121.02432222960358,32.00428606720213
6,5.224,1337,2088,516,12356.0,121.02542732821821,32.00428606720212
7,8.276,705,2002,761,12356.0,121.03205791990584,32.00428606720213
8,4.978,705,2002,761,12356.0,121.03316301852044,32.00428606720213
9,6.624,880,1920,382,12356.0,121.03647831436427,32.00428606720212
10,8.396,880,1920,382,12356.0,121.03758341297888,32.00428606720212
11,11.268,928,1762,112,12356.0,121.03979361020811,32.00428606720213
12,6.23,966,1669,17,12356.0,121.04089870882268,32.00428606720213
13,8.156,2322,3273,461,12356.0,121.0114586975595,32.00342496323091
14,11.201,2293,3243,447,12356.0,121.01256378971364,32.00342496323091
15,0.926,2092,2821,0,12356.0,121.01587906617598,32.00342496323091
16,0.993,2087,2815,21,12356.0,121.01698415833009,32.00342496323091
17,4.491,1877,2606,0,12356.0,121.0180892504842,32.00342496323091
18,4.611,1877,2606,0,12356.0,121.01919434263831,32.00342496323091
19,4.904,1751,2480,121,12356.0,121.02029943479242,32.00342496323091
20,1.773,1498,2250,369,12356.0,121.02250961910066,32.00342496323091
21,0.44,1337,2088,516,12356.0,121.02361471125478,32.00342496323091
22,3.338,1327,2078,506,12356.0,121.02471980340886,32.00342496323091
23,1.579,705,2002,761,12356.0,121.03135035633352,32.00342496323091
24,9.949,705,2002,761,12356.0,121.03245544848761,32.003424963230906
25,5.611,880,1920,382,12356.0,121.03687581710408,32.00342496323091
26,7.637,918,1751,115,12356.0,121.0390860014123,32.00342496323091
27,8.32,852,1655,31,12356.0,121.0401910935664,32.00342496323091
28,21.89,2319,3270,473,12356.0,121.0107512809279,32.00256386231356
29,3.325,2293,3243,447,12356.0,121.01185636662181,32.002563862313565
30,3.712,2087,2815,21,12356.0,121.0151716237035,32.00256386231356
31,0.54,2126,2804,59,12356.0,121.01627670939736,32.002563862313565
32,1.553,1877,2606,0,12356.0,121.01738179509124,32.002563862313565
33,29.74,1877,2606,0,12356.0,121.01848688078515,32.00256386231356
34,17.885,1740,2468,109,12356.0,121.01959196647906,32.00256386231356
35,31.399,1664,2358,0,12356.0,121.02069705217295,32.00256386231356
36,19.031,495,1792,551,12356.0,121.03285299480572,32.00256386231356
37,19.578,495,1792,551,12356.0,121.0339580804996,32.00256386231356
38,21.902,802,1705,0,12356.0,121.03948350896906,32.00256386231356
39,28.054,495,1792,551,12356.0,121.03214547962568,32.00170276444996
40,25.808,495,1792,551,12356.0,121.03325055885963,32.00170276444996
41,22.196,534,1574,267,12356.0,121.03877595502937,32.00170276444996
42,0.96,2036,3526,730,12356.0,121.01154668516301,32.00084166963998
43,1.286,2025,3511,714,12356.0,121.01265175793733,32.00084166963999
44,34.85,1958,2533,294,12356.0,121.01817712180876,32.00084166963998
45,28.407,534,1574,267,12356.0,121.038068431746,32.000841669639975
46,1.166,2047,3542,745,12356.0,121.01083934755977,31.999980577883516
47,0.0,2025,3511,714,12356.0,121.01194441387472,31.99998057788352
48,25.448,820,1571,0,12356.0,121.02741534228348,31.99998057788352
49,14.553,750,1502,69,12356.0,121.02852040859838,31.999980577883523
50,21.257,1080,1774,259,12356.0,121.02449781872906,31.99911948918043
51,30.106,1080,1774,259,12356.0,121.02560287858488,31.999119489180433
52,26.881,820,1571,0,12356.0,121.0267079384407,31.99911948918044
53,26.728,750,1502,69,12356.0,121.0278129982965,31.999119489180437
54,26.761,215,1255,0,12356.0,121.036653477143,31.999119489180437
55,37.796,215,1255,0,12356.0,121.03775853699884,31.99911948918044
56,34.664,1306,1925,485,12356.0,121.02268540505679,31.998258403530613
57,24.329,1117,1736,297,12356.0,121.02379045845379,31.99825840353061
58,23.822,1098,1755,278,12356.0,121.02489551185076,31.998258403530613
59,25.222,561,1312,56,12356.0,121.02931572543878,31.998258403530617
60,33.704,504,1255,0,12356.0,121.03042077883575,31.998258403530617
61,28.887,0,1296,55,12356.0,121.0348409924237,31.998258403530613
62,32.558,135,1231,79,12356.0,121.0359460458207,31.998258403530613
63,29.38,182,1221,61,12356.0,121.03705109921769,31.99825840353061
