,POP_2015,active_living,education,mobility,ID_HDC_G0,lng,lat
0,76.678,4189,1249,581,12362.0,119.7294848938191,30.25125168965197
1,79.425,4185,1245,577,12362.0,119.73057736098151,30.251251689651973
2,70.231,2433,604,1923,12362.0,119.71681982167942,30.25039657774433
3,80.413,860,2425,2441,12362.0,119.7019699970993,30.249541468651472
4,27.757,860,2425,2441,12362.0,119.70306245243667,30.249541468651472
5,57.457,1450,1836,2542,12362.0,119.70633981844871,30.249541468651472
6,155.029,1450,1836,2542,12362.0,119.70743227378607,30.249541468651472
7,133.255,2272,763,2083,12362.0,119.71507946114755,30.24954146865147
8,99.961,2433,604,1923,12362.0,119.71617191648491,30.249541468651465
9,69.361,3178,0,1355,12362.0,119.719449282497,30.249541468651472
10,50.892,3178,0,1355,12362.0,119.72054173783432,30.24954146865147
11,82.608,3207,171,1148,12362.0,119.72163419317171,30.249541468651472
12,111.712,3213,177,1154,12362.0,119.72272664850905,30.249541468651465
13,38.108,561,2365,2142,12362.0,119.69695239921948,30.248686362373324
14,75.467,719,2522,2299,12362.0,119.70132219692046,30.248686362373327
15,35.511,860,2425,2441,12362.0,119.70241464634567,30.248686362373327
16,51.0,1262,2024,2521,12362.0,119.70459954519613,30.248686362373324
17,76.388,1262,2024,2521,12362.0,119.70569199462138,30.248686362373324
18,98.246,1527,1759,2465,12362.0,119.70678444404659,30.248686362373324
19,90.74,1527,1759,2465,12362.0,119.70787689347182,30.248686362373324
20,84.348,2272,763,2083,12362.0,119.71443159002324,30.248686362373327
21,142.312,2272,763,2083,12362.0,119.71552403944844,30.248686362373327
22,127.842,3035,0,1319,12362.0,119.71989383714939,30.24868636237332
23,83.016,3035,0,1319,12362.0,119.72098628657461,30.248686362373324
24,96.996,3210,174,1151,12362.0,119.72207873599984,30.248686362373324
25,54.836,3667,988,1089,12362.0,119.7231711854251,30.248686362373324
26,52.796,3670,991,1082,12362.0,119.72426363485029,30.248686362373324
27,57.42,3603,924,1005,12362.0,119.72535608427553,30.248686362373324
28,46.485,534,2337,2114,12362.0,119.6963046508416,30.247831258909763
29,98.452,715,2518,2295,12362.0,119.70067442489507,30.247831258909763
30,39.605,1032,2254,2299,12362.0,119.70285931192183,30.24783125890976
31,79.552,1362,1954,2421,12362.0,119.70504419894854,30.24783125890976
32,142.394,1362,1954,2421,12362.0,119.70613664246191,30.247831258909763
33,120.688,1873,1162,2423,12362.0,119.71159886002874,30.247831258909763
34,123.218,2737,298,1617,12362.0,119.71815352110893,30.24783125890976
35,113.099,3035,0,1319,12362.0,119.71924596462232,30.247831258909756
36,117.016,3035,0,1319,12362.0,119.72033840813566,30.247831258909763
37,107.115,3601,921,1012,12362.0,119.72361573867576,30.247831258909763
38,72.407,3603,924,1005,12362.0,119.72470818218916,30.247831258909766
39,88.075,3614,675,644,12362.0,119.7268930692159,30.247831258909763
40,58.644,3685,746,573,12362.0,119.72798551272923,30.247831258909756
41,76.936,678,2358,2133,12362.0,119.70221155622559,30.24697615826067
42,60.153,1139,2184,2192,12362.0,119.70330399382735,30.24697615826067
43,100.75,1873,1162,2423,12362.0,119.71095105703965,30.246976158260665
44,119.355,2168,1111,2203,12362.0,119.71313593224318,30.24697615826067
45,101.349,2168,1111,2203,12362.0,119.71422836984492,30.24697615826066
46,133.255,2567,468,1788,12362.0,119.71641324504846,30.246976158260665
