,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,11.434,2761,1676,2755,1909,1746,12705.0,114.397834483153,-2.9877030880234217
1,76.05,2728,429,1295,1864,1951,12705.0,114.37602104658845,-2.9901306575007194
2,27.175,2728,429,1295,1864,1951,12705.0,114.37701966290969,-2.9901306575007194
3,30.675,3014,143,1581,2068,2238,12705.0,114.37407587218198,-2.990939847783791
4,36.472,2903,254,1470,2040,2126,12705.0,114.37507448895778,-2.990939847783791
5,37.621,2891,342,1458,2028,2115,12705.0,114.37607310573357,-2.990939847783791
6,20.39,2677,480,1244,1814,1901,12705.0,114.37707172250934,-2.990939847783791
7,6.282,2627,531,1193,1763,1850,12705.0,114.37807033928512,-2.990939847783791
8,14.61,2454,844,1021,1591,1678,12705.0,114.38006757283668,-2.990939847783792
9,1.544,2184,1477,1591,1771,1408,12705.0,114.39105235737027,-2.990939847783791
10,0.0,2184,1477,1591,1771,1408,12705.0,114.39205097414607,-2.990939847783791
11,34.929,2336,1277,2330,1451,1346,12705.0,114.39704405802497,-2.990939847783791
12,26.241,3158,0,1724,1925,2381,12705.0,114.37312932733994,-2.9917490382956218
13,14.808,3014,143,1581,2068,2238,12705.0,114.37412794457035,-2.9917490382956196
14,8.149,3014,143,1581,2068,2238,12705.0,114.37512656180081,-2.99174903829562
15,21.736,2891,342,1458,2028,2115,12705.0,114.37612517903123,-2.9917490382956218
16,8.131,2627,531,1193,1763,1850,12705.0,114.37712379626166,-2.99174903829562
17,9.154,2627,531,1193,1763,1850,12705.0,114.37812241349208,-2.9917490382956196
18,16.872,2384,773,951,1520,1607,12705.0,114.37912103072252,-2.9917490382956218
19,0.556,2441,830,1007,1577,1664,12705.0,114.38011964795295,-2.99174903829562
20,0.0,2184,1477,1591,1771,1408,12705.0,114.39110443748773,-2.9917490382956204
21,0.0,2184,1477,1591,1771,1408,12705.0,114.39210305471815,-2.9917490382956204
22,30.693,2336,1277,2330,1451,1346,12705.0,114.3960975236399,-2.9917490382956204
23,41.875,2336,1277,2330,1451,1346,12705.0,114.39709614087033,-2.99174903829562
24,52.124,3168,10,1735,1914,2392,12705.0,114.37318141342591,-2.992558229036266
25,9.836,3158,0,1724,1925,2381,12705.0,114.37418003111112,-2.9925582290362667
26,18.344,2360,797,927,1497,1583,12705.0,114.37917311953713,-2.992558229036266
27,46.829,2336,821,903,1473,1560,12705.0,114.38017173722235,-2.9925582290362676
28,42.683,2217,1157,2211,1331,1227,12705.0,114.39614962018567,-2.9925582290362667
29,38.052,2328,1269,2323,1312,1338,12705.0,114.3971482378709,-2.9925582290362676
30,11.362,2466,1406,2460,1275,1476,12705.0,114.39814685555609,-2.9925582290362667
31,35.036,2515,1551,2510,1303,1620,12705.0,114.39914547324132,-2.992558229036268
32,24.411,2645,1681,2613,1434,1751,12705.0,114.40014409092653,-2.9925582290362676
33,0.0,2665,1702,2593,1454,1771,12705.0,114.40114270861173,-2.9925582290362667
34,0.323,2124,1033,691,1261,1348,12705.0,114.38122245878503,-2.9933674200057947
35,6.515,1981,1273,676,1568,1204,12705.0,114.38521693134547,-2.993367420005795
36,41.534,1988,1281,684,1575,1211,12705.0,114.38621554948558,-2.9933674200057956
37,12.187,2044,959,2037,1224,1028,12705.0,114.39520311274656,-2.9933674200057943
38,7.574,2115,1053,2109,1232,1122,12705.0,114.39620173088665,-2.993367420005795
39,23.944,2328,1269,2323,1312,1338,12705.0,114.39720034902676,-2.993367420005796
40,17.339,2466,1406,2460,1275,1476,12705.0,114.39819896716686,-2.993367420005795
41,24.626,2427,1463,2422,1215,1532,12705.0,114.39919758530696,-2.9933674200057943
42,8.633,2655,1692,2603,1444,1761,12705.0,114.40019620344711,-2.993367420005795
43,0.072,2665,1702,2593,1454,1771,12705.0,114.4011948215872,-2.9933674200057956
44,10.159,2264,1172,552,1121,1487,12705.0,114.38027595822075,-2.994176611204268
45,2.064,2124,1033,691,1261,1348,12705.0,114.3812745768159,-2.994176611204267
46,18.846,2005,1152,577,1380,1228,12705.0,114.38227319541103,-2.994176611204267
47,38.375,1951,1243,528,1538,1174,12705.0,114.38327181400618,-2.994176611204266
48,20.318,1924,1216,501,1511,1147,12705.0,114.3842704326013,-2.994176611204267
49,14.162,1982,1274,677,1569,1205,12705.0,114.3852690511964,-2.9941766112042667
50,5.169,1988,1281,684,1575,1211,12705.0,114.38626766979154,-2.994176611204266
51,0.0,1786,1079,1193,1373,1009,12705.0,114.38926352557695,-2.994176611204267
52,0.0,1786,1079,1193,1373,1009,12705.0,114.39026214417207,-2.9941766112042663
53,13.516,1909,824,1903,1089,894,12705.0,114.39425661855257,-2.994176611204267
54,48.965,2000,930,1994,1147,999,12705.0,114.39525523714771,-2.9941766112042667
55,31.267,2063,999,2057,1183,1068,12705.0,114.39625385574283,-2.994176611204267
56,4.846,2353,1389,2348,1142,1458,12705.0,114.3982510929331,-2.994176611204267
57,5.403,2379,1415,2374,1167,1484,12705.0,114.39924971152823,-2.994176611204267
58,9.908,2248,1190,534,1104,1505,12705.0,114.3803280899499,-2.9949858026317426
59,33.798,2005,1152,577,1380,1228,12705.0,114.38132670900015,-2.9949858026317426
60,44.944,2005,1152,577,1380,1228,12705.0,114.38232532805046,-2.994985802631744
61,41.606,1919,1211,490,1506,1142,12705.0,114.38332394710072,-2.9949858026317426
62,38.285,1782,1075,484,1370,1006,12705.0,114.38432256615098,-2.994985802631744
63,40.134,1875,1168,571,1462,1099,12705.0,114.38532118520125,-2.9949858026317426
64,0.305,1742,1035,856,1329,966,12705.0,114.38731842330183,-2.9949858026317426
65,0.844,1619,912,1026,1206,843,12705.0,114.38831704235211,-2.9949858026317426
66,0.0,1786,1079,1193,1373,1009,12705.0,114.38931566140239,-2.9949858026317426
67,0.0,1786,1079,1193,1373,1009,12705.0,114.39031428045266,-2.9949858026317426
68,13.444,1909,824,1903,1089,894,12705.0,114.39430875665373,-2.9949858026317426
69,61.78,1958,894,1953,1078,963,12705.0,114.39530737570402,-2.9949858026317435
70,3.069,2233,1269,2228,1021,1338,12705.0,114.39830323285486,-2.9949858026317417
71,2.692,2435,1480,2315,1224,1550,12705.0,114.39930185190512,-2.994985802631744
72,0.0,2435,1480,2315,1224,1550,12705.0,114.4003004709554,-2.9949858026317435
73,0.305,2129,1310,414,983,1526,12705.0,114.3793816163268,-2.995794994288287
