,POP_2015,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,176.752,791,61,609,1628,12834.0,118.60483920133669,4.483540885982692
1,116.703,798,260,616,1634,12834.0,118.60583886705402,4.483540885982691
2,56.393,861,323,679,1698,12834.0,118.6068385327714,4.483540885982691
3,88.721,788,0,606,1625,12834.0,118.60375845612494,4.482731168084454
4,99.129,774,36,592,1610,12834.0,118.60475812115892,4.482731168084457
5,66.586,757,219,575,1594,12834.0,118.60575778619285,4.482731168084454
6,79.393,909,371,727,1746,12834.0,118.60675745122684,4.482731168084456
7,172.073,1050,512,868,1886,12834.0,118.60775711626079,4.482731168084457
8,71.508,1087,550,905,1924,12834.0,118.60875678129472,4.482731168084453
9,116.675,492,599,284,1176,12834.0,118.60975644632869,4.482731168084453
10,117.857,828,199,646,1664,12834.0,118.60367739142943,4.481921450529855
11,92.8,770,117,588,1607,12834.0,118.60467705578012,4.481921450529855
12,94.3,652,154,470,1489,12834.0,118.60567672013083,4.4819214505298595
13,133.111,555,232,373,1392,12834.0,118.60667638448153,4.481921450529855
14,143.189,997,459,815,1834,12834.0,118.60767604883222,4.481921450529855
15,76.618,427,534,219,1110,12834.0,118.6086757131829,4.481921450529857
16,124.606,397,504,189,1081,12834.0,118.60967537753359,4.481921450529857
17,0.0,392,617,534,392,12834.0,118.61367403493637,4.481921450529855
18,62.199,784,230,602,1663,12834.0,118.60359634153274,4.481111733318831
19,81.87,784,230,602,1663,12834.0,118.60459600520029,4.481111733318829
20,115.265,624,289,442,1461,12834.0,118.60559566886784,4.481111733318828
21,63.176,531,308,349,1368,12834.0,118.6065953325354,4.481111733318831
22,115.565,412,444,170,1180,12834.0,118.60759499620295,4.481111733318829
23,105.217,405,411,78,1088,12834.0,118.6085946598705,4.48111173331883
24,111.936,307,381,100,990,12834.0,118.60959432353805,4.481111733318831
25,77.213,287,394,150,971,12834.0,118.61059398720562,4.481111733318829
26,8.878,392,617,534,392,12834.0,118.61359297820829,4.48111173331883
27,12.147,392,617,534,392,12834.0,118.61459264187583,4.481111733318829
28,50.075,681,459,499,1559,12834.0,118.60451496941927,4.480302016451317
29,65.049,592,398,410,1471,12834.0,118.60551463240381,4.480302016451317
30,21.063,507,455,325,1386,12834.0,118.60651429538837,4.4803020164513185
31,81.637,368,422,186,1225,12834.0,118.6075139583729,4.480302016451316
32,146.099,323,340,75,1098,12834.0,118.60851362135742,4.480302016451318
33,119.794,279,253,96,960,12834.0,118.60951328434196,4.480302016451317
34,106.856,292,289,162,897,12834.0,118.61051294732648,4.480302016451319
35,66.016,3,146,266,628,12834.0,118.61251227329556,4.480302016451316
36,65.806,0,121,242,604,12834.0,118.61351193628015,4.480302016451317
37,60.977,234,458,375,234,12834.0,118.61451159926467,4.480302016451317
38,31.433,352,611,528,352,12834.0,118.61551126224921,4.480302016451317
39,87.671,125,418,335,125,12834.0,118.61651092523378,4.480302016451317
40,91.927,713,500,531,1591,12834.0,118.60443394843698,4.479492299927255
41,42.097,660,504,478,1539,12834.0,118.60543361073863,4.479492299927255
42,25.345,462,511,280,1341,12834.0,118.60643327304027,4.479492299927253
43,83.682,357,485,175,1275,12834.0,118.60743293534193,4.479492299927257
44,116.585,247,310,19,1101,12834.0,118.6084325976436,4.479492299927253
45,121.264,196,171,137,967,12834.0,118.60943225994524,4.479492299927255
46,106.357,201,162,173,880,12834.0,118.61043192224689,4.479492299927253
47,81.013,48,364,372,675,12834.0,118.61143158454853,4.479492299927254
48,96.039,16,106,224,586,12834.0,118.6124312468502,4.479492299927255
