,POP_2015,active_living,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,12.347,626,556,626,709,2777,12901.0,119.91203579780917,-0.9709436784340625
1,28.698,1442,686,562,872,3593,12901.0,119.92101658996503,-0.9709436784340614
2,21.768,1442,686,562,872,3593,12901.0,119.92201445576012,-0.9709436784340624
3,27.033,1597,840,716,1027,3748,12901.0,119.9230123215552,-0.9709436784340605
4,14.13,0,451,0,0,2205,12901.0,119.90407057401434,-0.9717524908759564
5,30.515,0,451,0,0,2205,12901.0,119.90506843995675,-0.9717524908759593
6,10.413,626,556,626,709,2777,12901.0,119.91205350155369,-0.9717524908759582
7,18.201,533,463,533,616,2684,12901.0,119.91305136749612,-0.9717524908759583
8,4.576,985,280,296,483,3136,12901.0,119.91604496532335,-0.9717524908759582
9,44.023,983,278,294,481,3133,12901.0,119.91704283126576,-0.9717524908759573
10,8.647,1736,1019,895,1075,3843,12901.0,119.92303002692027,-0.9717524908759582
11,22.07,0,451,0,0,2205,12901.0,119.90408829132797,-0.9725613033920563
12,33.93,48,402,48,48,2156,12901.0,119.9050861574178,-0.9725613033920515
13,7.385,330,413,330,330,2167,12901.0,119.90608402350769,-0.9725613033920544
14,3.987,330,413,330,330,2167,12901.0,119.90708188959753,-0.9725613033920553
15,14.181,533,463,533,616,2684,12901.0,119.91306908613674,-0.9725613033920544
16,2.237,910,169,185,371,3060,12901.0,119.91606268440637,-0.9725613033920553
17,11.994,941,200,216,403,3092,12901.0,119.91706055049619,-0.9725613033920544
18,9.975,1736,1019,895,1075,3843,12901.0,119.9230477470354,-0.9725613033920544
19,11.422,184,266,184,184,2021,12901.0,119.90510388962669,-0.9733701159824163
20,13.777,330,413,330,330,2167,12901.0,119.90610175586413,-0.9733701159824133
21,11.389,330,413,330,330,2167,12901.0,119.90709962210158,-0.9733701159824136
22,0.707,910,169,185,371,3060,12901.0,119.91608041823851,-0.9733701159824126
23,52.115,910,169,185,371,3060,12901.0,119.91707828447595,-0.9733701159824153
24,77.109,264,187,264,264,1941,12901.0,119.90512163658347,-0.9741789286470984
25,18.218,264,187,264,264,1941,12901.0,119.90611950296861,-0.9741789286470982
26,4.643,205,135,205,288,2356,12901.0,119.91210670127938,-0.9741789286471001
27,35.982,770,29,45,232,2921,12901.0,119.91609816681986,-0.9741789286470993
28,50.416,756,0,15,202,2907,12901.0,119.91709603320501,-0.9741789286470984
29,18.454,894,137,13,324,3045,12901.0,119.91809389959013,-0.9741789286470982
30,0.0,1436,775,962,775,3543,12901.0,119.92308323151578,-0.9741789286470974
31,16.776,264,187,264,264,1941,12901.0,119.90513939828814,-0.9749877413861684
32,35.389,264,187,264,264,1941,12901.0,119.9061372648211,-0.9749877413861704
33,82.04,603,409,697,603,2084,12901.0,119.9091308644199,-0.9749877413861704
34,19.833,70,0,70,153,2220,12901.0,119.91112659748582,-0.9749877413861695
35,63.167,205,135,205,288,2356,12901.0,119.91212446401872,-0.9749877413861684
36,7.166,756,0,0,186,2907,12901.0,119.91611593015051,-0.9749877413861695
37,81.133,756,0,0,186,2907,12901.0,119.91711379668345,-0.9749877413861684
38,26.663,880,124,0,310,3031,12901.0,119.9181116632164,-0.9749877413861704
39,0.05,1436,775,962,775,3543,12901.0,119.92310099588111,-0.9749877413861695
40,44.813,451,0,451,451,1754,12901.0,119.90515717474072,-0.9757965541996894
41,39.036,451,0,451,451,1754,12901.0,119.90615504142158,-0.9757965541996874
42,29.642,457,263,586,457,1938,12901.0,119.90815077478335,-0.9757965541996882
43,42.654,557,363,686,557,2039,12901.0,119.90914864146421,-0.9757965541996894
44,27.016,4,65,124,4,2072,12901.0,119.91014650814513,-0.9757965541996894
45,31.363,35,35,35,141,2208,12901.0,119.91114437482601,-0.9757965541996892
46,48.168,129,59,129,212,2280,12901.0,119.91214224150688,-0.9757965541996894
47,33.026,257,307,257,296,2364,12901.0,119.91314010818775,-0.9757965541996874
48,36.622,660,0,186,0,2767,12901.0,119.91713157491128,-0.9757965541996894
49,20.568,451,0,451,451,1754,12901.0,119.90517496594119,-0.9766053670877181
50,81.223,451,0,451,451,1754,12901.0,119.90617283277014,-0.976605367087719
51,51.056,457,263,586,457,1938,12901.0,119.90816856642803,-0.976605367087719
52,29.087,139,79,268,139,1927,12901.0,119.90916643325697,-0.9766053670877161
53,119.442,30,30,159,30,2037,12901.0,119.91016430008591,-0.976605367087719
54,79.327,47,117,51,86,2154,12901.0,119.91116216691486,-0.9766053670877192
55,31.656,129,180,129,169,2236,12901.0,119.91216003374379,-0.9766053670877172
56,87.291,257,307,257,296,2364,12901.0,119.91315790057274,-0.97660536708772
57,37.547,660,0,186,0,2767,12901.0,119.9171493678885,-0.976605367087719
58,5.251,607,156,607,607,1598,12901.0,119.90519277188965,-0.9774141800503197
59,94.147,607,156,607,607,1598,12901.0,119.90619063886675,-0.9774141800503195
60,32.063,392,0,521,392,1675,12901.0,119.9071885058439,-0.9774141800503188
61,93.272,293,99,422,293,1774,12901.0,119.90818637282102,-0.9774141800503195
62,106.809,184,124,313,184,1883,12901.0,119.90918423979815,-0.9774141800503205
63,83.674,139,79,268,139,1927,12901.0,119.91018210677528,-0.9774141800503178
64,29.058,322,373,322,362,2429,12901.0,119.91217784072953,-0.9774141800503214
65,57.401,805,145,331,145,2912,12901.0,119.91716717561513,-0.9774141800503195
66,28.564,1048,411,597,411,3155,12901.0,119.91816504259226,-0.9774141800503195
67,4.29,1048,411,597,411,3155,12901.0,119.91916290956942,-0.9774141800503189
68,6.098,710,318,601,710,1357,12901.0,119.90421272546061,-0.9782229930875539
69,36.352,639,247,672,639,1427,12901.0,119.90521059258604,-0.9782229930875529
70,55.316,586,194,715,586,1480,12901.0,119.90620845971146,-0.9782229930875559
71,35.914,392,0,521,392,1675,12901.0,119.90720632683691,-0.9782229930875549
72,30.05,392,0,521,392,1675,12901.0,119.90820419396233,-0.978222993087554
73,41.837,327,373,327,366,2434,12901.0,119.91219566246406,-0.978222993087552
74,22.319,332,373,332,371,2439,12901.0,119.91319352958948,-0.9782229930875539
75,3.209,711,308,458,327,2818,12901.0,119.91518926384036,-0.9782229930875559
76,92.514,744,295,466,295,2851,12901.0,119.91618713096581,-0.9782229930875549
77,121.659,841,205,391,205,2949,12901.0,119.91718499809123,-0.978222993087552
78,67.627,1048,411,597,411,3155,12901.0,119.91818286521664,-0.9782229930875539
79,6.392,1048,411,597,411,3155,12901.0,119.91918073234208,-0.9782229930875568
80,24.695,2430,2151,1847,4031,2311,12901.0,119.87728814436234,-0.9790318061994844
81,77.23,2444,2229,1924,4046,2389,12901.0,119.87828601163618,-0.9790318061994843
82,22.104,2283,2005,1701,3885,2165,12901.0,119.87928387891007,-0.9790318061994854
83,0.0,2175,1897,1592,3777,2057,12901.0,119.88028174618391,-0.9790318061994825
84,0.0,1127,911,841,2728,1127,12901.0,119.88726681710095,-0.9790318061994843
85,0.0,1127,911,841,2728,1127,12901.0,119.88826468437483,-0.9790318061994854
86,0.0,844,628,559,2446,844,12901.0,119.89026041892254,-0.9790318061994835
87,8.49,689,337,337,974,1093,12901.0,119.90223482620884,-0.9790318061994814
88,1.546,816,454,464,847,1220,12901.0,119.9032326934827,-0.9790318061994854
89,26.345,710,318,601,710,1357,12901.0,119.9042305607566,-0.9790318061994843
90,53.974,639,247,672,639,1427,12901.0,119.90522842803045,-0.9790318061994853
91,18.526,586,194,715,586,1480,12901.0,119.9062262953043,-0.9790318061994834
92,44.55,421,361,550,421,2209,12901.0,119.90921989712588,-0.9790318061994843
93,10.707,421,361,550,421,2209,12901.0,119.91021776439975,-0.9790318061994864
94,47.234,485,219,485,219,2465,12901.0,119.9122134989475,-0.9790318061994853
95,71.975,890,129,279,212,2968,12901.0,119.91720283531677,-0.9790318061994872
96,1.211,2444,2166,1862,4046,2326,12901.0,119.87630812297287,-0.9798406193861703
97,50.92,2430,2151,1847,4031,2311,12901.0,119.87730599039529,-0.9798406193861721
98,21.532,2430,2151,1847,4031,2311,12901.0,119.8783038578177,-0.9798406193861732
99,0.606,2175,1897,1592,3777,2057,12901.0,119.87930172524013,-0.9798406193861703
100,0.0,2175,1897,1592,3777,2057,12901.0,119.88029959266251,-0.9798406193861751
101,27.337,689,337,337,974,1093,12901.0,119.90225267595558,-0.9798406193861732
102,0.583,905,532,552,925,1308,12901.0,119.90325054337801,-0.9798406193861703
103,38.19,902,519,578,912,1334,12901.0,119.90424841080045,-0.9798406193861732
104,26.899,733,340,770,733,1526,12901.0,119.90524627822283,-0.9798406193861721
105,0.0,733,340,770,733,1526,12901.0,119.90624414564526,-0.9798406193861711
106,0.263,1061,611,1061,611,1990,12901.0,119.90823988049009,-0.9798406193861721
107,50.939,440,380,569,440,2228,12901.0,119.90923774791247,-0.9798406193861732
108,52.136,431,370,560,431,2219,12901.0,119.91023561533494,-0.9798406193861703
109,3.88,627,177,627,177,2323,12901.0,119.91123348275732,-0.9798406193861732
