,POP_2015,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,0.0,2741,161,2338,1582.0,-7.411238564588117,32.068016244092696
1,0.195,2767,187,2313,1582.0,-7.410132987118946,32.068016244092696
2,3.113,2682,289,2210,1582.0,-7.409027409649772,32.0680162440927
3,12.839,2615,429,2051,1582.0,-7.407921832180603,32.0680162440927
4,38.469,2480,123,1771,1582.0,-7.406816254711432,32.068016244092696
5,24.414,3043,145,2811,1582.0,-7.41672297249124,32.06715491379825
6,11.526,2930,232,2693,1582.0,-7.415617401503317,32.06715491379826
7,25.532,2891,340,2585,1582.0,-7.414511830515392,32.067154913798255
8,1.897,2891,340,2585,1582.0,-7.4134062595274655,32.067154913798255
9,62.153,2794,262,2434,1582.0,-7.412300688539542,32.067154913798255
10,15.417,2741,161,2338,1582.0,-7.411195117551618,32.067154913798255
11,111.419,2754,174,2326,1582.0,-7.410089546563692,32.067154913798255
12,148.866,2682,289,2210,1582.0,-7.408983975575769,32.067154913798255
13,221.427,2615,429,2051,1582.0,-7.407878404587845,32.067154913798255
14,86.908,2467,109,1765,1582.0,-7.406772833599921,32.067154913798255
15,0.438,2379,34,1697,1582.0,-7.4056672626119955,32.067154913798255
16,0.0,2290,111,1596,1582.0,-7.404561691624072,32.06715491379825
17,56.171,1998,681,861,1582.0,-7.3979282656965255,32.067154913798255
18,37.204,2025,708,835,1582.0,-7.3968226947086,32.067154913798255
19,113.996,2134,709,709,1582.0,-7.395717123720677,32.06715491379826
20,19.21,2101,676,676,1582.0,-7.394611552732752,32.067154913798255
21,183.153,2038,562,562,1582.0,-7.393505981744827,32.067154913798255
22,151.103,2056,445,445,1582.0,-7.392400410756903,32.067154913798255
23,190.788,2002,391,391,1582.0,-7.391294839768978,32.06715491379826
24,194.436,2108,497,497,1582.0,-7.390189268781054,32.067154913798255
25,186.022,2157,546,546,1582.0,-7.3890836977931285,32.067154913798255
26,152.465,2261,650,650,1582.0,-7.387978126805205,32.06715491379826
27,55.88,2226,704,704,1582.0,-7.38687255581728,32.067154913798255
28,116.233,3043,145,2811,1582.0,-7.4166794949323345,32.06629358656666
29,150.86,2933,197,2736,1582.0,-7.415573930425374,32.06629358656666
30,156.404,2891,340,2585,1582.0,-7.414468365918418,32.066293586566665
31,107.236,2815,304,2521,1582.0,-7.413362801411457,32.06629358656666
32,118.227,2724,230,2363,1582.0,-7.412257236904498,32.066293586566665
33,144.733,2660,166,2299,1582.0,-7.411151672397541,32.06629358656666
34,206.205,2597,200,2180,1582.0,-7.410046107890582,32.06629358656666
35,178.192,2508,194,2023,1582.0,-7.408940543383622,32.06629358656666
36,171.286,2484,299,1921,1582.0,-7.407834978876665,32.066293586566665
37,110.543,2344,158,1780,1582.0,-7.406729414369706,32.06629358656666
38,155.48,2308,86,1656,1582.0,-7.405623849862747,32.06629358656666
39,41.387,2229,165,1548,1582.0,-7.404518285355788,32.066293586566665
40,0.0,2133,278,1428,1582.0,-7.403412720848828,32.06629358656666
