,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,546.709,4910,2186,3322,66,3871,796,1878.0,-0.8013925596765281,35.76846495740365
1,555.909,4747,2219,3159,129,3709,680,1878.0,-0.8002566382595521,35.768464957403644
2,663.722,4685,2157,3097,199,3646,618,1878.0,-0.7991207168425761,35.768464957403644
3,524.291,4641,2113,3053,192,3602,574,1878.0,-0.7979847954256002,35.76846495740365
4,252.816,4835,2100,3248,19,3797,711,1878.0,-0.8025229697734235,35.7675894071714
5,129.064,4821,2110,3233,34,3782,720,1878.0,-0.8013870561573252,35.76758940717141
6,275.104,4747,2219,3159,104,3709,680,1878.0,-0.800251142541227,35.76758940717141
7,527.79,4610,2082,3022,160,3571,543,1878.0,-0.7991152289251285,35.76758940717141
8,523.384,4629,2101,3041,250,3590,562,1878.0,-0.7979793153090304,35.76758940717141
9,183.618,4602,2074,3015,250,3564,535,1878.0,-0.7968434016929321,35.76758940717141
10,32.396,4662,2134,3074,43,3623,595,1878.0,-0.8002456470635991,35.766713860564515
11,451.466,4575,2047,2987,43,3537,508,1878.0,-0.799109741248037,35.76671386056452
12,526.364,4534,2006,2946,133,3495,467,1878.0,-0.7979738354324748,35.76671386056452
13,223.012,4506,1978,2918,245,3468,449,1878.0,-0.7968379296169124,35.76671386056452
14,319.551,4493,1965,2905,151,3455,422,1878.0,-0.7991042538112891,35.76583831758285
15,597.635,4429,1901,2841,190,3390,366,1878.0,-0.7979683557959215,35.76583831758286
16,324.734,4281,1754,2694,337,3243,335,1878.0,-0.7968324577805536,35.765838317582855
17,157.443,4415,1887,2827,238,3377,344,1878.0,-0.7990987666148738,35.76496277822627
18,478.419,4324,1796,2736,298,3286,253,1878.0,-0.7979628763993587,35.76496277822626
19,447.578,4270,1742,2682,350,3232,313,1878.0,-0.7968269861838434,35.76496277822626
20,531.029,4188,1660,2601,488,3150,63,1878.0,-0.7979573972427749,35.76408724249461
21,429.955,4082,1554,2495,475,3044,185,1878.0,-0.7968215148267709,35.76408724249461
22,362.702,4133,1606,2546,485,3095,236,1878.0,-0.795685632410767,35.76408724249461
23,48.075,4248,1501,2660,626,3210,123,1878.0,-0.7990877929429928,35.76321171038774
24,322.79,4188,1597,2601,517,3150,63,1878.0,-0.7979519183261584,35.763211710387736
25,351.687,4082,1554,2495,475,3044,185,1878.0,-0.7968160437093241,35.76321171038774
26,427.882,4082,1554,2495,475,3044,185,1878.0,-0.7956801690924897,35.76321171038774
27,0.259,4258,1489,2671,645,3220,134,1878.0,-0.7990823064675036,35.76233618190551
28,28.638,4222,1501,2635,615,3184,98,1878.0,-0.7979464396494973,35.7623361819055
29,26.694,4124,1597,2537,517,3086,0,1878.0,-0.796810572831491,35.76233618190551
30,235.451,3766,1238,2178,159,2727,358,1878.0,-0.7945388391954781,35.7623361819055
31,176.232,3766,1238,2178,159,2727,358,1878.0,-0.7934029723774718,35.76233618190551
32,342.875,3766,1238,2178,159,2727,358,1878.0,-0.79453338415422,35.76146065704778
33,345.078,3724,1196,2136,117,2686,400,1878.0,-0.7933975251347003,35.76146065704777
34,244.652,3709,0,2121,1079,2670,1482,1878.0,-0.7945279293518698,35.760585135814395
35,452.761,3665,1137,2077,58,2626,492,1878.0,-0.7933920781304947,35.760585135814395
36,177.528,3607,1079,2019,0,2568,517,1878.0,-0.7922562269091196,35.760585135814395
37,1.296,3346,818,1758,260,2307,778,1878.0,-0.7911149445176997,35.759709618205235
38,22.418,3346,818,1758,260,2307,778,1878.0,-0.789979101094128,35.75970961820523
39,0.648,3936,978,2349,1139,2898,621,1878.0,-0.7979245273421738,35.75883410422015
40,249.706,3345,651,1757,445,2306,922,1878.0,-0.7911095135855144,35.75883410422014
41,66.346,3346,818,1758,260,2307,778,1878.0,-0.7899736779594048,35.75883410422015
42,22.159,3467,939,1879,381,2428,899,1878.0,-0.7888378423332948,35.758834104220156
43,12.051,3333,375,1746,703,2295,1107,1878.0,-0.7922399107201669,35.757958593859
44,277.047,3331,426,1743,652,2293,1080,1878.0,-0.7911040828911773,35.757958593859
45,155.369,3246,580,1659,532,2208,968,1878.0,-0.7899682550621878,35.757958593859
46,187.649,3160,632,1572,446,2122,882,1878.0,-0.7888324272331985,35.757958593858994
47,2.203,3300,492,1713,586,2262,1023,1878.0,-0.7910986524346766,35.757083087121615
48,312.164,3242,551,1654,528,2203,964,1878.0,-0.789962832402466,35.75708308712162
49,200.205,3160,632,1572,446,2122,882,1878.0,-0.7888270123702554,35.757083087121615
50,43.281,2961,831,1374,645,1923,684,1878.0,-0.787691192338045,35.75708308712162
51,0.0,2937,856,1349,669,1898,659,1878.0,-0.7865553723058342,35.75708308712162
52,5.442,3088,742,1500,972,2049,861,1878.0,-0.7899574099802271,35.756207584007875
53,155.24,3027,681,1440,912,1989,801,1878.0,-0.7888215977444539,35.756207584007875
54,497.856,2937,856,1349,669,1898,659,1878.0,-0.7876857855086808,35.756207584007875
55,107.035,2937,856,1349,669,1898,659,1878.0,-0.7865499732729077,35.756207584007875
56,41.726,3170,879,1618,1110,2167,985,1878.0,-0.7910877922351373,35.75533208451763
57,256.185,3094,786,1507,1017,2056,868,1878.0,-0.7899519877954597,35.755332084517626
58,509.389,2944,777,1356,840,1905,717,1878.0,-0.7888161833557829,35.75533208451763
59,422.698,2844,864,1257,927,1806,618,1878.0,-0.7876803789161054,35.75533208451763
60,125.177,2844,864,1257,927,1806,618,1878.0,-0.7865445744764283,35.75533208451762
61,166.384,2681,1027,1094,1090,1643,455,1878.0,-0.7854087700367514,35.75533208451763
