,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,67.589,1733,272,1512,1810,1973,3020.0,12.603573967281584,13.328936564510432
1,56.733,1733,272,1512,1810,1973,3020.0,12.604588706943213,13.328936564510432
2,85.731,1590,0,1470,1666,1829,3020.0,12.605603446604844,13.328936564510432
3,8.216,1590,0,1470,1666,1829,3020.0,12.606618186266473,13.328936564510432
4,63.721,1654,391,1383,1827,1990,3020.0,12.603547654358321,13.328119301398191
5,63.057,1620,159,1399,1696,1859,3020.0,12.604562391901446,13.328119301398191
6,71.157,1576,115,1355,1653,1815,3020.0,12.605577129444567,13.328119301398191
7,89.117,1590,0,1470,1666,1829,3020.0,12.606591866987689,13.32811930139819
8,50.326,1684,227,1828,1459,1884,3020.0,12.61065081716018,13.328119301398191
9,67.572,1684,227,1828,1459,1884,3020.0,12.611665554703308,13.328119301398191
10,51.422,1644,496,1338,1828,1991,3020.0,12.603521343202045,13.327302039341498
11,43.72,1512,246,1240,1674,1837,3020.0,12.604536078626802,13.3273020393415
12,92.769,1501,190,1336,1578,1740,3020.0,12.60555081405156,13.327302039341498
13,49.513,1445,145,1344,1521,1684,3020.0,12.606565549476318,13.327302039341495
14,33.927,1459,0,1358,1346,1698,3020.0,12.607580284901072,13.327302039341498
15,42.841,1435,136,1493,1210,1635,3020.0,12.608595020325836,13.327302039341498
16,57.082,1527,235,1587,1302,1727,3020.0,12.609609755750592,13.3273020393415
17,66.526,1639,237,1699,1414,1839,3020.0,12.610624491175347,13.327302039341497
18,48.799,1616,159,1759,1390,1816,3020.0,12.611639226600106,13.327302039341498
19,37.645,1514,431,1208,1763,1898,3020.0,12.603495033812722,13.326484778340289
20,12.167,1427,267,1156,1599,1762,3020.0,12.604509767119259,13.326484778340292
21,53.912,1333,226,1139,1409,1572,3020.0,12.605524500425794,13.326484778340289
22,79.241,1362,106,1261,1438,1601,3020.0,12.60653923373233,13.326484778340289
23,82.079,1459,0,1358,1346,1698,3020.0,12.607553967038859,13.326484778340289
24,54.26,1438,279,1498,1213,1638,3020.0,12.608568700345396,13.326484778340289
25,66.377,1438,279,1498,1213,1638,3020.0,12.609583433651933,13.32648477834029
26,63.854,1556,153,1615,1330,1756,3020.0,12.610598166958466,13.326484778340289
27,48.965,1535,77,1678,1309,1734,3020.0,12.611612900265001,13.326484778340289
28,6.424,1477,467,1171,1799,1906,3020.0,12.603468726190327,13.325667518394496
29,8.415,1364,327,1093,1538,1701,3020.0,12.60448345737878,13.325667518394495
30,63.987,1333,226,1139,1409,1572,3020.0,12.605498188567237,13.325667518394498
31,59.223,1245,138,1145,1321,1484,3020.0,12.60651291975569,13.325667518394498
32,68.319,1304,0,1203,1194,1543,3020.0,12.607527650944142,13.325667518394495
33,57.431,1282,137,1340,1057,1482,3020.0,12.608542382132597,13.325667518394498
34,59.489,1359,200,1418,1133,1559,3020.0,12.609557113321051,13.325667518394498
35,88.37,1478,80,1538,1253,1678,3020.0,12.610571844509506,13.325667518394498
36,47.339,1418,38,1561,1192,1618,3020.0,12.61158657569796,13.325667518394498
37,0.0,1838,1704,1791,1524,1673,3020.0,12.621733887582495,13.325667518394496
38,0.0,1838,1704,1791,1524,1673,3020.0,12.62274861877095,13.325667518394498
39,18.806,1265,631,959,1554,1664,3020.0,12.603442420334822,13.32485025950405
40,14.723,1266,263,995,1440,1603,3020.0,12.60445714940534,13.324850259504048
41,66.692,1275,223,1008,1401,1564,3020.0,12.605471878475852,13.32485025950405
42,56.302,1256,148,1055,1332,1495,3020.0,12.606486607546369,13.32485025950405
43,59.373,1304,0,1203,1194,1543,3020.0,12.607501336616881,13.32485025950405
44,15.885,1124,294,1189,899,1324,3020.0,12.6085160656874,13.32485025950405
45,75.124,1239,273,1304,1014,1439,3020.0,12.609530794757912,13.324850259504048
46,60.966,1183,221,1326,957,1383,3020.0,12.610545523828426,13.32485025950405
47,63.124,1296,107,1439,1071,1496,3020.0,12.611560252898945,13.324850259504048
48,54.675,1253,0,1547,1028,1453,3020.0,12.612574981969459,13.32485025950405
49,46.492,1082,279,1437,768,1276,3020.0,12.614604440110492,13.32485025950405
50,21.595,1072,288,1428,759,1266,3020.0,12.615619169181008,13.324850259504048
51,0.0,1615,1481,1568,1301,1450,3020.0,12.621707543604098,13.32485025950405
52,34.575,1175,640,869,1467,1574,3020.0,12.603416116246178,13.324033001668877
53,43.886,1131,461,860,1375,1501,3020.0,12.604430843198895,13.324033001668877
54,70.593,1121,407,850,1328,1491,3020.0,12.605445570151618,13.324033001668875
55,65.199,1091,295,908,1167,1330,3020.0,12.606460297104332,13.324033001668878
56,39.288,1050,254,949,1126,1289,3020.0,12.607475024057052,13.324033001668875
57,31.487,1124,294,1189,899,1324,3020.0,12.608489751009772,13.324033001668878
58,61.63,1124,294,1189,899,1324,3020.0,12.60950447796249,13.324033001668877
59,58.294,1085,318,1411,860,1285,3020.0,12.610519204915208,13.324033001668877
60,58.343,1296,107,1439,1071,1496,3020.0,12.61153393186793,13.324033001668878
61,49.165,1253,0,1547,1028,1453,3020.0,12.612548658820648,13.324033001668877
62,52.783,952,409,1307,639,1146,3020.0,12.614578112726086,13.324033001668875
63,24.4,952,409,1307,639,1146,3020.0,12.615592839678804,13.324033001668877
64,0.0,1615,1481,1568,1301,1450,3020.0,12.621681201395118,13.324033001668878
65,73.614,1094,557,788,1384,1491,3020.0,12.603389813924359,13.323215744888907
66,60.119,1090,526,819,1353,1460,3020.0,12.604404538759427,13.323215744888905
67,70.709,1029,445,758,1235,1398,3020.0,12.60541926359449,13.323215744888909
68,64.667,947,356,939,1023,1186,3020.0,12.606433988429552,13.323215744888907
69,25.064,947,356,939,1023,1186,3020.0,12.607448713264619,13.323215744888909
70,4.017,1017,402,1296,791,1217,3020.0,12.608463438099685,13.323215744888905
71,57.198,1017,402,1296,791,1217,3020.0,12.609478162934748,13.323215744888907
72,79.49,1068,335,1394,843,1268,3020.0,12.610492887769812,13.323215744888905
73,67.655,923,657,1278,610,1117,3020.0,12.614551787110074,13.323215744888909
74,55.173,1001,521,1320,687,1195,3020.0,12.615566511945138,13.323215744888909
75,18.607,972,555,1286,658,1166,3020.0,12.616581236780203,13.323215744888909
76,63.223,980,606,674,1344,1418,3020.0,12.603363513369336,13.322398489164074
77,59.29,920,550,631,1201,1308,3020.0,12.604378236086891,13.322398489164074
78,65.049,968,506,697,1230,1338,3020.0,12.605392958804444,13.322398489164074
79,72.386,855,560,845,988,1095,3020.0,12.606407681521995,13.322398489164074
80,75.091,854,449,956,931,1094,3020.0,12.607422404239552,13.322398489164074
81,62.609,933,319,1357,708,1133,3020.0,12.610466572392209,13.322398489164076
82,40.401,954,439,1390,642,1078,3020.0,12.611481295109762,13.322398489164076
83,46.442,939,487,1342,627,1077,3020.0,12.612496017827317,13.322398489164074
84,42.625,850,576,1253,538,989,3020.0,12.61351074054487,13.322398489164076
85,76.568,814,570,1169,500,1008,3020.0,12.614525463262424,13.322398489164074
86,75.141,814,547,1169,500,1008,3020.0,12.61554018597998,13.322398489164074
87,73.05,1026,609,1231,713,1113,3020.0,12.616554908697527,13.322398489164076
88,0.0,1497,1363,1402,1183,1285,3020.0,12.621628522285295,13.322398489164073
89,0.0,1497,1363,1402,1183,1285,3020.0,12.622643245002847,13.322398489164076
90,74.195,826,452,520,1352,1265,3020.0,12.603337214581074,13.321581234494307
