,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,38.596,2167,2628,2299,370,3209,0,3826,3386.0,23.753274599824728,44.353389308028916
1,49.607,2183,2645,2316,387,3225,0,3842,3386.0,23.754504033566086,44.35338930802892
2,5.836,2273,2735,2406,931,3316,890,3932,3386.0,23.764339503496906,44.353389308028916
3,0.202,2273,2735,2406,931,3316,890,3932,3386.0,23.765568937238267,44.35338930802892
4,1.59,3259,2939,2534,712,3447,742,3942,3386.0,23.81474628689241,44.35338930802892
5,32.887,3564,2665,2261,388,3173,461,3668,3386.0,23.81720515437512,44.35338930802892
6,31.245,3685,2544,2140,267,3052,341,3548,3386.0,23.81843458811647,44.35338930802892
7,5.593,3685,2544,2140,267,3052,341,3548,3386.0,23.819664021857825,44.353389308028916
8,0.378,3784,2512,2107,235,3020,308,3360,3386.0,23.82089345559918,44.35338930802892
9,0.0,3920,2648,2244,371,3156,444,3214,3386.0,23.822122889340534,44.35338930802892
10,0.0,3920,2648,2244,371,3156,444,3214,3386.0,23.823352323081888,44.353389308028916
11,45.98,2097,2559,2230,301,3140,53,3756,3386.0,23.753041014962278,44.35247135626878
12,17.019,2080,2541,2213,255,3122,98,3739,3386.0,23.754270436613627,44.35247135626878
13,38.276,2060,2521,2192,120,3102,132,3719,3386.0,23.755499858264987,44.352471356268794
14,27.754,2019,2481,2152,79,3062,115,3678,3386.0,23.756729279916332,44.35247135626879
15,12.955,2273,2735,2406,931,3316,890,3932,3386.0,23.764105809824454,44.35247135626878
16,34.43,2273,2735,2406,931,3316,890,3932,3386.0,23.765335231475806,44.352471356268794
17,20.114,3258,2921,2517,712,3429,724,3924,3386.0,23.814512097529917,44.35247135626879
18,41.967,3350,2829,2424,602,3337,632,3832,3386.0,23.81574151918127,44.352471356268794
19,38.219,3535,2694,2290,417,3202,491,3697,3386.0,23.816970940832626,44.35247135626879
20,35.448,3685,2544,2140,267,3052,341,3548,3386.0,23.818200362483978,44.352471356268794
21,43.593,3685,2544,2140,267,3052,341,3548,3386.0,23.819429784135323,44.352471356268794
22,0.861,3697,2424,2020,147,2932,221,3410,3386.0,23.820659205786686,44.35247135626879
23,0.0,3920,2648,2244,371,3156,444,3214,3386.0,23.82188862743803,44.352471356268794
24,0.0,3920,2648,2244,371,3156,444,3214,3386.0,23.823118049089384,44.35247135626879
25,3.819,1939,2401,2072,194,2982,0,3599,3386.0,23.75403685098495,44.35155340985984
26,19.575,1923,2385,2056,113,2966,114,3582,3386.0,23.755266260546883,44.35155340985984
27,55.572,1993,2455,2126,0,3036,194,3652,3386.0,23.756495670108823,44.35155340985983
28,3.305,2524,3206,2878,1403,3787,1361,3982,3386.0,23.770019175290145,44.35155340985984
29,1.324,2524,3206,2878,1403,3787,1361,3982,3386.0,23.771248584852078,44.35155340985984
30,48.74,3314,2761,2356,644,3269,564,3764,3386.0,23.814277919519906,44.35155340985984
31,35.78,3467,2712,2308,485,3220,515,3716,3386.0,23.816736738643783,44.35155340985984
32,1.665,3549,2277,1872,0,2785,73,3280,3386.0,23.8204249673296,44.35155340985984
33,0.035,3573,2301,1896,171,2809,97,3266,3386.0,23.821654376891534,44.35155340985984
34,0.345,3764,2442,2037,490,2950,416,2947,3386.0,23.825342605577347,44.35155340985984
35,16.152,1838,2300,1971,158,2881,133,3497,3386.0,23.755032674152403,44.3506354688018
36,38.312,1831,2292,1964,172,2873,171,3490,3386.0,23.756262071625518,44.35063546880181
37,9.382,1882,2344,2015,540,2925,499,3541,3386.0,23.76117966151795,44.350635468801805
38,35.628,2524,3206,2878,1403,3787,1361,3982,3386.0,23.769785443829722,44.35063546880181
39,15.559,2524,3206,2878,1403,3787,1361,3982,3386.0,23.771014841302833,44.35063546880181
40,29.358,2318,3185,3084,1609,3593,1568,3776,3386.0,23.772244238775933,44.350635468801805
41,8.686,2240,3107,3144,1686,3515,1645,3699,3386.0,23.773473636249047,44.35063546880181
42,20.057,3314,2761,2356,644,3269,564,3764,3386.0,23.814043752861647,44.35063546880181
43,32.97,3311,2555,2151,439,3063,358,3558,3386.0,23.816502547807872,44.350635468801805
44,13.399,3260,2504,2099,387,3012,307,3507,3386.0,23.817731945280972,44.3506354688018
45,47.345,3472,2200,1795,77,2708,0,3203,3386.0,23.820190740227194,44.350635468801805
46,35.799,3573,2301,1896,171,2809,97,3266,3386.0,23.821420137700304,44.3506354688018
47,8.58,1799,2261,1932,193,2842,140,3459,3386.0,23.754799099080817,44.34971753309449
48,28.99,1857,2318,1990,208,2899,197,3516,3386.0,23.756028484465684,44.349717533094484
49,63.923,1711,2172,1844,369,2753,328,3370,3386.0,23.759716640620283,44.34971753309448
50,19.123,1782,2244,1915,440,2825,399,3441,3386.0,23.760946026005154,44.349717533094484
51,35.63,2736,3466,3137,1662,4011,1621,4194,3386.0,23.76709295292948,44.34971753309448
52,34.451,2736,3466,3137,1662,4011,1621,4194,3386.0,23.768322338314352,44.349717533094484
53,18.559,2552,3419,3318,1843,3827,1802,4011,3386.0,23.769551723699216,44.349717533094484
54,37.255,2552,3419,3318,1843,3827,1802,4011,3386.0,23.77078110908408,44.349717533094484
55,8.035,2318,3185,3084,1609,3593,1568,3776,3386.0,23.77201049446895,44.349717533094484
56,2.491,2257,3124,3144,1669,3532,1628,3716,3386.0,23.77323987985382,44.349717533094484
57,7.137,3211,2455,2050,338,2963,258,3458,3386.0,23.816268368324142,44.349717533094484
58,4.71,3211,2455,2050,338,2963,258,3458,3386.0,23.817497753709006,44.349717533094484
59,38.174,1582,2044,1715,0,2625,178,3241,3386.0,23.7557949086286,44.34879960273767
60,36.45,1582,2044,1715,34,2625,178,3241,3386.0,23.757024281925812,44.34879960273767
61,61.735,1636,2098,1769,294,2679,253,3295,3386.0,23.75948302852023,44.34879960273767
62,15.41,2631,3498,3242,1767,3906,1726,4089,3386.0,23.768088641600695,44.34879960273767
63,9.04,2631,3498,3242,1767,3906,1726,4089,3386.0,23.76931801489791,44.34879960273767
64,7.182,2552,3419,3318,1843,3827,1802,4011,3386.0,23.770547388195112,44.34879960273767
65,2.604,2877,2270,1865,672,2778,491,3273,3386.0,23.813575453597455,44.34879960273767
66,32.006,2877,2270,1865,672,2778,491,3273,3386.0,23.814804826894658,44.34879960273767
67,30.502,3477,2154,1750,940,2662,611,3148,3386.0,23.822181066677917,44.34879960273767
68,0.0,3477,2154,1750,940,2662,611,3148,3386.0,23.82341043997513,44.34879960273767
69,46.819,3417,2094,1690,824,2602,722,3088,3386.0,23.82463981327234,44.348799602737664
70,26.726,1449,1911,1582,77,2491,45,3108,3386.0,23.756790705323677,44.34788167773112
71,41.05,1478,1940,1611,136,2521,95,3137,3386.0,23.758020066533813,44.34788167773112
72,38.252,1585,2047,1718,243,2628,202,3244,3386.0,23.759249427743956,44.347881677731124
73,49.965,1591,2053,1724,249,2634,208,3250,3386.0,23.760478788954092,44.347881677731124
74,18.339,2896,2289,1885,692,2797,511,3293,3386.0,23.81334132099005,44.34788167773112
75,23.324,2877,2270,1865,672,2778,491,3273,3386.0,23.81457068220019,44.34788167773113
76,67.311,3194,1871,1467,405,2379,93,2874,3386.0,23.819488127040746,44.34788167773112
77,20.155,3477,2154,1750,940,2662,611,3148,3386.0,23.82194684946103,44.347881677731124
78,13.108,3477,2154,1750,940,2662,611,3148,3386.0,23.823176210671164,44.347881677731124
79,0.247,3401,2078,1673,840,2586,710,3072,3386.0,23.8244055718813,44.34788167773112
80,11.943,1427,1889,1560,3,2469,51,3086,3386.0,23.75655714004341,44.34696375807461
81,23.595,1400,1862,1533,49,2443,8,3059,3386.0,23.757786489167053,44.34696375807461
82,32.472,1377,1823,1494,463,2404,200,3021,3386.0,23.759015838290715,44.346963758074615
83,66.135,1430,1876,1548,517,2457,254,3074,3386.0,23.76147453653802,44.34696375807461
84,46.124,1490,1936,1608,577,2517,314,3134,3386.0,23.762703885661672,44.3469637580746
85,27.789,2947,2340,1935,742,2848,561,3343,3386.0,23.813107199731466,44.3469637580746
86,53.033,2947,2340,1935,742,2848,561,3343,3386.0,23.814336548855128,44.3469637580746
87,50.747,3119,1796,1391,480,2304,17,2799,3386.0,23.81925394534974,44.34696375807461
88,71.688,3223,1900,1496,620,2408,121,2903,3386.0,23.820483294473387,44.34696375807461
89,63.429,3223,1900,1496,620,2408,121,2903,3386.0,23.82171264359705,44.346963758074615
90,18.831,3179,1856,1451,1033,2364,534,2850,3386.0,23.822941992720693,44.3469637580746
91,0.584,3179,1856,1451,1033,2364,534,2850,3386.0,23.824171341844355,44.34696375807461
92,19.819,1252,1713,1385,172,2294,90,2911,3386.0,23.757552923122024,44.3460458437679
93,9.093,1321,1767,1438,407,2348,144,2964,3386.0,23.758782260159784,44.3460458437679
94,19.74,1266,1712,1384,353,2293,90,2910,3386.0,23.760011597197536,44.34604584376788
95,40.879,1383,1829,1501,470,2410,207,3027,3386.0,23.761240934235293,44.34604584376789
96,15.889,1488,1934,1606,574,2515,311,3132,3386.0,23.762470271273045,44.34604584376788
97,27.988,3223,1900,1496,620,2408,121,2903,3386.0,23.8202491120475,44.3460458437679
98,38.044,3197,1875,1470,685,2383,186,2869,3386.0,23.821478449085255,44.3460458437679
99,48.503,3124,1801,1397,978,2309,480,2795,3386.0,23.82270778612301,44.34604584376789
100,33.308,3100,1777,1373,954,2285,455,2771,3386.0,23.82393712316076,44.34604584376789
101,20.724,1280,1802,1473,439,2383,315,3000,3386.0,23.75609004344555,44.34512793481074
102,0.988,1280,1802,1473,439,2383,315,3000,3386.0,23.757319368397994,44.34512793481075
103,2.2,1132,1622,1294,291,2203,125,2820,3386.0,23.75854869335043,44.34512793481074
104,13.941,1114,1562,1233,324,2142,61,2759,3386.0,23.75977801830287,44.34512793481075
