,POP_2015,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,0.84,1702,917,4383,4638,3515.0,25.57733734320497,-33.77527939228433
1,4.045,1702,917,4383,4638,3515.0,25.57845628527655,-33.77527939228433
2,4.019,1702,917,4383,4638,3515.0,25.5774987477737,-33.77614701819974
3,76.062,1702,917,4383,4638,3515.0,25.578617696906317,-33.776147018199744
4,17.97,1632,1207,4313,4568,3515.0,25.574303290769922,-33.777014647427436
5,1.091,1632,1207,4313,4568,3515.0,25.575422246963864,-33.777014647427436
6,9.245,1597,1109,4278,4533,3515.0,25.57654120315781,-33.777014647427436
7,18.796,1597,1109,4278,4533,3515.0,25.577660159351762,-33.777014647427436
8,157.072,1788,580,4451,4705,3515.0,25.581017027933605,-33.777014647427436
9,132.93,1859,480,4351,4605,3515.0,25.58213598412755,-33.77701464742744
10,121.977,1859,480,4351,4605,3515.0,25.5832549403215,-33.777014647427436
11,138.9,2065,110,4430,4685,3515.0,25.5854928527094,-33.77701464742744
12,57.371,2065,110,4430,4685,3515.0,25.586611808903342,-33.777014647427436
13,2.469,1632,1207,4313,4568,3515.0,25.574464688172696,-33.77788227996756
14,14.929,1482,1128,4164,4418,3515.0,25.57558365142829,-33.777882279967564
15,1.206,1484,996,4166,4420,3515.0,25.57670261468388,-33.77788227996756
16,32.079,1796,880,4477,4732,3515.0,25.577821577939467,-33.77788227996756
17,105.122,1796,880,4477,4732,3515.0,25.578940541195067,-33.77788227996756
18,117.966,1647,720,4328,4583,3515.0,25.580059504450652,-33.77788227996756
19,135.07,1702,598,4384,4638,3515.0,25.58117846770625,-33.77788227996756
20,134.624,1806,480,4338,4593,3515.0,25.582297430961837,-33.777882279967564
21,87.835,1841,335,4206,4460,3515.0,25.583416394217426,-33.777882279967564
22,136.264,1895,281,4260,4514,3515.0,25.584535357473023,-33.77788227996756
23,106.045,1999,177,4364,4618,3515.0,25.58565432072861,-33.777882279967564
24,31.999,2065,110,4430,4685,3515.0,25.586773283984208,-33.777882279967564
25,23.696,1482,1128,4164,4418,3515.0,25.57574506290207,-33.77874991582025
26,6.067,1470,982,4152,4406,3515.0,25.576864033219618,-33.77874991582025
27,40.73,1385,895,4066,4321,3515.0,25.577983003537156,-33.77874991582024
28,73.843,1529,784,4210,4465,3515.0,25.5791019738547,-33.77874991582025
29,88.466,1566,712,4236,4491,3515.0,25.580220944172236,-33.77874991582024
30,135.2,1606,675,4276,4531,3515.0,25.58133991448979,-33.77874991582024
31,142.726,1678,559,4286,4541,3515.0,25.582458884807327,-33.77874991582024
32,124.166,1712,669,4162,4417,3515.0,25.58357785512487,-33.77874991582025
33,127.685,1990,371,4355,4610,3515.0,25.584696825442407,-33.77874991582024
34,104.953,2133,198,4498,4752,3515.0,25.585815795759952,-33.77874991582025
35,15.146,2198,22,4563,4818,3515.0,25.586934766077494,-33.77874991582025
36,17.284,1385,1241,4067,4321,3515.0,25.575906481385527,-33.77961755498562
37,11.561,1345,1157,4026,4281,3515.0,25.577025458765334,-33.77961755498563
38,43.793,1503,925,4173,4427,3515.0,25.57814443614513,-33.77961755498562
39,83.815,1397,876,4067,4321,3515.0,25.579263413524927,-33.77961755498562
40,86.782,1445,788,4115,4369,3515.0,25.58038239090473,-33.77961755498562
41,130.787,1579,763,4227,4482,3515.0,25.581501368284528,-33.77961755498562
42,117.639,1532,687,4165,4420,3515.0,25.582620345664328,-33.77961755498562
43,115.486,1652,577,4069,4324,3515.0,25.583739323044128,-33.77961755498563
44,111.913,2084,277,4449,4703,3515.0,25.58485830042393,-33.77961755498563
45,97.253,2189,172,4554,4809,3515.0,25.585977277803728,-33.77961755498562
46,16.293,2029,474,4379,4633,3515.0,25.587096255183525,-33.77961755498563
47,19.334,1890,955,4223,4478,3515.0,25.58821523256333,-33.77961755498562
48,16.293,1992,1099,4325,4580,3515.0,25.589334209943125,-33.77961755498562
49,0.276,2062,1186,4326,4581,3515.0,25.59045318732292,-33.77961755498562
50,8.537,1201,1228,3882,4137,3515.0,25.577186891321357,-33.78048519746383
51,53.44,1180,1053,3850,4104,3515.0,25.578305875763725,-33.78048519746383
52,66.627,1303,930,3973,4228,3515.0,25.579424860206085,-33.780485197463825
53,127.432,1308,951,3978,4232,3515.0,25.580543844648442,-33.780485197463825
54,127.885,1387,809,4035,4289,3515.0,25.581662829090817,-33.780485197463825
55,75.288,1457,744,4101,4356,3515.0,25.582781813533177,-33.780485197463825
56,75.449,1579,596,3945,4199,3515.0,25.583900797975538,-33.78048519746383
57,89.052,1620,907,3985,4240,3515.0,25.585019782417902,-33.78048519746383
58,88.973,1705,976,4049,4304,3515.0,25.586138766860266,-33.780485197463825
59,95.717,1777,1049,4111,4366,3515.0,25.58725775130263,-33.780485197463825
60,137.948,1870,1051,4204,4459,3515.0,25.588376735745,-33.780485197463825
61,115.184,1872,1171,4206,4461,3515.0,25.589495720187355,-33.780485197463825
62,0.0,2066,1301,4223,4477,3515.0,25.59285267351445,-33.78048519746383
63,0.0,2066,1301,4223,4477,3515.0,25.59397165795681,-33.780485197463825
64,0.0,2187,1421,4343,4598,3515.0,25.59509064239917,-33.780485197463825
65,0.0,2187,1421,4343,4598,3515.0,25.596209626841535,-33.780485197463825
66,0.0,1212,1238,3893,4148,3515.0,25.576229339382778,-33.78135284325498
67,0.552,1167,1194,3849,4104,3515.0,25.577348330888004,-33.78135284325498
68,121.281,1109,1131,3790,4045,3515.0,25.57846732239324,-33.78135284325498
69,154.348,1181,1050,3851,4106,3515.0,25.57958631389848,-33.78135284325498
70,123.156,1255,976,3913,4167,3515.0,25.58070530540372,-33.78135284325498
71,98.216,1293,925,3942,4196,3515.0,25.581824296908948,-33.78135284325497
72,130.386,1430,1070,3955,4210,3515.0,25.58294328841418,-33.78135284325498
73,113.549,1445,868,3848,4103,3515.0,25.584062279919415,-33.78135284325498
74,105.281,1548,834,3913,4167,3515.0,25.585181271424652,-33.78135284325498
75,119.113,1597,969,3930,4185,3515.0,25.58630026292989,-33.78135284325498
76,133.193,1728,1127,4062,4316,3515.0,25.587419254435122,-33.78135284325498
77,131.512,1773,1190,4106,4361,3515.0,25.588538245940356,-33.78135284325497
78,99.078,1797,1247,4131,4385,3515.0,25.58965723744559,-33.78135284325498
79,0.0,2066,1301,4223,4477,3515.0,25.593014211961282,-33.78135284325498
80,0.0,2066,1301,4223,4477,3515.0,25.594133203466523,-33.78135284325498
81,140.552,1049,1181,3719,3974,3515.0,25.57862877603403,-33.78222049235921
82,158.107,1098,1142,3763,4017,3515.0,25.579747774602435,-33.78222049235921
83,108.777,1189,1029,3838,4092,3515.0,25.580866773170847,-33.78222049235921
84,87.303,1269,962,3917,4172,3515.0,25.581985771739266,-33.782220492359215
85,126.911,1296,936,3818,4073,3515.0,25.58310477030767,-33.78222049235922
86,123.262,1323,852,3734,3989,3515.0,25.584223768876086,-33.78222049235922
87,122.202,1446,923,3785,4040,3515.0,25.585342767444494,-33.78222049235921
88,111.154,1542,1013,3881,4135,3515.0,25.58646176601291,-33.782220492359215
89,92.63,1605,1078,3939,4193,3515.0,25.587580764581325,-33.78222049235922
90,100.739,1611,1092,3945,4199,3515.0,25.58869976314973,-33.78222049235921
91,72.384,1726,1207,4059,4314,3515.0,25.589818761718146,-33.78222049235922
92,22.294,1689,923,3953,4208,3515.0,25.590937760286558,-33.78222049235922
93,0.015,1767,1002,4031,4286,3515.0,25.592056758854966,-33.78222049235921
94,0.0,1931,1166,4088,4342,3515.0,25.593175757423378,-33.78222049235921
95,0.0,1931,1166,4088,4342,3515.0,25.59429475599179,-33.7822204923592
96,0.0,2599,1470,4240,4494,3515.0,25.598770750265437,-33.78222049235921
97,0.0,2599,1470,4240,4494,3515.0,25.599889748833846,-33.78222049235921
98,7.676,885,1346,3567,3821,3515.0,25.577671231054495,-33.783088144776656
99,185.945,928,1310,3602,3857,3515.0,25.57879023668639,-33.78308814477666
100,137.231,1025,1193,3674,3928,3515.0,25.57990924231829,-33.78308814477666
101,80.339,1113,1105,3762,4016,3515.0,25.581028247950176,-33.783088144776656
102,112.329,1169,1033,3817,4072,3515.0,25.58214725358208,-33.783088144776656
103,124.352,1308,949,3831,4085,3515.0,25.583266259213975,-33.783088144776656
104,91.705,1407,1036,3741,3996,3515.0,25.584385264845864,-33.783088144776656
105,128.812,1383,1017,3717,3971,3515.0,25.585504270477767,-33.78308814477666
106,130.427,1436,1058,3769,4024,3515.0,25.586623276109655,-33.783088144776656
107,98.856,1618,1100,3952,4206,3515.0,25.58774228174155,-33.783088144776656
108,88.743,1501,981,3835,4089,3515.0,25.58886128737345,-33.78308814477666
109,78.899,1558,827,3857,4111,3515.0,25.589980293005343,-33.783088144776656
110,27.03,1689,923,3953,4208,3515.0,25.59109929863724,-33.783088144776656
111,0.233,1767,1002,4031,4286,3515.0,25.59221830426914,-33.78308814477666
