,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.877,3369,547,2161,4300,4378,3354,3569.0,28.73395888478031,41.216810265956
1,26.457,3369,547,2161,4300,4378,3354,3569.0,28.735149855658165,41.21681026595599
2,2.255,3635,333,2016,4488,4566,3804,3569.0,28.728947240510877,41.21590950509727
3,14.492,3502,360,2028,4434,4512,3488,3569.0,28.732520122331646,41.21590950509727
4,20.61,3369,547,2161,4300,4378,3354,3569.0,28.73371108293857,41.21590950509727
5,9.271,3369,547,2161,4300,4378,3354,3569.0,28.734902043545496,41.21590950509727
6,12.55,3227,689,2020,4159,4237,3213,3569.0,28.73609300415242,41.21590950509727
7,23.429,3184,1882,2116,4116,4194,3170,3569.0,28.7456206890078,41.21590950509727
8,48.32,3184,1882,2116,4116,4194,3170,3569.0,28.746811649614727,41.215909505097265
9,24.536,3897,3804,3517,5000,5000,4085,3569.0,28.759912216290882,41.21590950509727
10,35.896,3897,3804,3517,5000,5000,4085,3569.0,28.76110317689781,41.215909505097265
11,45.731,3941,3848,3479,5000,5000,4129,3569.0,28.76229413750473,41.21590950509727
12,34.476,3941,3848,3479,5000,5000,4129,3569.0,28.76348509811166,41.21590950509727
13,24.139,3882,4154,3335,4962,4980,4069,3569.0,28.76705797993242,41.21590950509727
14,3.717,3968,4241,3422,5000,5000,4156,3569.0,28.768248940539344,41.215909505097265
15,0.0,2827,976,1921,4444,4522,3932,3569.0,28.720362838838245,41.21500874887449
16,12.111,2841,950,1916,4439,4517,3927,3569.0,28.721553789174713,41.21500874887449
17,29.172,3400,263,1797,4268,4346,3687,3569.0,28.726317590520544,41.21500874887449
18,35.186,3426,203,1823,4295,4373,3713,3569.0,28.727508540857,41.21500874887449
19,2.944,3635,333,2016,4488,4566,3804,3569.0,28.728699491193453,41.21500874887449
20,5.805,3526,231,1914,4386,4464,3512,3569.0,28.73108139186636,41.21500874887449
21,8.958,3476,288,1964,4406,4484,3462,3569.0,28.732272342202826,41.21500874887449
22,26.52,3502,360,2028,4434,4512,3488,3569.0,28.733463292539284,41.21500874887449
23,39.404,3363,498,1889,4295,4373,3349,3569.0,28.734654242875738,41.21500874887449
24,2.61,3227,689,2020,4159,4237,3213,3569.0,28.7358451932122,41.215008748874496
25,0.0,3043,818,1975,3975,4053,3029,3569.0,28.73703614354865,41.21500874887449
26,1.984,3043,818,1975,3975,4053,3029,3569.0,28.738227093885115,41.215008748874496
27,61.33,3184,1882,2116,4116,4194,3170,3569.0,28.745372795903858,41.215008748874496
28,63.313,3184,1882,2116,4116,4194,3170,3569.0,28.746563746240316,41.21500874887449
29,69.244,3214,1912,2146,4146,4224,3200,3569.0,28.747754696576767,41.21500874887449
30,40.385,3174,2214,2448,4309,4283,3361,3569.0,28.75132754758615,41.215008748874496
31,35.937,3181,2364,2598,4316,4291,3369,3569.0,28.752518497922598,41.215008748874475
32,46.524,3128,2426,2660,4263,4237,3315,3569.0,28.753709448259055,41.21500874887449
33,35.478,3822,3729,3443,4958,4932,4010,3569.0,28.762046100614256,41.21500874887449
34,33.807,3882,3799,3378,4989,4986,4070,3569.0,28.763237050950714,41.21500874887449
35,0.961,3705,3978,3159,4785,4804,3893,3569.0,28.76561895162363,41.21500874887449
36,46.316,3705,3978,3159,4785,4804,3893,3569.0,28.766809901960087,41.21500874887449
37,53.374,3968,4241,3422,5000,5000,4156,3569.0,28.768000852296552,41.21500874887449
38,24.139,3994,4267,3448,5000,5000,4181,3569.0,28.769191802633,41.21500874887449
39,2.527,3994,4267,3448,5000,5000,4181,3569.0,28.77038275296946,41.21500874887449
40,7.392,2787,999,1865,4388,4466,3876,3569.0,28.72011517285064,41.21410799728744
41,12.717,2808,910,1856,4379,4457,3867,3569.0,28.72130611291711,41.21410799728745
42,5.032,2856,792,1904,4427,4505,3915,3569.0,28.72249705298358,41.214107997287435
43,17.248,2921,579,1812,4332,4410,3784,3569.0,28.723687993050042,41.21410799728744
44,31.573,3040,579,1813,4333,4411,3785,3569.0,28.72487893311651,41.214107997287435
45,26.833,3400,263,1797,4268,4346,3687,3569.0,28.72606987318298,41.21410799728744
46,36.313,3379,227,1776,4248,4326,3666,3569.0,28.72726081324944,41.21410799728745
