,POP_2015,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,155.12,4986,1855,2556,3597.0,26.70737881041293,-29.240739649398645
1,63.668,5000,895,2147,3597.0,26.71172138537042,-29.24073964939864
2,82.949,4986,1855,2556,3597.0,26.707516960661362,-29.241591509307618
3,29.481,5000,817,2069,3597.0,26.710773908726736,-29.241591509307625
4,59.619,5000,895,2147,3597.0,26.711859558081848,-29.241591509307618
5,61.107,5000,557,2151,3597.0,26.71294520743697,-29.241591509307618
6,72.716,5000,0,2221,3597.0,26.714030856792085,-29.241591509307618
7,40.311,5000,0,2280,3597.0,26.715116506147215,-29.241591509307618
8,14.42,5000,490,2409,3597.0,26.716202155502334,-29.241591509307625
9,25.968,5000,414,2484,3597.0,26.717287804857452,-29.241591509307625
10,0.0,5000,2858,2786,3597.0,26.69571291225767,-29.24244337190054
11,0.0,5000,2744,2900,3597.0,26.696798567228786,-29.242443371900535
12,33.376,4587,1455,2157,3597.0,26.70331249705548,-29.242443371900535
13,97.936,4638,1442,2208,3597.0,26.7043981520266,-29.24244337190054
14,82.824,4548,1320,2117,3597.0,26.705483806997716,-29.24244337190053
15,81.781,4957,1323,2241,3597.0,26.706569461968833,-29.242443371900535
16,29.312,4820,1186,2104,3597.0,26.707655116939943,-29.242443371900535
17,27.595,5000,741,1992,3597.0,26.710912081853298,-29.242443371900535
18,74.11,5000,718,1988,3597.0,26.71199773682442,-29.242443371900535
19,101.005,5000,620,2089,3597.0,26.713083391795525,-29.242443371900535
20,102.09,5000,0,2221,3597.0,26.714169046766646,-29.24244337190054
21,34.046,5000,0,2280,3597.0,26.715254701737756,-29.24244337190054
22,28.353,5000,490,2409,3597.0,26.716340356708876,-29.24244337190054
23,70.608,5000,407,2401,3597.0,26.717426011679994,-29.242443371900535
24,47.743,5000,366,2565,3597.0,26.718511666651114,-29.24244337190054
25,58.153,5000,252,2478,3597.0,26.719597321622224,-29.242443371900535
26,40.951,5000,311,2379,3597.0,26.720682976593338,-29.242443371900535
27,42.298,5000,361,2215,3597.0,26.721768631564455,-29.24244337190054
28,29.982,5000,361,2215,3597.0,26.722854286535576,-29.24244337190054
29,68.803,5000,428,2172,3597.0,26.72393994150669,-29.242443371900535
30,0.0,5000,2858,2786,3597.0,26.695851012788005,-29.243295237177495
31,0.0,4468,1506,2038,3597.0,26.70236497631214,-29.2432952371775
32,80.799,4517,1547,2087,3597.0,26.703450636899497,-29.2432952371775
33,95.098,4553,1422,2123,3597.0,26.704536297486847,-29.24329523717749
34,57.811,4490,1512,2060,3597.0,26.70562195807421,-29.243295237177495
35,31.357,4490,1512,2060,3597.0,26.70670761866156,-29.243295237177495
36,17.605,4784,1033,1951,3597.0,26.70779327924892,-29.243295237177495
37,0.019,4843,975,1892,3597.0,26.70887893983627,-29.243295237177495
38,28.039,5000,249,2067,3597.0,26.71539290336041,-29.243295237177495
39,9.608,5000,347,2217,3597.0,26.716478563947764,-29.243295237177495
40,53.2,5000,276,2289,3597.0,26.71756422453512,-29.2432952371775
41,52.539,5000,323,2393,3597.0,26.718649885122478,-29.243295237177495
42,40.163,5000,119,2345,3597.0,26.71973554570983,-29.243295237177502
43,50.794,5000,76,2302,3597.0,26.720821206297188,-29.2432952371775
44,56.298,5000,361,2215,3597.0,26.72190686688454,-29.243295237177495
45,65.67,5000,342,2120,3597.0,26.722992527471895,-29.243295237177495
46,77.261,5000,304,2158,3597.0,26.724078188059256,-29.243295237177495
47,69.243,5000,614,1931,3597.0,26.725163848646616,-29.243295237177495
48,20.611,5000,661,1917,3597.0,26.72624950923397,-29.243295237177495
49,46.863,5000,862,2017,3597.0,26.727335169821323,-29.2432952371775
50,31.985,5000,939,1940,3597.0,26.728420830408673,-29.2432952371775
51,48.858,4544,1566,2114,3597.0,26.703588782773146,-29.244147105138598
52,47.834,4448,1470,2017,3597.0,26.704674448976984,-29.2441471051386
53,72.721,4410,1518,1980,3597.0,26.705760115180826,-29.2441471051386
54,50.332,4474,1565,2044,3597.0,26.70684578138467,-29.244147105138598
55,34.125,4843,975,1892,3597.0,26.707931447588507,-29.244147105138598
56,5.361,4843,975,1892,3597.0,26.70901711379235,-29.2441471051386
57,65.951,4831,512,1764,3597.0,26.711188446200026,-29.2441471051386
58,82.834,4818,498,1750,3597.0,26.71227411240387,-29.2441471051386
59,98.158,4944,344,1876,3597.0,26.71335977860771,-29.244147105138598
60,57.91,5000,233,1987,3597.0,26.71444544481156,-29.2441471051386
61,46.419,5000,249,2067,3597.0,26.715531111015395,-29.2441471051386
62,42.862,5000,363,2152,3597.0,26.71661677721924,-29.244147105138605
63,40.658,5000,226,2240,3597.0,26.717702443423075,-29.244147105138598
64,29.184,5000,147,2319,3597.0,26.718788109626917,-29.2441471051386
65,35.744,5000,24,2250,3597.0,26.71987377583076,-29.244147105138598
66,67.447,5000,48,2274,3597.0,26.720959442034598,-29.244147105138598
67,59.081,5000,315,2009,3597.0,26.722045108238436,-29.244147105138598
68,95.466,5000,353,1971,3597.0,26.723130774442286,-29.2441471051386
69,69.684,5000,466,1858,3597.0,26.724216440646124,-29.2441471051386
70,56.191,5000,633,1885,3597.0,26.725302106849963,-29.2441471051386
71,50.146,5000,700,1955,3597.0,26.726387773053805,-29.244147105138598
72,52.687,5000,975,1940,3597.0,26.72855910546149,-29.244147105138598
73,11.063,4188,1630,1757,3597.0,26.704812606497242,-29.244998975783975
74,79.719,4423,1617,1993,3597.0,26.705898278317818,-29.24499897578397
75,13.359,4306,1764,1876,3597.0,26.706983950138383,-29.24499897578397
76,54.443,4793,1007,1725,3597.0,26.708069621958956,-29.24499897578397
77,32.859,4758,773,1691,3597.0,26.709155293779524,-29.244998975783968
78,14.937,4758,773,1691,3597.0,26.7102409656001,-29.24499897578397
79,25.982,4646,642,1579,3597.0,26.711326637420672,-29.244998975783975
80,57.45,4760,561,1692,3597.0,26.712412309241245,-29.24499897578397
81,51.422,4861,690,1794,3597.0,26.713497981061817,-29.24499897578397
82,58.192,4959,611,1891,3597.0,26.714583652882382,-29.24499897578397
83,57.139,5000,498,2005,3597.0,26.715669324702954,-29.24499897578397
84,15.993,5000,427,2075,3597.0,26.716754996523527,-29.24499897578397
85,24.7,5000,87,2265,3597.0,26.71892634016467,-29.244998975783975
86,59.791,5000,349,2133,3597.0,26.721097683805812,-29.24499897578397
87,68.009,5000,472,2010,3597.0,26.722183355626385,-29.244998975783975
88,70.381,5000,589,1893,3597.0,26.72326902744695,-29.24499897578397
89,76.464,5000,466,1858,3597.0,26.724354699267522,-29.244998975783975
90,38.303,5000,535,1787,3597.0,26.725440371088094,-29.244998975783975
91,44.231,5000,844,2100,3597.0,26.726526042908663,-29.24499897578397
92,55.605,5000,900,2132,3597.0,26.72761171472924,-29.244998975783968
93,39.802,5000,1027,1956,3597.0,26.728697386549804,-29.244998975783975
94,1.288,4095,1787,1665,3597.0,26.703865092610318,-29.245850849113705
95,45.693,4130,1697,1700,3597.0,26.704950770047866,-29.245850849113705
96,62.714,4264,1706,1834,3597.0,26.706036447485413,-29.2458508491137
97,37.284,4281,1789,1851,3597.0,26.707122124922957,-29.2458508491137
98,58.814,4773,1078,1706,3597.0,26.7082078023605,-29.2458508491137
99,46.605,4658,873,1591,3597.0,26.70929347979805,-29.2458508491137
100,16.836,4658,873,1591,3597.0,26.710379157235593,-29.245850849113705
101,60.649,4748,605,1680,3597.0,26.712550512110692,-29.2458508491137
102,64.792,4861,690,1794,3597.0,26.71363618954824,-29.245850849113705
103,20.537,5000,0,2178,3597.0,26.719064576735967,-29.2458508491137
104,62.913,5000,522,2046,3597.0,26.72232160904861,-29.245850849113705
105,78.706,5000,522,2046,3597.0,26.723407286486154,-29.2458508491137
106,65.805,5000,669,1813,3597.0,26.724492963923698,-29.2458508491137
107,61.811,5000,715,1687,3597.0,26.725578641361242,-29.2458508491137
108,37.704,5000,633,1592,3597.0,26.726664318798793,-29.245850849113705
109,39.776,5000,900,2132,3597.0,26.727749996236337,-29.245850849113705
110,50.852,5000,840,1223,3597.0,26.72883567367389,-29.2458508491137
111,0.0,4865,3468,2176,3597.0,26.69206074297188,-29.24670272512791
112,2.809,4095,1787,1665,3597.0,26.704003256574318,-29.24670272512791
113,72.194,4078,1740,1648,3597.0,26.705088939629082,-29.24670272512791
114,59.905,4039,1732,1609,3597.0,26.706174622683847,-29.246702725127914
115,13.611,4256,1814,1826,3597.0,26.707260305738615,-29.24670272512791
116,58.739,4590,942,1522,3597.0,26.70943167184815,-29.246702725127914
117,45.143,4590,942,1522,3597.0,26.710517354902912,-29.246702725127918
118,62.663,4600,737,1532,3597.0,26.712688721012448,-29.24670272512791
119,62.72,4651,708,1583,3597.0,26.713774404067216,-29.246702725127914
120,69.505,4737,508,1669,3597.0,26.71486008712198,-29.24670272512791
121,55.612,4874,371,1806,3597.0,26.71594577017674,-29.246702725127914
122,21.171,4906,381,1838,3597.0,26.717031453231517,-29.24670272512791
123,15.756,5000,144,2033,3597.0,26.71811713628629,-29.24670272512791
124,18.762,5000,137,2040,3597.0,26.719202819341053,-29.246702725127914
125,51.163,5000,386,2169,3597.0,26.72137418545058,-29.24670272512791
126,68.524,5000,515,2119,3597.0,26.72245986850535,-29.24670272512791
127,48.65,5000,531,2041,3597.0,26.723545551560118,-29.246702725127914
128,66.769,5000,709,1980,3597.0,26.724631234614883,-29.24670272512791
129,54.006,5000,798,1757,3597.0,26.72571691766965,-29.246702725127914
130,48.65,5000,746,1479,3597.0,26.726802600724422,-29.24670272512791
131,50.852,5000,825,1208,3597.0,26.727888283779187,-29.24670272512791
132,69.065,5000,810,1193,3597.0,26.72897396683396,-29.246702725127914
133,0.017,4690,3643,2000,3597.0,26.691113162502106,-29.247554603826707
134,0.0,4865,3468,2176,3597.0,26.692198851174332,-29.247554603826707
135,60.588,3935,1627,1505,3597.0,26.705227115241126,-29.247554603826707
136,18.344,4011,1703,1580,3597.0,26.706312803913356,-29.247554603826703
137,43.637,4477,813,1410,3597.0,26.71174124727452,-29.247554603826707
138,44.551,4581,733,1513,3597.0,26.712826935946755,-29.247554603826707
139,55.621,4610,668,1543,3597.0,26.71391262461898,-29.247554603826703
140,38.181,4737,508,1669,3597.0,26.714998313291222,-29.247554603826707
141,42.442,4793,501,1725,3597.0,26.71608400196345,-29.247554603826707
142,55.374,4884,212,1817,3597.0,26.71716969063569,-29.247554603826707
143,60.675,4926,0,1859,3597.0,26.718255379307916,-29.247554603826707
144,48.916,5000,191,2023,3597.0,26.71934106798015,-29.247554603826703
145,58.298,5000,494,2117,3597.0,26.72042675665238,-29.247554603826707
146,65.191,5000,791,2225,3597.0,26.72151244532461,-29.247554603826707
147,70.666,5000,634,2151,3597.0,26.72259813399685,-29.247554603826703
148,46.125,5000,680,2003,3597.0,26.72368382266908,-29.247554603826707
149,55.644,5000,726,1890,3597.0,26.72476951134131,-29.247554603826707
150,22.557,5000,856,1369,3597.0,26.725855200013548,-29.247554603826703
151,42.414,5000,856,1369,3597.0,26.726940888685778,-29.247554603826707
152,36.807,5000,641,1024,3597.0,26.729112266030242,-29.247554603826703
153,52.079,4690,3643,2000,3597.0,26.691251271114975,-29.248406485210193
154,0.344,4552,3788,1863,3597.0,26.692336965404916,-29.248406485210197
155,3.86,3830,1523,1400,3597.0,26.705365296884235,-29.248406485210193
156,0.015,3910,1603,1480,3597.0,26.706450991174183,-29.248406485210193
157,38.029,4319,1015,1252,3597.0,26.709708074044016,-29.248406485210193
158,61.774,4433,836,1365,3597.0,26.71187946262391,-29.248406485210197
159,74.871,4486,758,1419,3597.0,26.71296515691384,-29.248406485210193
160,56.541,4581,751,1514,3597.0,26.71405085120379,-29.248406485210193
161,65.246,4698,643,1630,3597.0,26.715136545493735,-29.248406485210193
162,60.354,4774,569,1707,3597.0,26.71622223978368,-29.248406485210197
163,58.651,4789,139,1721,3597.0,26.71730793407362,-29.248406485210197
164,13.799,4789,139,1721,3597.0,26.718393628363565,-29.248406485210193
165,42.555,4941,291,1874,3597.0,26.71947932265351,-29.248406485210197
166,65.538,5000,742,2158,3597.0,26.721650711233394,-29.248406485210193
167,45.929,5000,742,2158,3597.0,26.72273640552334,-29.248406485210193
168,51.042,5000,787,1965,3597.0,26.723822099813283,-29.248406485210197
169,16.771,5000,726,1890,3597.0,26.724907794103224,-29.248406485210193
170,1.222,5000,777,1062,3597.0,26.725993488393165,-29.248406485210197
171,6.455,5000,698,1081,3597.0,26.72707918268311,-29.24840648521019
172,10.644,5000,621,1005,3597.0,26.72816487697305,-29.248406485210197
173,13.998,5000,533,916,3597.0,26.729250571262995,-29.248406485210193
174,81.603,4520,3825,1830,3597.0,26.691389385755972,-29.24925836927849
175,7.72,4552,3788,1863,3597.0,26.692475085663865,-29.249258369278493
176,0.489,3792,1484,1362,3597.0,26.705503484558662,-29.24925836927849
177,24.659,4319,1015,1252,3597.0,26.709846284190256,-29.249258369278493
178,47.675,4229,925,1161,3597.0,26.710931984098167,-29.24925836927849
179,52.1,4149,845,1082,3597.0,26.712017684006057,-29.24925836927849
180,61.434,4417,509,1349,3597.0,26.714189083821864,-29.24925836927849
181,70.317,4490,436,1423,3597.0,26.715274783729754,-29.24925836927849
182,56.611,4566,360,1499,3597.0,26.716360483637658,-29.249258369278493
183,77.703,4716,210,1648,3597.0,26.717446183545558,-29.24925836927849
184,56.98,4789,139,1721,3597.0,26.718531883453455,-29.24925836927849
185,63.197,4869,367,1802,3597.0,26.719617583361355,-29.249258369278493
186,52.867,4974,482,1917,3597.0,26.720703283269255,-29.24925836927849
187,51.631,5000,594,2029,3597.0,26.721788983177156,-29.24925836927849
188,25.763,5000,670,2104,3597.0,26.722874683085056,-29.249258369278493
189,13.417,4767,1190,1195,3597.0,26.72396038299296,-29.249258369278493
190,24.15,5000,919,1057,3597.0,26.725046082900857,-29.24925836927849
191,65.607,5000,777,1062,3597.0,26.726131782808757,-29.249258369278493
192,60.36,5000,738,1072,3597.0,26.727217482716654,-29.24925836927849
193,55.53,5000,621,1005,3597.0,26.728303182624558,-29.24925836927849
194,68.425,5000,533,916,3597.0,26.729388882532454,-29.249258369278493
195,59.987,4283,3588,1594,3597.0,26.689356095373114,-29.250110256031693
196,97.857,4283,3588,1594,3597.0,26.690441800899215,-29.250110256031693
197,12.419,4496,3800,1806,3597.0,26.691527506425317,-29.250110256031693
198,0.127,4377,3682,1688,3597.0,26.69369891747752,-29.250110256031697
199,0.0,3586,1278,1155,3597.0,26.706727383790728,-29.250110256031693
