,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,20.906,173,3711,3653,3711,3711,3696.0,26.958758278984046,-16.802053804246807
1,25.711,268,3618,3602,3618,3618,3696.0,26.959783307340114,-16.80205380424681
2,22.927,311,3337,3322,3337,3337,3696.0,26.96183336405227,-16.80205380424681
3,21.065,635,1211,1195,1211,1211,3696.0,26.978233817749494,-16.80205380424681
4,67.168,537,1204,1257,1309,1309,3696.0,26.979258846105566,-16.80205380424681
5,82.009,484,1152,1273,1362,1362,3696.0,26.980283874461644,-16.80205380424681
6,85.272,264,931,1053,1151,1151,3696.0,26.981308902817723,-16.802053804246807
7,39.081,264,931,1053,1151,1151,3696.0,26.982333931173795,-16.80205380424681
8,21.615,141,808,930,1028,1028,3696.0,26.983358959529873,-16.80205380424681
9,25.321,0,801,820,1170,1170,3696.0,26.98438398788595,-16.80205380424681
10,30.268,138,652,671,1022,1022,3696.0,26.985409016242023,-16.802053804246807
11,33.797,232,781,799,1150,1150,3696.0,26.987459072954177,-16.802053804246807
12,43.549,173,3711,3653,3711,3711,3696.0,26.95883052929307,-16.80287617915994
13,28.779,55,3593,3577,3593,3593,3696.0,26.959855560396253,-16.80287617915994
14,54.135,683,1163,1147,1163,1163,3696.0,26.97830612025357,-16.80287617915994
15,62.079,683,1163,1147,1163,1163,3696.0,26.979331151356753,-16.80287617915994
16,74.845,264,931,1053,1151,1151,3696.0,26.981381213563115,-16.80287617915994
17,49.507,141,808,930,1028,1028,3696.0,26.9824062446663,-16.80287617915994
18,5.249,141,808,930,1028,1028,3696.0,26.98343127576948,-16.80287617915994
19,8.157,130,645,663,1014,1014,3696.0,26.985481337975855,-16.80287617915994
20,26.172,185,734,752,1104,1104,3696.0,26.987531400182228,-16.80287617915994
21,47.131,59,608,627,978,978,3696.0,26.988556431285403,-16.80287617915994
22,14.877,0,3649,3587,3649,3649,3696.0,26.959927817530428,-16.803698555433414
23,3.103,117,2618,2602,2618,2618,3696.0,26.966078020633105,-16.803698555433414
24,17.98,181,2555,2539,2555,2555,3696.0,26.96710305448356,-16.80369855543341
25,55.447,735,987,971,987,987,3696.0,26.978378426838475,-16.803698555433414
26,70.82,735,987,971,987,987,3696.0,26.979403460688918,-16.80369855543341
27,68.019,716,1383,1389,1405,1405,3696.0,26.980428494539364,-16.803698555433414
28,31.953,279,670,792,890,890,3696.0,26.982478562240257,-16.803698555433414
29,17.59,279,670,792,890,890,3696.0,26.983503596090706,-16.80369855543341
30,64.863,0,514,532,884,884,3696.0,26.985553663791595,-16.803698555433414
31,45.429,0,514,532,884,884,3696.0,26.986578697642045,-16.80369855543341
32,61.316,59,608,627,978,978,3696.0,26.987603731492495,-16.803698555433414
33,42.875,59,608,627,978,978,3696.0,26.988628765342945,-16.803698555433414
34,12.785,211,3534,3376,3534,3534,3696.0,26.958975042144868,-16.804520933067298
35,42.858,140,2877,2861,2877,2877,3696.0,26.964100225134192,-16.8045209330673
36,5.249,0,2736,2720,2736,2736,3696.0,26.965125261732062,-16.804520933067298
37,4.965,0,2736,2720,2736,2736,3696.0,26.966150298329918,-16.804520933067298
38,0.0,150,2651,2599,2651,2651,3696.0,26.967175334927784,-16.8045209330673
39,62.114,735,987,971,987,987,3696.0,26.978450737504296,-16.804520933067298
40,71.157,735,987,971,987,987,3696.0,26.979475774102166,-16.8045209330673
41,54.986,716,1383,1389,1405,1405,3696.0,26.980500810700033,-16.8045209330673
42,62.646,503,719,719,719,719,3696.0,26.981525847297895,-16.8045209330673
43,34.169,176,540,589,760,760,3696.0,26.984600957091487,-16.8045209330673
44,44.382,34,479,498,849,849,3696.0,26.985625993689354,-16.8045209330673
45,33.07,34,479,498,849,849,3696.0,26.98665103028722,-16.8045209330673
46,66.973,0,548,567,918,918,3696.0,26.988701103482942,-16.804520933067298
47,0.319,211,3534,3376,3534,3534,3696.0,26.95904730468784,-16.805343312061677
48,0.266,140,2877,2861,2877,2877,3696.0,26.964172501415014,-16.805343312061677
49,0.0,140,2877,2861,2877,2877,3696.0,26.96519754076045,-16.805343312061677
