,POP_2015,community_space,education,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,194.151,1143,815,2855,4293,4047.0,29.15626647394951,-3.344578758453662
1,144.625,1143,815,2855,4293,4047.0,29.157265301186936,-3.3445787584536624
2,73.099,1247,918,2959,4396,4047.0,29.158264128424353,-3.3445787584536615
3,32.937,2845,678,4401,5000,4047.0,29.174245364223097,-3.344578758453661
4,17.397,2845,678,4401,5000,4047.0,29.17524419146052,-3.344578758453662
5,64.946,3171,0,4727,5000,4047.0,29.178240673172784,-3.3445787584536615
6,132.314,3171,0,4727,5000,4047.0,29.179239500410205,-3.3445787584536624
7,130.901,3415,323,4971,5000,4047.0,29.181237154885046,-3.344578758453663
8,86.823,3523,216,5000,5000,4047.0,29.182235982122467,-3.3445787584536615
9,97.802,3641,97,5000,5000,4047.0,29.183234809359888,-3.344578758453661
10,77.822,3739,0,5000,5000,4047.0,29.18423363659731,-3.344578758453662
11,92.353,1081,752,2793,4230,4047.0,29.15628132316437,-3.3453880548797135
12,95.098,1081,752,2793,4230,4047.0,29.157280150910488,-3.345388054879715
13,105.633,1247,918,2959,4396,4047.0,29.158278978656604,-3.345388054879713
14,121.052,2640,793,4196,5000,4047.0,29.173261394848442,-3.345388054879715
15,128.762,2845,678,4401,5000,4047.0,29.17426022259456,-3.345388054879713
16,47.307,2752,585,4308,5000,4047.0,29.17525905034068,-3.3453880548797135
17,61.878,3082,88,4638,5000,4047.0,29.17825553357905,-3.3453880548797135
18,74.351,3171,0,4727,5000,4047.0,29.179254361325164,-3.3453880548797135
19,65.35,3280,286,4836,5000,4047.0,29.18025318907129,-3.345388054879715
20,102.525,3415,323,4971,5000,4047.0,29.181252016817414,-3.345388054879714
21,153.02,3513,225,5000,5000,4047.0,29.182250844563537,-3.3453880548797135
22,146.603,3729,198,5000,5000,4047.0,29.18324967230965,-3.345388054879715
23,132.152,1022,693,2734,4171,4047.0,29.156296175993027,-3.3461973515617487
24,157.38,1033,704,2745,4182,4047.0,29.15729500424798,-3.3461973515617482
25,96.39,1287,959,2999,4437,4047.0,29.160291489012813,-3.346197351561749
26,160.69,2274,1175,3830,5000,4047.0,29.169280943307328,-3.3461973515617496
27,177.441,2355,1062,3911,5000,4047.0,29.17027977156227,-3.346197351561749
28,178.652,2424,913,3980,5000,4047.0,29.171278599817217,-3.3461973515617496
29,111.607,2424,913,3980,5000,4047.0,29.172277428072164,-3.346197351561749
30,165.937,2629,713,4184,5000,4047.0,29.173276256327103,-3.3461973515617482
31,111.768,2669,585,4225,5000,4047.0,29.174275084582057,-3.3461973515617496
32,60.869,2753,417,4309,5000,4047.0,29.175273912836996,-3.3461973515617487
33,71.445,3055,115,4611,5000,4047.0,29.178270397601832,-3.3461973515617487
34,162.223,3729,198,5000,5000,4047.0,29.183264538876568,-3.3461973515617487
35,34.996,910,582,2622,4060,4047.0,29.156311032435504,-3.34700664849983
36,187.653,968,640,2680,4118,4047.0,29.1573098611994,-3.34700664849983
37,186.644,1157,829,2869,4307,4047.0,29.15830868996329,-3.3470066484998306
38,153.182,1144,816,2856,4294,4047.0,29.159307518727186,-3.34700664849983
39,133.807,1262,933,2974,4411,4047.0,29.160306347491083,-3.3470066484998306
40,149.791,1749,579,3461,4899,4047.0,29.166299320074444,-3.34700664849983
41,149.589,2082,982,3638,5000,4047.0,29.168296977602225,-3.3470066484998306
42,141.759,2204,1104,3760,5000,4047.0,29.16929580636612,-3.3470066484998306
43,155.846,2260,1054,3816,5000,4047.0,29.17029463513002,-3.3470066484998298
44,98.569,2330,977,3885,5000,4047.0,29.17129346389391,-3.3470066484998306
45,81.576,2370,801,3925,5000,4047.0,29.172292292657804,-3.3470066484998306
46,62.322,2490,681,4046,5000,4047.0,29.1732911214217,-3.3470066484998306
47,83.11,2578,593,4133,5000,4047.0,29.17428995018559,-3.3470066484998298
48,55.258,2669,502,4225,5000,4047.0,29.175288778949486,-3.3470066484998306
49,94.977,812,483,2524,3962,4047.0,29.15632589249181,-3.3478159456940184
50,143.252,1182,853,2894,4332,4047.0,29.15932238031071,-3.3478159456940193
51,173.768,1283,954,2995,4432,4047.0,29.160321209583667,-3.3478159456940184
52,120.81,1251,88,2963,4401,4047.0,29.161320038856633,-3.3478159456940184
53,124.927,1520,349,3232,4669,4047.0,29.164316526675535,-3.3478159456940197
54,219.581,1749,579,3461,4899,4047.0,29.166314185221466,-3.3478159456940197
55,152.819,1951,851,3507,4945,4047.0,29.168311843767395,-3.347815945694018
56,92.797,2082,982,3637,5000,4047.0,29.169310673040357,-3.347815945694018
57,103.373,2207,986,3763,5000,4047.0,29.170309502313323,-3.3478159456940184
58,70.476,2267,915,3823,5000,4047.0,29.17130833158629,-3.347815945694018
59,107.409,2370,801,3925,5000,4047.0,29.17230716085926,-3.3478159456940184
60,115.361,5000,5000,5000,5000,4047.0,29.17330599013222,-3.347815945694018
61,111.566,5000,5000,5000,5000,4047.0,29.17430481940519,-3.347815945694018
62,122.828,698,370,2410,3848,4047.0,29.15634075616197,-3.3486252431443777
63,145.513,918,62,2629,4067,4047.0,29.15833841572629,-3.348625243144378
64,184.706,1058,0,2770,4208,4047.0,29.15933724550845,-3.3486252431443777
65,174.494,1099,211,2811,4249,4047.0,29.160336075290612,-3.348625243144378
66,144.382,1225,60,2937,4375,4047.0,29.161334905072774,-3.3486252431443777
67,102.485,1300,129,3012,4449,4047.0,29.16233373485493,-3.3486252431443777
68,164.201,1354,404,3059,4497,4047.0,29.1633325646371,-3.348625243144378
69,177.4,1435,485,3141,4578,4047.0,29.164331394419257,-3.348625243144378
70,138.691,1704,682,3410,4848,4047.0,29.16632905398358,-3.348625243144378
71,118.711,1894,794,3449,4887,4047.0,29.167327883765736,-3.3486252431443777
72,110.921,1945,845,3500,4938,4047.0,29.168326713547902,-3.3486252431443777
73,175.019,2141,1041,3697,5000,4047.0,29.169325543330064,-3.348625243144378
74,156.048,2194,1095,3750,5000,4047.0,29.170324373112223,-3.348625243144378
75,13.885,590,262,2742,4180,4047.0,29.14936381140563,-3.3494345408509694
76,59.174,590,262,2742,4180,4047.0,29.150362641697114,-3.34943454085097
77,82.948,479,151,2631,4069,4047.0,29.15136147198859,-3.349434540850971
78,166.744,663,443,2375,3812,4047.0,29.15435796286303,-3.3494345408509703
79,155.321,610,391,2322,3760,4047.0,29.15535679315451,-3.3494345408509716
80,150.356,615,332,2327,3765,4047.0,29.156355623445997,-3.3494345408509707
81,175.745,876,0,2588,4026,4047.0,29.15835328402895,-3.3494345408509707
82,165.614,1099,211,2811,4249,4047.0,29.160350944611913,-3.3494345408509716
83,141.274,1172,262,2884,4322,4047.0,29.161349774903396,-3.3494345408509703
84,90.561,1138,203,2850,4288,4047.0,29.16234860519487,-3.34943454085097
85,136.397,1354,404,3059,4497,4047.0,29.16334743548635,-3.349434540850971
86,157.218,1526,372,3027,4465,4047.0,29.16434626577783,-3.349434540850971
87,89.003,1653,499,3155,4592,4047.0,29.165345096069313,-3.34943454085097
88,109.024,1744,590,3245,4683,4047.0,29.166343926360796,-3.3494345408509694
89,3.754,833,505,2985,4423,4047.0,29.14738101713559,-3.3502438388138556
90,20.989,833,505,2985,4423,4047.0,29.148379847936514,-3.350243838813855
91,10.333,590,262,2742,4180,4047.0,29.14937867873744,-3.3502438388138565
92,30.757,479,151,2631,4069,4047.0,29.15037750953836,-3.3502438388138556
93,107.288,365,18,2516,3954,4047.0,29.151376340339286,-3.3502438388138556
94,125.613,365,0,2516,3954,4047.0,29.152375171140207,-3.3502438388138556
95,176.391,538,338,2250,3687,4047.0,29.155371663542972,-3.3502438388138556
96,240.328,573,302,2285,3723,4047.0,29.156370494343903,-3.350243838813855
97,182.002,794,98,2506,3944,4047.0,29.15836815594575,-3.350243838813856
98,147.468,1138,203,2850,4288,4047.0,29.161364648348517,-3.350243838813856
99,77.097,1396,242,2897,4335,4047.0,29.162363479149437,-3.3502438388138556
100,77.17,1376,222,2877,4315,4047.0,29.163362309950358,-3.3502438388138556
101,126.259,1526,372,3027,4465,4047.0,29.16436114075129,-3.3502438388138547
102,147.975,1568,414,3069,4507,4047.0,29.16535997155221,-3.3502438388138556
103,0.0,834,506,2986,4424,4047.0,29.147395887061293,-3.351053137033099
104,78.831,684,356,2835,4273,4047.0,29.148394718371787,-3.351053137033098
105,145.997,633,306,2785,4223,4047.0,29.149393549682276,-3.351053137033099
106,152.617,346,18,2498,3935,4047.0,29.151391212303253,-3.351053137033099
107,104.018,251,113,2403,3841,4047.0,29.152390043613746,-3.351053137033099
108,100.83,155,282,2234,3672,4047.0,29.153388874924236,-3.351053137033098
109,101.758,155,282,2234,3672,4047.0,29.154387706234722,-3.351053137033099
110,143.535,456,379,2168,3606,4047.0,29.155386537545212,-3.351053137033099
111,187.774,486,389,2198,3636,4047.0,29.15638536885571,-3.3510531370330994
112,179.499,714,194,2426,3864,4047.0,29.15838303147668,-3.351053137033099
113,115.613,1089,66,2588,4026,4047.0,29.160380694097665,-3.351053137033099
114,57.675,1156,0,2655,4093,4047.0,29.161379525408154,-3.351053137033098
115,86.137,1248,94,2749,4187,4047.0,29.162378356718644,-3.351053137033098
116,65.228,1342,188,2843,4281,4047.0,29.163377188029134,-3.351053137033099
117,4.238,834,506,2986,4424,4047.0,29.1474107605998,-3.3518624355087607
118,26.317,633,306,2785,4223,4047.0,29.149408424240168,-3.351862435508761
119,145.19,42,322,2347,3785,4047.0,29.153403751520884,-3.351862435508761
120,67.852,68,332,2321,3759,4047.0,29.15440258334107,-3.351862435508761
121,102.202,339,300,2070,3508,4047.0,29.155401415161254,-3.351862435508761
122,139.176,704,84,2203,3641,4047.0,29.15739907880161,-3.3518624355087607
123,142.284,827,207,2326,3764,4047.0,29.158397910621797,-3.351862435508761
124,142.041,937,219,2435,3873,4047.0,29.159396742441974,-3.351862435508761
125,104.018,1042,114,2541,3978,4047.0,29.160395574262154,-3.3518624355087607
126,111.244,1089,66,2588,4026,4047.0,29.16139440608234,-3.351862435508761
127,59.456,0,365,2390,3828,4047.0,29.1534186317311,-3.3526717342409045
128,127.874,0,365,2390,3828,4047.0,29.1544174640611,-3.352671734240904
129,60.869,465,154,1966,3404,4047.0,29.15541629639109,-3.352671734240904
130,111.768,582,37,2081,3518,4047.0,29.156415128721083,-3.352671734240904
131,81.536,704,84,2203,3641,4047.0,29.15741396105108,-3.352671734240904
132,115.966,768,148,2267,3704,4047.0,29.158412793381075,-3.352671734240905
133,138.045,976,259,2475,3913,4047.0,29.159411625711073,-3.3526717342409036
134,76.409,1033,215,2532,3969,4047.0,29.16041045804107,-3.352671734240905
135,47.024,1572,1130,2286,3724,4047.0,29.146441685675356,-3.3534810332295915
136,70.274,1572,1130,2286,3724,4047.0,29.14744051851529,-3.353481033229591
137,37.377,1455,1013,2236,3674,4047.0,29.148439351355222,-3.3534810332295906
138,98.327,1275,833,2056,3494,4047.0,29.149438184195148,-3.3534810332295915
139,111.607,1275,833,2056,3494,4047.0,29.150437017035085,-3.3534810332295906
140,40.122,533,261,1857,3294,4047.0,29.154432348394824,-3.353481033229592
141,161.174,489,218,1900,3338,4047.0,29.15543118123475,-3.3534810332295906
142,183.616,639,143,2091,3528,4047.0,29.15643001407469,-3.3534810332295915
143,123.958,790,239,2212,3649,4047.0,29.157428846914623,-3.3534810332295915
144,155.24,913,328,2316,3754,4047.0,29.158427679754553,-3.3534810332295915
145,128.6,935,315,2349,3787,4047.0,29.159426512594493,-3.353481033229592
146,80.809,1572,1130,2286,3724,4047.0,29.1474554028923,-3.3542903324748843
147,172.314,1455,1013,2236,3674,4047.0,29.148454236242294,-3.3542903324748843
148,163.959,1275,833,2056,3494,4047.0,29.14945306959229,-3.354290332474884
149,63.533,1275,833,2056,3494,4047.0,29.15045190294228,-3.3542903324748847
150,122.505,1094,652,1875,3313,4047.0,29.15145073629228,-3.354290332474884
151,146.239,1027,585,1885,3322,4047.0,29.15244956964227,-3.3542903324748843
152,161.174,626,350,1790,3227,4047.0,29.154447236342264,-3.354290332474884
153,148.015,705,299,1897,3334,4047.0,29.15544606969226,-3.3542903324748843
154,149.468,798,253,2012,3449,4047.0,29.156444903042253,-3.3542903324748834
155,145.069,885,334,2116,3554,4047.0,29.157443736392256,-3.354290332474884
156,81.026,960,409,2200,3638,4047.0,29.15844256974225,-3.3542903324748834
157,145.432,1197,599,1771,3209,4047.0,29.150466792462716,-3.3550996319768442
158,147.692,1040,597,1885,3322,4047.0,29.1514656263229,-3.355099631976845
159,100.951,967,525,1824,3262,4047.0,29.15246446018308,-3.3550996319768447
160,68.014,800,358,1657,3095,4047.0,29.153463294043263,-3.3550996319768447
161,126.34,695,407,1719,3157,4047.0,29.154462127903447,-3.3550996319768447
162,157.703,800,513,1812,3250,4047.0,29.15546096176362,-3.3550996319768442
163,107.893,907,620,1920,3357,4047.0,29.156459795623803,-3.3550996319768447
164,59.83,865,314,2087,3525,4047.0,29.157458629483994,-3.355099631976845
165,8.915,960,409,2200,3638,4047.0,29.15845746334417,-3.3550996319768442
166,103.978,1479,461,1633,3071,4047.0,29.14848401685543,-3.355908931735535
167,246.383,1271,485,1658,3095,4047.0,29.149482851225923,-3.3559089317355357
168,149.872,1190,566,1739,3177,4047.0,29.150481685596414,-3.3559089317355344
169,203.718,1091,619,1838,3276,4047.0,29.15148051996691,-3.3559089317355357
170,217.805,1053,611,1876,3314,4047.0,29.152479354337395,-3.355908931735535
171,136.431,822,267,1567,3005,4047.0,29.153478188707886,-3.355908931735535
172,153.464,804,333,1632,3070,4047.0,29.15447702307838,-3.355908931735535
173,158.066,868,508,1807,3245,4047.0,29.155475857448863,-3.3559089317355353
174,141.638,977,653,1953,3391,4047.0,29.156474691819362,-3.3559089317355357
175,118.549,998,704,2004,3441,4047.0,29.157473526189847,-3.355908931735535
176,65.915,1841,513,1676,3113,4047.0,29.14650124281968,-3.3567182317510182
177,98.852,1711,383,1555,2993,4047.0,29.1475000777006,-3.3567182317510187
178,129.004,1520,405,1578,3016,4047.0,29.148498912581527,-3.356718231751018
179,155.725,1360,397,1569,3007,4047.0,29.14949774746245,-3.3567182317510182
180,112.737,5000,5000,5000,5000,4047.0,29.150496582343376,-3.356718231751018
181,154.796,992,156,1397,2835,4047.0,29.15249425210523,-3.3567182317510182
182,104.18,908,200,1481,2919,4047.0,29.153493086986153,-3.3567182317510187
183,168.641,965,313,1613,3051,4047.0,29.154491921867077,-3.356718231751018
184,169.408,990,460,1760,3197,4047.0,29.155490756747998,-3.3567182317510182
185,157.138,1033,633,1932,3370,4047.0,29.156489591628922,-3.3567182317510174
186,114.594,1120,679,1979,3416,4047.0,29.157488426509858,-3.3567182317510182
187,145.715,1784,350,1522,2960,4047.0,29.146516141137703,-3.3575275320233557
188,162.385,1658,330,1502,2940,4047.0,29.147514976529187,-3.3575275320233553
189,144.867,1485,272,1444,2882,4047.0,29.148513811920676,-3.3575275320233553
190,98.892,5000,5000,5000,5000,4047.0,29.14951264731215,-3.3575275320233557
191,208.36,5000,5000,5000,5000,4047.0,29.15051148270363,-3.3575275320233557
192,140.83,1050,40,1352,2789,4047.0,29.15250915348659,-3.3575275320233557
193,150.679,1009,217,1459,2896,4047.0,29.15350798887808,-3.3575275320233557
194,149.468,1025,278,1520,2957,4047.0,29.154506824269564,-3.3575275320233553
195,157.057,1101,435,1735,3172,4047.0,29.155505659661046,-3.3575275320233557
196,183.616,1146,571,1870,3308,4047.0,29.15650449505253,-3.3575275320233553
197,145.513,1168,727,2026,3464,4047.0,29.15750333044401,-3.3575275320233557
198,109.104,1866,325,1447,2885,4047.0,29.146531043068542,-3.35833683255261
199,101.274,1721,270,1442,2880,4047.0,29.147529878970705,-3.358336832552611
200,102.565,1633,181,1354,2791,4047.0,29.148528714872864,-3.35833683255261
201,176.593,1662,95,1268,2705,4047.0,29.14952755077503,-3.3583368325526104
202,120.689,1302,260,1184,2622,4047.0,29.15152522257935,-3.3583368325526104
203,130.941,1095,53,1305,2743,4047.0,29.152524058481518,-3.35833683255261
204,168.924,1127,153,1395,2832,4047.0,29.153522894383684,-3.3583368325526095
205,154.958,1177,470,1769,3207,4047.0,29.155520566188002,-3.3583368325526104
206,181.114,1204,572,1871,3309,4047.0,29.156519402090172,-3.35833683255261
207,144.705,1963,362,1376,2814,4047.0,29.1465459486122,-3.359146133338844
208,129.69,1753,187,1309,2747,4047.0,29.147544785025172,-3.359146133338842
209,144.463,1701,106,1235,2672,4047.0,29.148543621438144,-3.3591461333388435
210,130.053,1748,9,1182,2619,4047.0,29.149542457851105,-3.359146133338842
211,168.238,1289,248,1196,2634,4047.0,29.151540130677045,-3.359146133338843
212,126.864,1230,188,1188,2626,4047.0,29.15253896709001,-3.3591461333388435
213,164.322,1243,201,1275,2713,4047.0,29.153537803502985,-3.3591461333388426
214,174.333,1312,290,1532,2970,4047.0,29.15453663991595,-3.359146133338844
215,136.027,1892,260,1274,2712,4047.0,29.14656085776871,-3.3599554343821167
216,122.303,1794,180,1216,2654,4047.0,29.147559694692607,-3.3599554343821167
217,123.111,1832,26,1094,2532,4047.0,29.148558531616505,-3.3599554343821167
218,191.165,1794,355,1043,2481,4047.0,29.149557368540396,-3.3599554343821167
219,179.741,1794,355,1043,2481,4047.0,29.15055620546429,-3.3599554343821154
220,141.678,1319,278,1070,2508,4047.0,29.151555042388193,-3.3599554343821167
221,148.661,1334,293,1191,2628,4047.0,29.152553879312084,-3.359955434382116
222,127.066,1344,303,1377,2814,4047.0,29.153552716235986,-3.3599554343821167
223,106.682,1376,355,1596,3034,4047.0,29.15455155315988,-3.3599554343821167
224,30.757,1376,355,1596,3034,4047.0,29.155550390083782,-3.3599554343821163
225,67.933,1977,345,1231,2668,4047.0,29.14657577053807,-3.360764735682494
226,10.333,1835,204,1217,2655,4047.0,29.14757460797302,-3.3607647356824932
227,104.341,1941,138,983,2421,4047.0,29.14857344540797,-3.360764735682494
228,161.618,1794,355,1043,2481,4047.0,29.14957228284293,-3.360764735682494
229,91.828,1700,261,950,2387,4047.0,29.15057112027787,-3.360764735682494
230,85.854,1459,417,931,2368,4047.0,29.15156995771282,-3.360764735682493
231,132.071,1443,402,1182,2620,4047.0,29.15256879514776,-3.3607647356824937
232,70.112,1431,390,1200,2638,4047.0,29.153567632582714,-3.3607647356824932
233,113.383,2210,579,997,2435,4047.0,29.14659068692031,-3.361574037240038
234,125.008,2031,228,903,2341,4047.0,29.147589524866437,-3.3615740372400382
235,140.669,1951,148,973,2411,4047.0,29.14858836281256,-3.361574037240038
236,164.201,1675,236,924,2362,4047.0,29.149587200758692,-3.361574037240038
237,120.003,1614,324,842,2280,4047.0,29.150586038704816,-3.361574037240038
238,152.657,1459,417,931,2368,4047.0,29.151584876650944,-3.3615740372400382
239,145.876,2210,579,997,2435,4047.0,29.146605606915447,-3.3623833390548095
240,180.105,1933,378,740,2178,4047.0,29.148603283830305,-3.3623833390548095
241,139.862,1747,371,750,2188,4047.0,29.149602122287725,-3.3623833390548095
242,105.108,1626,397,805,2242,4047.0,29.150600960745145,-3.362383339054809
243,46.499,1686,457,823,2260,4047.0,29.151599799202575,-3.362383339054808
244,229.591,2262,459,778,2216,4047.0,29.146620530523492,-3.36319264112687
245,151.002,1933,378,740,2178,4047.0,29.148618208461198,-3.36319264112687
246,135.422,1773,300,663,2101,4047.0,29.149617047430045,-3.36319264112687
247,138.409,1686,457,823,2260,4047.0,29.150615886398896,-3.36319264112687
248,2.825,1686,457,823,2260,4047.0,29.15161472536774,-3.36319264112687
249,215.383,2379,404,662,2099,4047.0,29.14663545774447,-3.3640019434562833
250,183.576,1838,283,645,2083,4047.0,29.148633136705257,-3.3640019434562825
251,146.925,1851,175,538,1976,4047.0,29.14963197618566,-3.3640019434562825
252,203.112,2262,249,506,1944,4047.0,29.146650388578383,-3.3648112460431108
253,190.761,2248,235,492,1930,4047.0,29.147649228570454,-3.36481124604311
254,124.322,1995,94,457,1894,4047.0,29.148648068562526,-3.3648112460431103
255,154.796,1925,102,464,1902,4047.0,29.14964690855459,-3.3648112460431108
256,111.607,2653,287,1054,1957,4047.0,29.140672280002075,-3.365620548887415
257,160.609,2688,53,820,1993,4047.0,29.141671120505933,-3.3656205488874154
258,143.979,2688,53,820,1993,4047.0,29.1426699610098,-3.3656205488874162
259,186.159,2248,235,492,1930,4047.0,29.14666532302526,-3.365620548887415
260,227.855,2135,122,379,1817,4047.0,29.14766416352912,-3.365620548887416
261,144.705,2056,36,395,1833,4047.0,29.14866300403299,-3.3656205488874154
262,165.13,2064,97,460,1898,4047.0,29.149661844536855,-3.365620548887415
263,174.01,2596,230,997,1900,4047.0,29.140687214990407,-3.3664298519892597
264,176.674,2554,202,969,1858,4047.0,29.14168605600619,-3.3664298519892593
265,171.104,2536,364,402,1840,4047.0,29.14468257905354,-3.3664298519892593
266,127.228,2536,364,402,1840,4047.0,29.145681420069327,-3.3664298519892597
267,164.282,2299,285,237,1675,4047.0,29.14668026108511,-3.3664298519892593
268,139.458,2225,212,301,1739,4047.0,29.14767910210089,-3.366429851989258
269,127.308,2119,91,270,1708,4047.0,29.14867794311668,-3.3664298519892597
270,173.404,2235,208,327,1765,4047.0,29.149676784132453,-3.3664298519892593
271,78.266,2296,269,507,1945,4047.0,29.150675625148246,-3.366429851989258
272,129.327,2572,234,1002,1876,4047.0,29.14070215359099,-3.367239155348703
273,46.943,2572,234,1002,1876,4047.0,29.141700995118814,-3.3672391553487033
274,174.212,2297,205,781,1601,4047.0,29.14269983664664,-3.367239155348703
275,165.614,2285,0,770,1590,4047.0,29.143698678174466,-3.3672391553487033
276,70.597,2323,78,795,1628,4047.0,29.144697519702298,-3.3672391553487033
277,19.133,2403,217,572,1708,4047.0,29.145696361230122,-3.367239155348703
278,104.752,2316,303,191,1629,4047.0,29.14669520275795,-3.3672391553487024
279,145.432,2252,234,179,1617,4047.0,29.147694044285775,-3.3672391553487033
280,137.561,2235,208,327,1765,4047.0,29.148692885813606,-3.367239155348703
281,210.418,2235,208,327,1765,4047.0,29.14969172734143,-3.3672391553487024
282,198.874,2296,269,507,1945,4047.0,29.15069056886926,-3.3672391553487038
283,128.035,2297,205,781,1601,4047.0,29.14271477988383,-3.368048458965811
284,163.919,2278,6,763,1583,4047.0,29.14371362192382,-3.3680484589658106
285,74.556,2287,78,758,1591,4047.0,29.144712463963817,-3.368048458965811
286,34.462,2287,67,758,1591,4047.0,29.145711306003808,-3.368048458965811
287,92.579,2244,338,111,1549,4047.0,29.146710148043802,-3.368048458965811
288,166.381,2193,175,60,1497,4047.0,29.147708990083796,-3.368048458965811
289,190.357,2408,163,275,1712,4047.0,29.148707832123794,-3.368048458965811
290,157.985,2408,163,275,1712,4047.0,29.149706674163788,-3.368048458965811
291,172.193,2188,97,672,1492,4047.0,29.14372856928583,-3.3688577628406438
292,147.208,2135,219,606,1439,4047.0,29.14472741183812,-3.3688577628406433
293,96.39,2138,270,236,1442,4047.0,29.145726254390397,-3.3688577628406433
294,162.587,2161,335,137,1465,4047.0,29.14672509694268,-3.368857762840643
295,132.354,2076,292,56,1381,4047.0,29.14772393949497,-3.3688577628406433
296,154.635,2368,0,235,1673,4047.0,29.14872278204726,-3.3688577628406438
297,141.194,2448,79,315,1753,4047.0,29.14972162459954,-3.368857762840643
298,104.22,2081,213,559,1385,4047.0,29.14374352026051,-3.369667066973265
299,121.335,2057,207,481,1361,4047.0,29.144742363325218,-3.369667066973265
300,101.798,2073,205,301,1377,4047.0,29.14574120638991,-3.3696670669732645
301,116.572,2003,325,171,1307,4047.0,29.146740049454614,-3.369667066973265
302,157.218,2015,353,118,1319,4047.0,29.14773889251931,-3.369667066973265
303,140.548,2427,529,294,1732,4047.0,29.14973657864871,-3.3696670669732645
304,6.014,2734,365,601,2038,4047.0,29.15173426477811,-3.369667066973265
305,0.0,2734,365,601,2038,4047.0,29.152733107842817,-3.369667066973264
306,179.297,3026,51,1456,2331,4047.0,29.140761944116157,-3.3704763713637362
307,228.219,3057,39,1487,2362,4047.0,29.1417607876934,-3.3704763713637362
308,106.319,1985,229,575,1290,4047.0,29.14375847484788,-3.370476371363736
309,104.382,1934,67,440,1239,4047.0,29.14475731842511,-3.370476371363736
310,176.432,1943,126,388,1248,4047.0,29.145756162002353,-3.3704763713637367
311,132.798,1917,298,215,1222,4047.0,29.146755005579593,-3.370476371363736
312,176.109,2110,491,351,1414,4047.0,29.147753849156828,-3.370476371363736
313,168.722,2110,491,351,1414,4047.0,29.148752692734067,-3.3704763713637362
314,0.0,3826,621,2255,3130,4047.0,29.13678152441865,-3.3712856760121186
315,136.875,3130,154,1560,2434,4047.0,29.139778056688353,-3.3712856760121195
316,110.8,3071,0,1501,2375,4047.0,29.140776900778256,-3.371285676012118
317,163.111,3173,102,1603,2477,4047.0,29.141775744868152,-3.371285676012118
318,145.028,1839,27,535,1144,4047.0,29.144772277137854,-3.3712856760121195
319,119.881,1758,151,375,1062,4047.0,29.14577112122775,-3.371285676012118
320,96.874,1824,214,308,1129,4047.0,29.14676996531765,-3.3712856760121177
321,154.877,2054,435,406,1359,4047.0,29.147768809407545,-3.3712856760121186
322,196.21,2187,568,540,1492,4047.0,29.148767653497448,-3.371285676012118
323,173.929,2278,659,519,1583,4047.0,29.149766497587347,-3.3712856760121177
324,176.593,2443,822,629,1748,4047.0,29.150765341677246,-3.3712856760121186
325,21.797,2466,843,607,1770,4047.0,29.151764185767146,-3.371285676012118
326,0.0,3826,621,2255,3130,4047.0,29.136796482641937,-3.3720949809184755
327,40.848,3318,343,1748,2623,4047.0,29.13879417184731,-3.3720949809184755
328,147.087,3271,295,1701,2575,4047.0,29.13979301645,-3.372094980918476
