,POP_2015,community_space,education,food_choices,nightlife,ID_HDC_G0,lng,lat
0,4.395,5000,2524,973,5000,4733.0,36.128195637811025,-0.2252420844908012
1,37.592,5000,2524,973,5000,4733.0,36.12919341997923,-0.22524208449080216
2,33.83,5000,2130,579,5000,4733.0,36.12520353010573,-0.22605085480128845
3,10.039,5000,2330,780,5000,4733.0,36.126201312308154,-0.2260508548012885
4,11.254,5000,2330,780,5000,4733.0,36.12719909451059,-0.226050854801288
5,28.237,5000,2524,973,5000,4733.0,36.12819687671302,-0.22605085480128892
6,40.893,5000,1964,392,5000,4733.0,36.12320920887183,-0.22685962512903252
7,15.41,5000,2053,503,5000,4733.0,36.12420699110858,-0.2268596251290335
8,45.597,5000,2130,579,5000,4733.0,36.12520477334535,-0.22685962512903296
9,30.243,5000,2496,1233,5000,4733.0,36.11223485149925,-0.22766839547409737
10,47.957,5000,1905,64,5000,4733.0,36.1202171096691,-0.2276683954740969
11,37.438,5000,1872,97,5000,4733.0,36.121214891940326,-0.22766839547409784
12,21.447,5000,1774,195,5000,4733.0,36.12221267421156,-0.2276683954740969
13,26.527,5000,1964,392,5000,4733.0,36.123210456482795,-0.22766839547409737
14,26.835,5000,1964,392,5000,4733.0,36.12420823875402,-0.2276683954740969
15,12.093,5000,2393,1291,5000,4733.0,36.11123832086402,-0.22847716583654243
16,0.693,5000,2393,1291,5000,4733.0,36.112236103169835,-0.22847716583654193
17,42.45,5000,1749,189,5000,4733.0,36.11822279700473,-0.22847716583654243
18,79.05,5000,1749,189,5000,4733.0,36.11922057931054,-0.22847716583654243
19,75.595,5000,1894,32,5000,4733.0,36.120218361616345,-0.22847716583654243
20,93.741,5000,1872,97,5000,4733.0,36.12121614392217,-0.22847716583654193
21,10.741,5000,2145,1366,5000,4733.0,36.12919840236868,-0.22847716583654243
22,42.214,5000,2518,1358,5000,4733.0,36.11024179459805,-0.22928593621643026
23,32.731,5000,2393,1291,5000,4733.0,36.11123957693857,-0.22928593621643034
24,28.897,5000,2360,1258,5000,4733.0,36.11223735927909,-0.2292859362164308
25,35.523,5000,1749,189,5000,4733.0,36.118224053322216,-0.22928593621643073
26,54.764,5000,1749,189,5000,4733.0,36.119221835662735,-0.2292859362164298
27,25.569,5000,1757,977,5000,4733.0,36.12620631204637,-0.2292859362164298
28,20.182,5000,1824,1045,5000,4733.0,36.12720409438689,-0.22928593621643026
29,14.418,5000,1945,1166,5000,4733.0,36.12820187672742,-0.22928593621643079
30,24.303,5000,2038,1258,5000,4733.0,36.12919965906794,-0.22928593621643034
31,27.041,5000,2518,1358,5000,4733.0,36.110243055076346,-0.23009470661382292
32,24.003,5000,2278,1293,5000,4733.0,36.11124083745168,-0.23009470661382292
33,40.501,5000,2272,1287,5000,4733.0,36.11223861982703,-0.2300947066138229
34,2.753,5000,2094,831,5000,4733.0,36.11423418457773,-0.2300947066138234
