,POP_2015,community_space,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,48.09,205,510,814,600,5056.0,38.81292752908057,14.891097536184374
1,55.335,54,461,766,551,5056.0,38.81394657542199,14.891097536184374
2,90.321,139,428,733,517,5056.0,38.81496562176341,14.891097536184374
3,62.192,196,368,674,458,5056.0,38.81598466810484,14.891097536184374
4,100.56,374,444,747,535,5056.0,38.81079822171272,14.890278130056101
5,90.543,374,444,747,535,5056.0,38.81181726565916,14.8902781300561
6,73.946,205,510,814,600,5056.0,38.812836309605586,14.890278130056098
7,73.429,52,391,695,481,5056.0,38.81385535355202,14.8902781300561
8,70.601,108,333,638,423,5056.0,38.81487439749844,14.8902781300561
9,57.035,213,301,597,369,5056.0,38.81589344144488,14.8902781300561
10,33.268,239,295,582,305,5056.0,38.81691248539129,14.890278130056098
11,81.746,344,340,642,431,5056.0,38.8117260541981,14.889458725118033
12,72.228,344,340,642,431,5056.0,38.81274509574968,14.88945872511803
13,62.284,183,262,566,353,5056.0,38.813764137301256,14.88945872511803
14,65.87,223,219,523,310,5056.0,38.814783178852835,14.88945872511803
15,59.882,275,205,501,255,5056.0,38.815802220404414,14.88945872511803
16,28.536,239,295,582,305,5056.0,38.816821261955994,14.88945872511803
17,78.585,304,241,447,311,5056.0,38.81265388751273,14.888639321370098
18,68.753,308,165,438,255,5056.0,38.813672926669625,14.888639321370098
19,59.641,301,86,391,177,5056.0,38.81469196582648,14.888639321370098
20,69.954,339,136,425,136,5056.0,38.81571100498336,14.888639321370098
21,48.737,397,196,461,136,5056.0,38.81673004414024,14.888639321370098
22,23.953,304,241,447,311,5056.0,38.81256268489465,14.887819918812227
23,50.068,276,133,339,233,5056.0,38.813581721656966,14.887819918812225
24,54.633,229,31,291,103,5056.0,38.81460075841928,14.887819918812225
25,67.515,265,61,327,15,5056.0,38.8156197951816,14.887819918812225
26,16.819,351,149,413,87,5056.0,38.816638831943926,14.887819918812228
27,72.117,293,111,204,346,5056.0,38.812471487895294,14.887000517444344
28,66.683,214,84,225,271,5056.0,38.8134905222632,14.887000517444344
29,50.604,124,0,187,171,5056.0,38.81450955663111,14.887000517444342
30,69.677,177,54,280,276,5056.0,38.81552859099902,14.887000517444342
31,24.1,362,83,135,277,5056.0,38.812380296514554,14.886181117266382
32,63.134,232,0,92,235,5056.0,38.81339932848821,14.886181117266382
33,81.449,45,77,221,234,5056.0,38.814418360461865,14.88618111726638
34,92.41,123,0,225,222,5056.0,38.81543739243551,14.88618111726638
35,72.492,561,335,295,439,5056.0,38.81645642440916,14.886181117266384
36,98.361,445,130,179,189,5056.0,38.81228911075234,14.885361718278268
37,59.974,318,45,52,144,5056.0,38.81330814033188,14.885361718278265
38,79.972,380,136,114,236,5056.0,38.814327169911415,14.885361718278267
39,120.244,475,249,208,352,5056.0,38.81534619949096,14.885361718278268
40,89.286,551,325,284,428,5056.0,38.8163652290705,14.885361718278265
41,68.771,406,51,140,106,5056.0,38.81219793060852,14.884542320479929
42,78.604,383,0,116,27,5056.0,38.81321695779408,14.884542320479929
43,72.967,431,80,165,179,5056.0,38.81423598497967,14.884542320479925
44,40.377,501,235,234,336,5056.0,38.81525501216523,14.884542320479923
45,74.039,610,305,344,404,5056.0,38.816274039350816,14.884542320479929
46,46.926,551,104,122,142,5056.0,38.81312578087473,14.88372292387129
47,70.213,570,37,197,161,5056.0,38.814144805666494,14.883722923871288
48,64.589,597,140,284,245,5056.0,38.81516383045825,14.883722923871288
49,64.188,633,282,367,381,5056.0,38.816182855250005,14.883722923871288
50,58.015,673,144,18,264,5056.0,38.8130346095737,14.88290352845228
51,65.944,630,83,137,221,5056.0,38.81405363197178,14.88290352845228
52,49.68,725,192,270,316,5056.0,38.81507265436988,14.882903528452283
53,45.115,712,192,342,303,5056.0,38.816091676767975,14.882903528452282
54,44.856,757,208,84,349,5056.0,38.81294344389088,14.882084134222836
55,63.818,757,207,120,348,5056.0,38.81396246389544,14.882084134222834
56,55.113,805,250,183,396,5056.0,38.814981483900006,14.882084134222834
57,62.765,778,231,276,369,5056.0,38.816000503904576,14.882084134222836
58,61.637,867,152,231,458,5056.0,38.813871301437345,14.88126474118288
59,75.222,888,175,268,479,5056.0,38.81489031904854,14.88126474118288
60,64.539,965,46,310,556,5056.0,38.813780144597374,14.880445349332343
61,45.041,1012,45,338,603,5056.0,38.81368899337541,14.879625958671154
