,POP_2015,active_living,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,66.63,1949,3372,254,488,5157.0,38.75610857439037,9.182862710919995
1,64.791,1949,3372,254,488,5157.0,38.75711432530382,9.182862710919995
2,72.385,1817,3241,86,356,5157.0,38.758120076217274,9.182862710919995
3,32.167,1888,3311,460,426,5157.0,38.75504796479756,9.182049938748424
4,68.385,1908,3331,310,446,5157.0,38.75605371428735,9.182049938748424
5,51.441,1804,3228,271,343,5157.0,38.75705946377714,9.182049938748424
6,90.95,1817,3241,86,356,5157.0,38.758065213266924,9.182049938748424
7,67.575,1739,3162,0,275,5157.0,38.75907096275673,9.182049938748424
8,43.711,1888,3311,460,426,5157.0,38.75499311119091,9.181237167290089
9,74.748,1832,3255,410,370,5157.0,38.75599885925717,9.181237167290089
10,55.677,1766,3189,284,305,5157.0,38.757004607323424,9.181237167290087
11,77.938,1713,3136,180,251,5157.0,38.75801035538968,9.181237167290089
12,66.343,1640,3064,98,176,5157.0,38.75901610345594,9.181237167290087
13,39.34,1773,3197,461,312,5157.0,38.75493826265687,9.180424396544927
14,79.592,1717,3140,404,256,5157.0,38.75594400929972,9.180424396544925
15,75.896,1660,3083,343,198,5157.0,38.756949755942586,9.180424396544925
16,60.521,1604,3027,289,142,5157.0,38.757955502585446,9.180424396544925
17,74.731,1654,3077,385,270,5157.0,38.75588916441498,9.179611626512873
18,68.875,1542,2965,229,80,5157.0,38.756894909634575,9.179611626512873
19,67.407,1463,2887,148,0,5157.0,38.75790065485417,9.179611626512873
20,57.483,1514,2937,211,63,5157.0,38.75890640007376,9.179611626512873
21,38.648,1543,2967,274,381,5157.0,38.75482858080642,9.178798857193861
22,59.913,1543,2967,274,381,5157.0,38.75583432460288,9.178798857193863
23,72.622,1371,2794,102,250,5157.0,38.75684006839933,9.178798857193863
24,60.436,1315,2738,0,148,5157.0,38.75784581219579,9.178798857193861
25,68.115,1366,2789,74,211,5157.0,38.758851555992244,9.178798857193861
26,43.273,1371,2794,102,250,5157.0,38.75678523223679,9.177986088587826
27,49.736,1289,2712,26,174,5157.0,38.757790974610245,9.177986088587826
28,60.656,1366,2789,74,211,5157.0,38.758796716983696,9.177986088587826
29,29.45,1208,2631,513,375,5157.0,38.752597801763784,9.175547787046932
30,9.451,1208,2631,513,375,5157.0,38.75360353986902,9.175547787046932
31,23.24,1060,2484,365,227,5157.0,38.75460927797426,9.175547787046932
32,40.049,979,2402,0,146,5157.0,38.75662075418471,9.17554778704693
33,67.744,1111,2535,132,278,5157.0,38.757626492289944,9.17554778704693
34,5.941,1111,2535,132,278,5157.0,38.75863223039518,9.17554778704693
35,54.951,1076,2499,381,510,5157.0,38.75254299158131,9.174735021292154
36,62.664,1208,2631,513,375,5157.0,38.753548728264064,9.174735021292154
37,57.382,1060,2484,365,227,5157.0,38.75455446494682,9.174735021292154
38,37.399,903,2327,209,70,5157.0,38.755560201629585,9.174735021292154
39,30.851,833,2256,138,0,5157.0,38.75656593831234,9.174735021292154
40,55.154,1111,2535,132,278,5157.0,38.7575716749951,9.174735021292152
41,26.936,1111,2535,132,278,5157.0,38.75857741167785,9.174735021292152
42,49.652,1076,2499,381,510,5157.0,38.75248818647069,9.173922256250025
43,72.841,925,2348,230,364,5157.0,38.75349392173112,9.173922256250025
44,62.31,897,2320,202,337,5157.0,38.75449965699152,9.173922256250025
45,31.374,903,2327,209,70,5157.0,38.75550539225193,9.173922256250023
46,42.918,833,2256,138,0,5157.0,38.75651112751234,9.173922256250025
47,61.787,979,2403,547,685,5157.0,38.751427652593684,9.173109491920481
48,60.217,1032,2455,433,571,5157.0,38.752433386431875,9.17310949192048
49,53.162,959,2382,360,499,5157.0,38.75343912027008,9.17310949192048
50,50.58,792,2215,194,332,5157.0,38.754444854108264,9.17310949192048
51,63.862,744,2167,97,236,5157.0,38.75545058794647,9.173109491920481
52,55.221,694,2118,0,138,5157.0,38.75645632178466,9.173109491920481
53,65.28,979,2403,547,685,5157.0,38.75137285904867,9.172296728303456
54,49.652,884,2307,537,676,5157.0,38.75237859146478,9.172296728303456
55,44.437,833,2256,438,576,5157.0,38.7533843238809,9.172296728303456
56,74.292,879,2303,353,491,5157.0,38.75439005629701,9.172296728303456
57,56.285,601,2024,167,306,5157.0,38.75539578871313,9.172296728303456
58,34.091,563,1987,130,269,5157.0,38.75640152112924,9.172296728303456
59,79.558,781,2205,578,781,5157.0,38.751318070575195,9.171483965398888
60,72.267,758,2181,554,758,5157.0,38.752323801569354,9.171483965398886
61,45.146,784,2207,487,626,5157.0,38.753329532563534,9.171483965398886
62,70.073,879,2303,353,491,5157.0,38.75433526355769,9.171483965398886
63,45.399,550,1973,129,282,5157.0,38.75534099455185,9.171483965398886
64,27.02,563,1987,130,269,5157.0,38.75634672554601,9.171483965398888
65,78.664,731,2154,528,731,5157.0,38.751263287173195,9.170671203206705
66,83.558,682,2106,479,682,5157.0,38.75226901674554,9.170671203206707
67,51.863,708,2131,490,660,5157.0,38.7532747463179,9.170671203206707
68,60.42,420,1843,0,412,5157.0,38.75528620546257,9.170671203206707
69,32.336,570,1993,149,478,5157.0,38.756291935034916,9.170671203206707
70,53.466,601,2024,180,509,5157.0,38.757297664607265,9.170671203206705
71,54.732,797,2220,376,705,5157.0,38.7583033941796,9.170671203206705
72,62.462,583,2007,380,583,5157.0,38.75221423699326,9.16985844172685
73,55.205,583,2007,380,583,5157.0,38.75321996514392,9.169858441726852
74,26.126,585,2009,165,494,5157.0,38.756237149595876,9.16985844172685
75,37.973,601,2024,180,509,5157.0,38.75724287774655,9.169858441726852
76,72.166,783,2206,362,692,5157.0,38.7582486058972,9.169858441726852
77,85.229,467,1890,264,467,5157.0,38.75215946231246,9.169045680959254
78,63.12,467,1890,264,467,5157.0,38.75316518904156,9.169045680959254
79,67.592,282,1706,79,282,5157.0,38.75417091577067,9.169045680959252
80,61.517,203,1626,0,203,5157.0,38.75517664249976,9.169045680959252
81,35.003,329,1752,185,329,5157.0,38.75618236922887,9.169045680959254
82,32.184,406,1829,262,406,5157.0,38.757188095957964,9.169045680959252
83,50.479,847,2270,427,756,5157.0,38.75819382268706,9.169045680959252
84,60.976,513,1889,443,513,5157.0,38.7510989673954,9.168232920903847
85,63.829,232,1655,156,232,5157.0,38.754116143318434,9.168232920903847
86,49.821,206,1629,62,206,5157.0,38.755121868626105,9.168232920903847
87,69.466,288,1711,144,288,5157.0,38.756127593933776,9.168232920903847
88,63.643,390,1812,335,390,5157.0,38.75713331924145,9.168232920903845
89,33.602,419,1840,383,419,5157.0,38.75813904454913,9.168232920903847
90,34.294,99,1522,289,99,5157.0,38.75305565205142,9.167420161560571
91,22.328,99,1522,289,99,5157.0,38.75406137593781,9.16742016156057
92,59.171,55,1479,212,55,5157.0,38.75506709982418,9.16742016156057
93,60.74,190,1612,331,190,5157.0,38.75607282371056,9.16742016156057
94,71.103,311,1729,433,311,5157.0,38.757078547596954,9.16742016156057
95,39.998,321,1739,478,321,5157.0,38.75808427148333,9.16742016156057
96,13.839,99,1522,289,99,5157.0,38.7530008911635,9.166607402929356
97,30.007,99,1522,289,99,5157.0,38.75400661362874,9.166607402929356
98,53.196,0,1423,203,0,5157.0,38.75501233609395,9.166607402929355
99,65.432,264,1463,420,264,5157.0,38.75601805855917,9.166607402929356
100,61.837,321,1739,478,321,5157.0,38.757023781024394,9.166607402929356
101,12.995,321,1739,478,321,5157.0,38.75802950348962,9.166607402929356
102,42.648,598,1580,752,598,5157.0,38.75093469325857,9.165794645010141
103,0.81,405,1387,595,405,5157.0,38.751940414302766,9.16579464501014
104,7.206,405,1387,595,405,5157.0,38.75294613534696,9.165794645010141
105,59.761,306,1316,497,306,5157.0,38.753951856391154,9.16579464501014
106,57.28,203,1219,407,203,5157.0,38.75495757743534,9.16579464501014
107,74.799,290,1490,447,290,5157.0,38.75596329847953,9.165794645010141
108,71.086,391,1593,547,391,5157.0,38.75696901952372,9.165794645010141
109,24.877,418,1621,574,418,5157.0,38.757974740567924,9.16579464501014
110,69.854,598,1580,752,598,5157.0,38.75087994535511,9.164981887802853
111,46.074,582,1320,772,582,5157.0,38.751885664978396,9.164981887802853
112,54.209,405,1352,595,405,5157.0,38.752891384601696,9.164981887802854
113,53.078,306,1316,497,306,5157.0,38.75389710422499,9.164981887802854
114,40.606,203,1219,407,203,5157.0,38.75490282384828,9.164981887802853
115,63.12,365,1375,565,365,5157.0,38.755908543471584,9.164981887802853
116,31.374,493,1503,691,493,5157.0,38.75691426309487,9.164981887802853
117,3.257,530,1539,728,530,5157.0,38.75791998271817,9.164981887802854
118,35.745,582,1320,772,582,5157.0,38.751830920725126,9.164169131307435
119,39.863,483,1266,673,483,5157.0,38.75283663892767,9.164169131307435
120,51.137,435,1187,625,435,5157.0,38.75384235713019,9.164169131307435
121,54.783,710,1245,900,710,5157.0,38.7517761815429,9.163356375523817
122,20.573,710,1245,900,710,5157.0,38.75278189832479,9.163356375523815
123,14.362,464,1159,654,464,5157.0,38.753787615106695,9.163356375523817
124,36.015,396,1027,599,396,5157.0,38.754793331888585,9.163356375523817
125,11.746,550,1186,750,550,5157.0,38.755799048670475,9.163356375523817
