,POP_2015,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,58.261,2850,3716,1202,5000,3807,5169.0,39.47282038350622,15.624951860104112
1,0.217,2840,3706,1174,5000,3797,5169.0,39.473841632885495,15.624951860104106
2,140.347,1791,1709,2476,2112,2544,5169.0,39.44004276355172,15.624131359895692
3,597.991,1723,1641,2409,2084,2477,5169.0,39.441064010402755,15.624131359895692
4,263.043,1723,1641,2409,2084,2477,5169.0,39.44208525725378,15.624131359895689
5,332.783,1574,1608,2304,2115,2389,5169.0,39.44310650410482,15.624131359895692
6,312.099,1570,1632,2300,2139,2385,5169.0,39.44412775095586,15.624131359895692
7,498.146,1518,1595,2249,2185,2334,5169.0,39.44514899780689,15.624131359895692
8,489.482,1553,1630,2284,2221,2369,5169.0,39.44617024465793,15.624131359895692
9,0.0,1778,2644,338,3796,2734,5169.0,39.46148894742345,15.624131359895692
10,0.0,1931,2797,185,3949,2888,5169.0,39.46251019427448,15.624131359895692
11,4.873,1931,2797,185,3949,2888,5169.0,39.46353144112552,15.624131359895692
12,115.656,2218,3084,123,4258,3174,5169.0,39.465573934827596,15.624131359895692
13,11.804,2218,3084,123,4258,3174,5169.0,39.46659518167863,15.624131359895692
14,98.005,2850,3716,1211,5000,3807,5169.0,39.47272266278484,15.624131359895692
15,109.051,2859,3725,1202,5000,3816,5169.0,39.47374390963588,15.624131359895692
16,40.826,5000,5000,5000,5000,5000,5169.0,39.475786403337956,15.624131359895692
17,0.433,5000,5000,5000,5000,5000,5169.0,39.47680765018899,15.624131359895692
18,107.968,2238,443,2835,0,2886,5169.0,39.43279641927723,15.623310860942029
19,230.771,2238,443,2835,0,2886,5169.0,39.43381766360015,15.623310860942029
20,309.933,1908,462,2505,743,2556,5169.0,39.43892388521483,15.623310860942029
21,5.306,1908,462,2505,743,2556,5169.0,39.43994512953776,15.62331086094203
22,242.359,1706,1624,2392,2050,2459,5169.0,39.4409663738607,15.623310860942032
23,333.433,1648,1604,2372,2047,2439,5169.0,39.44198761818363,15.62331086094203
24,360.614,1554,1571,2285,2049,2370,5169.0,39.44300886250656,15.623310860942029
25,359.423,1559,1593,2289,2100,2374,5169.0,39.444030106829494,15.623310860942029
26,394.943,1463,1530,2194,2078,2279,5169.0,39.445051351152436,15.62331086094203
27,637.843,1363,1439,2013,2121,2178,5169.0,39.44607259547535,15.623310860942029
28,4.332,1354,1431,1999,2135,2170,5169.0,39.44709383979829,15.623310860942029
29,0.0,821,1687,1317,2839,1777,5169.0,39.45220006141297,15.62331086094203
30,50.789,832,1698,1284,2850,1789,5169.0,39.453221305735894,15.623310860942029
31,0.0,1778,2644,338,3796,2734,5169.0,39.46139126031937,15.623310860942029
32,0.0,1931,2797,185,3949,2888,5169.0,39.46241250464231,15.623310860942029
33,42.126,1931,2797,185,3949,2888,5169.0,39.46343374896524,15.623310860942032
34,132.009,2117,2983,0,4135,3073,5169.0,39.46445499328817,15.623310860942029
35,215.051,2218,3084,123,4258,3174,5169.0,39.46547623761109,15.623310860942029
36,202.724,2218,3084,123,4258,3174,5169.0,39.46649748193403,15.623310860942029
37,11.262,2295,3161,629,4565,3252,5169.0,39.468539970579904,15.623310860942029
38,134.499,2684,3550,1246,4953,3640,5169.0,39.47262494787164,15.623310860942032
39,16.569,2792,3658,1354,5000,3748,5169.0,39.473646192194565,15.62331086094203
40,71.148,2792,3658,1354,5000,3748,5169.0,39.474667436517514,15.623310860942029
41,150.31,5000,5000,5000,5000,5000,5169.0,39.47568868084044,15.623310860942029
42,37.686,5000,5000,5000,5000,5000,5169.0,39.47670992516338,15.623310860942029
43,149.552,5000,5000,5000,5000,5000,5169.0,39.47773116948631,15.62331086094203
44,222.866,2534,605,3131,354,3181,5169.0,39.430656325172215,15.622490363243047
45,385.196,2226,431,2823,12,2873,5169.0,39.432698808762176,15.622490363243047
46,264.775,2276,347,2872,96,2923,5169.0,39.43372005055718,15.622490363243049
47,9.746,1947,167,2544,291,2594,5169.0,39.43576253414713,15.622490363243047
48,0.0,1773,296,2370,481,2420,5169.0,39.43678377594212,15.622490363243049
49,126.919,1741,295,2338,575,2388,5169.0,39.43780501773709,15.622490363243047
