,POP_2015,active_living,community_space,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,191.709,710,2732,1492,680,6306.0,69.01698958441509,25.538079297959126
1,144.423,710,2732,1492,680,6306.0,69.01805288104934,25.538079297959126
2,125.906,494,2437,1617,801,6306.0,69.00818294814266,25.537238189303846
3,147.914,318,2261,1441,625,6306.0,69.0092462401504,25.537238189303842
4,126.613,223,2541,1447,704,6306.0,69.01243611617362,25.537238189303846
5,200.15,352,2670,1439,767,6306.0,69.01349940818135,25.537238189303846
6,166.475,401,2628,1388,692,6306.0,69.01456270018909,25.537238189303842
7,112.56,553,2536,1296,576,6306.0,69.01562599219683,25.537238189303846
8,122.15,710,2732,1492,680,6306.0,69.01668928420457,25.537238189303846
9,199.708,710,2732,1492,680,6306.0,69.01775257621229,25.53723818930385
10,168.596,1496,3320,2080,1114,6306.0,69.02519562026644,25.537238189303853
11,170.939,445,2381,1567,746,6306.0,69.00788269849564,25.53639708288822
12,192.903,296,2232,1418,597,6306.0,69.00894598587706,25.536397082888218
13,204.835,241,2183,1363,547,6306.0,69.01000927325849,25.53639708288822
14,111.587,0,2318,1270,527,6306.0,69.01107256063992,25.53639708288822
15,161.525,106,2424,1353,610,6306.0,69.01213584802133,25.53639708288822
16,170.673,136,2428,1335,591,6306.0,69.01319913540276,25.536397082888218
17,210.536,381,2552,1312,639,6306.0,69.01426242278421,25.53639708288822
18,192.77,572,2517,1277,557,6306.0,69.01532571016564,25.536397082888218
19,151.052,819,2440,1200,386,6306.0,69.01638899754705,25.536397082888218
20,174.695,851,2472,1232,412,6306.0,69.0174522849285,25.53639708288822
21,181.545,885,2612,1372,505,6306.0,69.01851557230991,25.53639708288822
22,168.817,1496,3320,2080,1114,6306.0,69.0248952965985,25.53639708288822
23,176.551,1704,3112,1871,906,6306.0,69.02702187136136,25.53639708288822
24,183.445,444,2369,1566,733,6306.0,69.00758246239948,25.535555978712146
25,171.734,227,2152,1349,516,6306.0,69.00864574515481,25.53555597871215
26,182.871,218,2136,1316,501,6306.0,69.00970902791015,25.53555597871215
27,166.122,144,2239,1219,476,6306.0,69.01077231066547,25.535555978712146
28,172.839,71,2247,1198,455,6306.0,69.0118355934208,25.535555978712146
29,196.482,173,2336,1262,519,6306.0,69.01289887617615,25.535555978712146
30,177.17,459,2464,1224,556,6306.0,69.01396215893148,25.53555597871215
31,214.513,507,2423,1183,482,6306.0,69.0150254416868,25.535555978712146
32,188.66,711,2390,1150,383,6306.0,69.01608872444213,25.53555597871215
33,170.585,851,2472,1232,374,6306.0,69.01715200719745,25.53555597871215
34,191.091,856,2476,1236,370,6306.0,69.01821528995279,25.53555597871215
35,137.131,1672,3496,2256,1290,6306.0,69.02353170372945,25.535555978712146
36,147.163,1672,3496,2256,1290,6306.0,69.02459498648479,25.53555597871215
37,133.463,1704,3112,1871,906,6306.0,69.02672155199545,25.535555978712146
38,138.81,842,2767,1964,1131,6306.0,69.0051556835949,25.53471487677553
39,157.239,478,2403,1600,767,6306.0,69.0072822398538,25.534714876775535
40,181.015,480,1955,1309,319,6306.0,69.00834551798324,25.534714876775542
41,158.874,318,2036,1221,406,6306.0,69.00940879611268,25.53471487677554
42,193.654,341,2040,1144,401,6306.0,69.0104720742421,25.53471487677553
43,175.27,221,2135,1113,370,6306.0,69.01153535237155,25.53471487677554
44,177.7,263,2276,1175,432,6306.0,69.01259863050099,25.534714876775542
45,168.022,551,2352,1112,448,6306.0,69.01366190863045,25.53471487677553
46,191.886,586,2368,1128,408,6306.0,69.01472518675986,25.534714876775535
47,186.981,683,2261,1020,308,6306.0,69.01578846488931,25.53471487677553
48,179.645,735,2355,1115,276,6306.0,69.01685174301875,25.53471487677553
49,185.257,2077,3901,2661,1695,6306.0,69.02004157740708,25.53471487677554
50,164.265,2010,3834,2593,1628,6306.0,69.02110485553654,25.53471487677553
51,180.661,1947,3771,2531,1565,6306.0,69.02216813366597,25.53471487677554
52,14.628,1365,2557,2194,814,6306.0,68.99953911633173,25.53387377707828
53,62.312,992,2221,1821,831,6306.0,69.002728936843,25.53387377707828
54,99.832,976,2227,1805,816,6306.0,69.00379221034676,25.53387377707828
55,79.592,860,2785,1982,1149,6306.0,69.00485548385053,25.53387377707828
56,112.957,668,1918,1272,282,6306.0,69.00698203085805,25.533873777078284
57,179.689,564,1936,1291,301,6306.0,69.00804530436183,25.53387377707828
58,195.731,428,1903,1257,267,6306.0,69.00910857786556,25.533873777078277
59,238.907,404,2057,1085,342,6306.0,69.01017185136935,25.533873777078284
60,185.699,377,2031,1018,275,6306.0,69.0112351248731,25.53387377707828
61,173.104,278,2162,1061,318,6306.0,69.01229839837686,25.53387377707828
62,195.466,374,2239,1066,371,6306.0,69.01336167188063,25.53387377707828
63,164.752,449,2231,991,327,6306.0,69.01442494538439,25.533873777078277
64,152.908,802,2142,902,197,6306.0,69.01548821888815,25.53387377707828
65,171.911,868,2223,982,116,6306.0,69.0165514923919,25.533873777078284
66,191.002,911,2266,1026,153,6306.0,69.01761476589567,25.53387377707828
67,169.303,1121,2465,1225,352,6306.0,69.01867803939943,25.533873777078284
68,151.184,1119,2455,1214,342,6306.0,69.0197413129032,25.533873777078277
69,208.856,2061,3885,2645,1679,6306.0,69.02080458640695,25.53387377707828
70,194.493,2016,3840,2600,1634,6306.0,69.02186785991073,25.533873777078284
71,24.792,1365,2557,2194,814,6306.0,68.99923895326383,25.53303267962029
72,39.995,1113,2080,1760,942,6306.0,69.00242875989869,25.533032679620295
73,170.497,1113,2080,1760,942,6306.0,69.00349202877699,25.53303267962029
74,35.62,668,1918,1272,282,6306.0,69.00668183541185,25.533032679620298
75,180.308,585,1834,1188,198,6306.0,69.00774510429012,25.533032679620295
76,175.446,544,1787,1141,151,6306.0,69.00880837316842,25.533032679620295
77,205.498,495,1874,1076,328,6306.0,69.00987164204672,25.53303267962029
78,180.794,363,1962,934,191,6306.0,69.010934910925,25.53303267962029
