,POP_2015,active_living,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,62.962,1585,1227,625,6539.0,71.62664259601702,24.399554455417046
1,71.419,1585,1227,625,6539.0,71.62634789948788,24.398716297476536
2,78.973,1042,683,0,6539.0,71.62563718580375,24.393687394206033
3,80.13,1042,683,0,6539.0,71.62669436737444,24.393687394206037
4,77.997,971,613,277,6539.0,71.62775154894511,24.39368739420604
5,67.696,971,613,277,6539.0,71.6288087305158,24.393687394206037
6,78.503,1042,683,0,6539.0,71.62534257956221,24.392849251055534
7,70.805,961,603,14,6539.0,71.62639975678455,24.392849251055527
8,71.546,947,589,28,6539.0,71.62745693400689,24.392849251055527
9,84.467,897,539,203,6539.0,71.62851411122924,24.392849251055527
10,41.438,958,599,81,6539.0,71.63062846567394,24.392849251055527
11,69.919,947,589,28,6539.0,71.62610515971272,24.392011110017517
12,79.154,947,589,28,6539.0,71.62716233258692,24.392011110017517
13,66.775,776,418,197,6539.0,71.62821950546113,24.392011110017524
14,83.581,876,518,0,6539.0,71.63033385120956,24.392011110017517
15,72.521,988,630,112,6539.0,71.63139102408374,24.392011110017517
16,83.744,645,287,66,6539.0,71.62792491321103,24.3911729710919
17,75.449,712,353,0,6539.0,71.6289820817373,24.391172971091905
18,72.323,876,518,0,6539.0,71.6300392502636,24.3911729710919
19,74.871,988,630,112,6539.0,71.63109641878985,24.391172971091905
20,75.883,645,287,66,6539.0,71.62763033447851,24.390334834278597
21,51.703,712,353,0,6539.0,71.62868749865704,24.39033483427859
22,37.426,515,157,466,6539.0,71.62522144960114,24.389496699577503
23,69.919,1019,661,0,6539.0,71.63050724875612,24.389496699577503
24,48.486,1019,661,0,6539.0,71.63156440858711,24.389496699577503
25,26.511,515,157,466,6539.0,71.62492690659712,24.388658566988543
26,42.107,358,0,353,6539.0,71.62598406208078,24.388658566988536
27,50.655,358,0,353,6539.0,71.62704121756443,24.388658566988543
28,53.004,1019,661,0,6539.0,71.63126983949907,24.38865856698854
29,43.083,154,154,154,6539.0,71.62404335867838,24.386144181893474
30,47.854,0,0,0,6539.0,71.62510050112125,24.386144181893474
31,18.09,154,154,154,6539.0,71.62269173163884,24.385306057752096
32,50.799,154,154,154,6539.0,71.62374886973514,24.3853060577521
33,57.233,0,0,0,6539.0,71.62480600783145,24.3853060577521
