,POP_2015,active_living,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,30.113,5000,490,1952,5000,6586.0,74.31442086540739,29.643117759817354
1,6.142,5000,490,1952,5000,6586.0,74.3140294454149,29.642264623696178
2,0.0,5000,356,1818,5000,6586.0,74.31433496117592,29.64055835965979
3,0.0,5000,216,1678,4868,6586.0,74.31542326576866,29.64055835965979
4,17.407,3304,4601,3491,4283,6586.0,74.28020632190713,29.63970523174436
5,53.972,4331,2044,2621,4027,6586.0,74.2987074025473,29.639705231744358
6,41.643,4737,2410,2323,4322,6586.0,74.30632549457559,29.63970523174436
7,63.285,4746,2315,2228,4258,6586.0,74.30741379343678,29.639705231744358
8,0.0,5000,515,1915,5000,6586.0,74.31176698888152,29.63970523174436
9,0.022,5000,515,1915,5000,6586.0,74.3128552877427,29.639705231744358
10,3.127,5000,356,1818,5000,6586.0,74.31394358660387,29.63970523174436
11,0.155,5000,216,1678,4868,6586.0,74.31503188546507,29.63970523174436
12,12.218,3268,4566,3456,4248,6586.0,74.2787268489244,29.63885210656395
13,19.624,3304,4601,3491,4283,6586.0,74.2798151420543,29.63885210656395
14,43.883,3304,4601,3491,4283,6586.0,74.28090343518421,29.63885210656395
15,69.206,3131,4429,3319,4111,6586.0,74.28199172831411,29.63885210656395
16,11.087,3868,2557,2480,3886,6586.0,74.29287465961319,29.638852106563952
17,29.381,3868,2557,2480,3886,6586.0,74.29396295274307,29.63885210656395
18,2.217,4004,2420,2448,3854,6586.0,74.295051245873,29.638852106563952
19,14.746,4101,2323,2494,3900,6586.0,74.29613953900291,29.63885210656395
20,3.836,4183,2377,2473,3879,6586.0,74.2972278321328,29.638852106563952
21,1.264,4233,2333,2523,3930,6586.0,74.2983161252627,29.638852106563952
22,4.878,4226,2759,2404,3810,6586.0,74.30049271152251,29.638852106563952
23,53.861,4347,2677,2525,3931,6586.0,74.30158100465243,29.638852106563956
24,80.315,4408,2639,2550,3992,6586.0,74.30266929778234,29.638852106563956
25,103.797,4508,2528,2440,4091,6586.0,74.30375759091224,29.638852106563956
26,97.611,4560,2524,2436,4143,6586.0,74.30484588404215,29.638852106563952
27,104.817,4660,2424,2337,4242,6586.0,74.30593417717203,29.638852106563952
28,56.81,4746,2315,2228,4258,6586.0,74.30702247030194,29.638852106563952
29,43.084,5000,616,2015,5000,6586.0,74.31028734969168,29.638852106563952
30,19.292,5000,582,1981,5000,6586.0,74.31137564282157,29.63885210656395
31,2.328,5000,515,1915,5000,6586.0,74.31246393595147,29.63885210656395
32,4.457,5000,0,1462,4651,6586.0,74.3157288153412,29.63885210656395
33,40.468,3207,4505,3395,4187,6586.0,74.27724740444485,29.63799898411847
34,66.256,3268,4566,3456,4248,6586.0,74.27833569184372,29.637998984118468
35,74.616,3161,4458,3348,4140,6586.0,74.2794239792426,29.63799898411847
36,70.226,3201,4498,3388,4180,6586.0,74.28051226664148,29.63799898411847
37,0.998,3390,3034,2741,3715,6586.0,74.28921856583248,29.637998984118468
38,18.648,3719,2706,2413,3819,6586.0,74.29139514063024,29.637998984118468
39,15.123,3719,2706,2413,3819,6586.0,74.29248342802912,29.637998984118468
40,18.826,3900,2587,2448,3854,6586.0,74.293571715428,29.63799898411847
41,1.463,4021,2568,2383,3789,6586.0,74.29466000282687,29.637998984118468
42,0.0,4097,2456,2387,3794,6586.0,74.29574829022575,29.63799898411847
43,0.0,4032,2344,2321,3728,6586.0,74.29683657762463,29.637998984118468
44,6.275,4138,2283,2427,3834,6586.0,74.2979248650235,29.637998984118475
45,4.945,4226,2759,2404,3810,6586.0,74.30010143982126,29.637998984118468
46,80.492,4210,2705,2388,3794,6586.0,74.30118972722013,29.63799898411847
47,92.688,4290,2565,2468,3874,6586.0,74.30227801461902,29.637998984118468
48,88.852,4442,2555,2468,4026,6586.0,74.3033663020179,29.63799898411847
49,99.806,4467,2473,2386,4050,6586.0,74.30445458941676,29.637998984118465
50,120.494,4471,2401,2314,4054,6586.0,74.30554287681562,29.63799898411847
51,70.625,4530,2285,2198,4112,6586.0,74.30663116421451,29.637998984118465
52,27.075,4623,2192,2104,4135,6586.0,74.3077194516134,29.637998984118468
53,2.617,5000,616,2015,5000,6586.0,74.30989602641115,29.637998984118468
54,78.519,5000,541,1940,5000,6586.0,74.31098431381004,29.63799898411847
55,6.209,5000,452,1851,5000,6586.0,74.3120726012089,29.637998984118465
56,7.717,5000,298,1697,4886,6586.0,74.31316088860778,29.63799898411846
57,6.031,5000,155,1599,4788,6586.0,74.31424917600667,29.637998984118475
58,5.92,5000,45,1508,4697,6586.0,74.31533746340554,29.637998984118468
59,26.276,5000,0,1462,4651,6586.0,74.31642575080441,29.637998984118468
60,48.938,3292,4590,3480,4272,6586.0,74.27576798846707,29.637145864407792
61,42.796,3292,4590,3480,4272,6586.0,74.27685627013516,29.637145864407785
62,103.088,3207,4505,3395,4187,6586.0,74.27794455180326,29.637145864407792
63,76.523,3161,4458,3348,4140,6586.0,74.27903283347136,29.637145864407792
64,13.571,3248,3176,2883,3586,6586.0,74.28773908681612,29.63714586440779
65,12.418,3427,3072,2708,3678,6586.0,74.28882736848423,29.63714586440779
66,1.419,3520,3158,2620,3678,6586.0,74.28991565015232,29.637145864407792
67,30.534,3733,2945,2407,3813,6586.0,74.29100393182041,29.637145864407792
68,25.678,3793,2884,2346,3753,6586.0,74.29209221348852,29.63714586440779
69,29.292,3841,2828,2290,3697,6586.0,74.29318049515663,29.637145864407792
70,0.82,3999,2630,2318,3725,6586.0,74.29426877682471,29.63714586440779
71,0.022,3995,2525,2285,3691,6586.0,74.29535705849283,29.63714586440779
72,0.111,4058,2408,2347,3754,6586.0,74.29644534016091,29.63714586440779
73,3.659,3991,2384,2280,3687,6586.0,74.29753362182899,29.637145864407792
74,21.575,4027,2570,2257,3664,6586.0,74.2986219034971,29.637145864407792
75,42.863,4053,2703,2231,3638,6586.0,74.29971018516521,29.63714586440779
76,66.811,4061,2734,2239,3645,6586.0,74.30079846683331,29.637145864407792
77,112.8,4097,2613,2275,3682,6586.0,74.30188674850139,29.637145864407792
78,95.26,4234,2477,2389,3818,6586.0,74.30297503016949,29.63714586440779
79,91.845,4373,2392,2305,3956,6586.0,74.30406331183758,29.63714586440779
80,97.655,4315,2329,2242,3898,6586.0,74.30515159350567,29.63714586440779
81,82.599,4460,2299,2212,4043,6586.0,74.30623987517379,29.63714586440779
82,60.491,4532,2128,2040,4025,6586.0,74.30732815684188,29.637145864407795
83,8.559,4554,2078,1991,4022,6586.0,74.30841643850997,29.637145864407785
84,29.913,5000,488,1887,5000,6586.0,74.31059300184616,29.637145864407792
85,48.473,5000,426,1792,4981,6586.0,74.31168128351426,29.637145864407792
86,16.808,5000,345,1646,4835,6586.0,74.31276956518235,29.63714586440779
87,35.789,5000,237,1531,4720,6586.0,74.31385784685047,29.637145864407792
88,43.04,5000,268,1472,4661,6586.0,74.31494612851856,29.63714586440779
89,12.151,5000,128,1333,4522,6586.0,74.31603441018665,29.637145864407785
90,76.745,3292,4590,3480,4272,6586.0,74.27537687692718,29.63629274743181
91,94.573,3292,4590,3480,4272,6586.0,74.27646515286476,29.636292747431803
92,90.138,3169,4467,3357,4149,6586.0,74.27755342880232,29.636292747431806
93,66.988,2967,4265,3154,3947,6586.0,74.27972998067746,29.636292747431806
94,73.862,2967,4265,3154,3947,6586.0,74.28081825661502,29.636292747431806
95,19.89,2813,4111,3001,3793,6586.0,74.2819065325526,29.636292747431806
96,43.151,3326,3252,2817,3508,6586.0,74.28734791224042,29.636292747431803
97,51.577,3401,3178,2742,3576,6586.0,74.288436188178,29.636292747431813
98,54.792,3587,3096,2558,3610,6586.0,74.28952446411554,29.636292747431803
99,54.482,3653,3065,2519,3590,6586.0,74.29061274005313,29.63629274743181
100,68.252,3723,2961,2423,3694,6586.0,74.29170101599068,29.636292747431803
101,36.166,3898,2934,2228,3634,6586.0,74.29278929192826,29.6362927474318
102,34.946,3904,2765,2193,3600,6586.0,74.29387756786582,29.636292747431806
103,46.034,3893,2668,2183,3589,6586.0,74.2949658438034,29.636292747431803
104,57.365,3888,2600,2178,3584,6586.0,74.29605411974096,29.636292747431806
105,89.672,3874,2501,2164,3570,6586.0,74.29714239567853,29.636292747431806
106,95.637,3972,2625,2202,3608,6586.0,74.2982306716161,29.636292747431806
107,84.617,3928,2704,2132,3538,6586.0,74.29931894755366,29.636292747431806
108,106.813,4020,2734,2198,3604,6586.0,74.30040722349123,29.6362927474318
109,86.213,4026,2578,2204,3610,6586.0,74.3014954994288,29.63629274743181
110,87.167,4136,2452,2312,3719,6586.0,74.30258377536637,29.636292747431806
111,96.746,4188,2362,2275,3771,6586.0,74.30367205130393,29.636292747431806
112,81.113,4264,2269,2182,3847,6586.0,74.3047603272415,29.636292747431803
113,99.473,4354,2249,2161,3937,6586.0,74.30584860317907,29.636292747431806
114,87.499,4350,2099,2012,3900,6586.0,74.30693687911665,29.636292747431803
115,36.122,4451,1998,1911,3922,6586.0,74.3080251550542,29.636292747431806
116,69.826,5000,510,1816,4990,6586.0,74.3112899828669,29.636292747431806
117,44.016,5000,498,1731,4920,6586.0,74.31237825880447,29.636292747431806
118,64.97,5000,436,1666,4855,6586.0,74.31346653474203,29.6362927474318
119,100.959,5000,298,1502,4691,6586.0,74.31455481067961,29.63629274743181
120,109.141,3113,4803,3235,4485,6586.0,74.27498578242567,29.635439633190405
121,90.315,3165,4585,3287,4267,6586.0,74.27607405263296,29.635439633190412
122,119.541,3082,4380,3270,4062,6586.0,74.27716232284024,29.635439633190412
123,98.675,2943,4241,3130,3923,6586.0,74.27825059304753,29.63543963319041
124,84.084,2955,4253,3142,3935,6586.0,74.27933886325482,29.635439633190405
125,96.746,2967,4265,3154,3947,6586.0,74.28042713346208,29.635439633190405
126,24.214,2813,4111,3001,3793,6586.0,74.28151540366939,29.635439633190405
127,0.0,2884,3540,2961,3222,6586.0,74.28369194408398,29.63543963319041
128,14.568,2884,3540,2961,3222,6586.0,74.28478021429125,29.635439633190405
129,39.936,3551,3358,2719,3392,6586.0,74.28913329512038,29.635439633190405
130,42.885,3618,3291,2786,3459,6586.0,74.29022156532768,29.635439633190405
131,67.21,3746,3093,2378,3527,6586.0,74.29130983553499,29.635439633190405
132,63.573,3819,2941,2206,3555,6586.0,74.29239810574227,29.63543963319041
133,71.312,3829,2854,2133,3539,6586.0,74.29348637594957,29.635439633190412
134,106.347,3816,2795,2106,3512,6586.0,74.29457464615685,29.635439633190405
135,78.873,3816,2672,2106,3512,6586.0,74.29566291636412,29.635439633190416
136,88.231,3788,2660,2078,3485,6586.0,74.2967511865714,29.635439633190405
137,98.852,3733,2642,2023,3429,6586.0,74.29783945677869,29.635439633190416
138,91.89,3858,2739,2088,3495,6586.0,74.29892772698598,29.63543963319041
139,90.138,3810,2647,1988,3394,6586.0,74.30001599719327,29.635439633190412
140,100.892,3906,2559,2084,3491,6586.0,74.30110426740056,29.635439633190405
141,120.894,3968,2382,2146,3552,6586.0,74.30219253760784,29.635439633190405
142,82.754,4067,2331,2190,3649,6586.0,74.30328080781514,29.635439633190416
143,69.738,4115,2196,2109,3698,6586.0,74.3043690780224,29.63543963319041
144,69.605,4204,2183,2096,3787,6586.0,74.30545734822971,29.635439633190412
145,91.114,4329,2120,2033,3879,6586.0,74.30654561843697,29.635439633190405
146,92.732,4424,2025,1938,3929,6586.0,74.30763388864428,29.635439633190405
147,10.023,5000,586,1818,5000,6586.0,74.31089869926613,29.635439633190405
148,77.898,5000,613,1844,5000,6586.0,74.31198696947342,29.635439633190405
149,112.29,3068,4683,3189,4365,6586.0,74.27459470496183,29.63458652168349
150,73.507,3165,4585,3287,4267,6586.0,74.27568296943909,29.634586521683495
151,76.168,3136,4501,3258,4183,6586.0,74.27677123391632,29.634586521683495
152,65.769,3009,4307,3197,3989,6586.0,74.2778594983936,29.6345865216835
153,67.166,2869,4167,3057,3849,6586.0,74.27894776287087,29.634586521683502
154,24.325,2631,3929,2819,3611,6586.0,74.28112429182536,29.634586521683495
155,8.293,2676,3748,2864,3430,6586.0,74.28221255630262,29.634586521683495
156,7.961,2884,3540,2961,3222,6586.0,74.28330082077987,29.634586521683495
157,13.327,2994,3650,2851,3112,6586.0,74.28438908525712,29.634586521683495
158,23.482,2994,3650,2851,3112,6586.0,74.28547734973438,29.634586521683495
159,54.171,3210,3663,2920,3191,6586.0,74.28656561421165,29.634586521683495
160,24.436,3308,3565,2822,3149,6586.0,74.2876538786889,29.63458652168349
161,8.116,3535,3358,2649,3323,6586.0,74.28874214316616,29.634586521683502
162,50.69,3571,3269,2526,3319,6586.0,74.28983040764342,29.6345865216835
163,50.757,3633,3200,2332,3381,6586.0,74.29091867212065,29.634586521683495
164,92.511,3725,3108,2207,3473,6586.0,74.29200693659793,29.6345865216835
165,69.982,3719,3037,2110,3459,6586.0,74.2930952010752,29.6345865216835
166,102.822,3710,2955,1999,3406,6586.0,74.29418346555244,29.6345865216835
167,100.87,3680,2877,1970,3376,6586.0,74.29527173002971,29.63458652168349
168,104.352,3684,2796,1974,3381,6586.0,74.29635999450696,29.634586521683495
169,93.531,3658,2717,1948,3354,6586.0,74.29744825898419,29.6345865216835
170,93.885,3729,2843,1973,3379,6586.0,74.29853652346145,29.6345865216835
171,112.711,3766,2742,1961,3367,6586.0,74.29962478793871,29.634586521683495
172,102.422,3810,2647,1988,3394,6586.0,74.30071305241597,29.6345865216835
173,108.809,3877,2480,2055,3462,6586.0,74.3018013168932,29.634586521683495
174,115.594,3956,2335,2134,3540,6586.0,74.30288958137048,29.634586521683495
175,100.405,4107,2188,2101,3690,6586.0,74.30397784584773,29.634586521683495
176,77.698,4034,2115,2027,3617,6586.0,74.305066110325,29.634586521683495
177,94.174,4163,2005,1917,3710,6586.0,74.30615437480225,29.634586521683495
178,93.176,4265,1910,1823,3777,6586.0,74.3072426392795,29.6345865216835
179,83.242,4339,1836,1749,3753,6586.0,74.30833090375677,29.63458652168349
180,0.288,4601,1634,1547,3872,6586.0,74.31050743271128,29.634586521683495
181,17.185,4697,1588,1500,3968,6586.0,74.31159569718855,29.634586521683495
182,48.561,4950,1328,1241,3992,6586.0,74.31377222614304,29.634586521683495
183,8.648,4950,1328,1241,3992,6586.0,74.31486049062029,29.6345865216835
184,82.488,3068,4683,3189,4365,6586.0,74.27420364453498,29.633733412910942
185,47.807,2976,4582,3098,4264,6586.0,74.27529190328248,29.633733412910946
186,77.255,3097,4462,3218,4144,6586.0,74.27638016202995,29.633733412910942
187,35.301,2733,4030,2920,3712,6586.0,74.27964493827236,29.63373341291094
188,72.709,2620,3918,2808,3600,6586.0,74.28073319701984,29.63373341291094
189,17.008,2563,3861,2751,3543,6586.0,74.28182145576731,29.633733412910942
190,0.0,2994,3650,2851,3112,6586.0,74.28399797326226,29.633733412910942
191,0.976,3063,3719,2782,3044,6586.0,74.28508623200973,29.63373341291094
192,4.679,3150,3758,2695,2956,6586.0,74.28617449075722,29.63373341291094
193,0.0,3308,3565,2822,3149,6586.0,74.28726274950468,29.63373341291094
194,1.508,3535,3335,2592,3284,6586.0,74.28835100825216,29.633733412910942
195,62.797,3512,3321,2467,3261,6586.0,74.28943926699964,29.633733412910942
196,70.07,3467,3366,2422,3216,6586.0,74.29052752574712,29.633733412910942
197,42.707,3547,3253,2226,3296,6586.0,74.2916157844946,29.633733412910946
198,60.292,3608,3141,2099,3357,6586.0,74.29270404324207,29.633733412910942
199,86.546,3622,3124,1995,3360,6586.0,74.29379230198954,29.633733412910942
200,115.616,3621,2998,1911,3317,6586.0,74.294880560737,29.633733412910942
201,115.283,3606,2891,1896,3302,6586.0,74.29596881948449,29.63373341291094
202,112.334,3602,2782,1892,3298,6586.0,74.29705707823194,29.633733412910942
203,100.737,3643,2800,1933,3339,6586.0,74.29814533697942,29.633733412910946
204,96.879,3614,2931,1857,3264,6586.0,74.2992335957269,29.633733412910935
205,113.842,3685,2573,1863,3270,6586.0,74.30032185447438,29.63373341291094
206,97.611,3775,2434,1953,3359,6586.0,74.30141011322185,29.63373341291094
207,84.772,3865,2344,2043,3450,6586.0,74.30249837196932,29.633733412910942
208,92.599,3840,2334,2017,3423,6586.0,74.3035866307168,29.633733412910946
209,78.319,3945,2096,2009,3528,6586.0,74.30467488946428,29.63373341291094
210,75.902,4072,1970,1883,3589,6586.0,74.30576314821178,29.633733412910942
211,71.401,4159,1906,1818,3647,6586.0,74.30685140695923,29.633733412910935
212,83.064,4276,1792,1705,3663,6586.0,74.3079396657067,29.63373341291094
213,39.692,4347,1711,1624,3619,6586.0,74.3090279244542,29.63373341291094
214,5.721,4601,1634,1547,3872,6586.0,74.31011618320166,29.633733412910942
215,6.918,4684,1551,1464,3885,6586.0,74.31120444194914,29.633733412910942
216,35.412,4725,1510,1423,3844,6586.0,74.31229270069662,29.633733412910942
217,49.581,4950,1328,1241,3992,6586.0,74.31338095944407,29.63373341291094
218,23.837,4930,1222,1135,3886,6586.0,74.31446921819156,29.633733412910942
219,9.291,2836,4722,2958,4382,6586.0,74.27381260114448,29.63288030687265
220,71.423,2948,4610,3070,4292,6586.0,74.27490085416241,29.632880306872647
