,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,4.871,2227,876,512,177,5000,6646.0,72.47876510848906,23.254891590127322
1,0.0,2227,876,512,177,5000,6646.0,72.47981655396266,23.25489159012733
2,10.706,2080,729,414,472,5000,6646.0,72.48086799943624,23.254891590127325
3,20.648,2009,658,377,517,5000,6646.0,72.48191944490986,23.25489159012733
4,17.8,1692,560,392,618,5000,6646.0,72.48717667227781,23.254891590127325
5,48.109,1692,560,392,618,5000,6646.0,72.48822811775142,23.25489159012733
6,53.423,1782,1363,1199,803,5000,6646.0,72.49453679059296,23.25489159012733
7,84.042,1782,1363,1199,803,5000,6646.0,72.49558823606655,23.25489159012733
8,0.531,2293,2012,1869,401,5000,6646.0,72.50294835438172,23.25489159012733
9,51.895,2319,2038,1895,432,5000,6646.0,72.50399979985532,23.25489159012733
10,55.814,2271,1990,1847,385,5000,6646.0,72.50505124532891,23.25489159012733
11,64.692,2269,1988,1845,383,5000,6646.0,72.5061026908025,23.25489159012733
12,85.813,2535,2254,2111,649,5000,6646.0,72.50715413627609,23.25489159012733
13,19.084,2632,2351,2208,745,5000,6646.0,72.50820558174969,23.25489159012733
14,3.321,2632,2351,2208,745,5000,6646.0,72.50925702722328,23.254891590127322
15,24.191,2404,1054,689,0,5000,6646.0,72.47743224139893,23.254056238342805
16,19.682,2338,987,623,66,5000,6646.0,72.4784836827899,23.254056238342795
17,0.0,2227,876,512,177,5000,6646.0,72.47953512418088,23.254056238342802
18,24.766,2038,687,322,366,5000,6646.0,72.48058656557184,23.2540562383428
19,77.395,2014,663,333,471,5000,6646.0,72.48163800696283,23.2540562383428
20,69.717,1905,555,275,571,5000,6646.0,72.48268944835378,23.2540562383428
21,19.483,1791,759,722,907,5000,6646.0,72.48374088974475,23.254056238342802
22,5.114,1692,560,392,618,5000,6646.0,72.48689521391765,23.254056238342802
23,23.114,1692,560,392,618,5000,6646.0,72.4879466553086,23.254056238342802
24,2.435,1477,775,607,403,5000,6646.0,72.48899809669959,23.254056238342802
25,6.288,1430,822,654,356,5000,6646.0,72.49004953809053,23.254056238342805
26,11.468,1446,1203,1035,634,5000,6646.0,72.49110097948152,23.254056238342802
27,70.824,1401,1159,991,590,5000,6646.0,72.49215242087249,23.2540562383428
28,23.955,1793,1374,1210,815,5000,6646.0,72.49425530365441,23.254056238342805
29,103.547,1761,1342,1178,782,5000,6646.0,72.49530674504538,23.254056238342805
