,POP_2015,active_living,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,135.248,1168,0,1527,392,307,788,6672.0,73.05114882403173,24.044363833886077
1,47.057,1155,19,1513,379,294,774,6672.0,73.05085356336605,24.043526563731707
2,42.117,1074,93,1433,299,213,694,6672.0,73.05190894464339,24.043526563731703
3,84.049,1074,93,1433,299,213,694,6672.0,73.0505583163256,24.04268929565185
4,91.883,1020,147,1379,245,159,640,6672.0,73.05161369333744,24.042689295651844
5,97.46,946,376,1305,0,85,566,6672.0,73.05026308290999,24.041852029646428
6,118.598,860,290,1219,85,0,480,6672.0,73.05131845565653,24.041852029646428
7,16.358,867,333,1225,370,508,696,6672.0,73.04574638919304,24.04101476571534
8,27.485,848,310,1207,341,479,671,6672.0,73.04680175767444,24.04101476571534
9,3.505,757,215,1116,240,378,574,6672.0,73.04785712615588,24.04101476571534
10,31.628,716,313,1075,142,280,522,6672.0,73.04891249463732,24.041014765715335
11,29.318,722,377,1081,0,138,516,6672.0,73.04996786311874,24.041014765715335
12,118.2,860,290,1219,85,0,480,6672.0,73.05102323160015,24.04101476571534
13,39.648,783,249,1142,465,604,668,6672.0,73.04545120008534,24.0401775038585
14,94.831,788,254,1147,448,586,618,6672.0,73.04650656430185,24.040177503858498
15,95.415,748,238,1107,217,356,559,6672.0,73.04756192851838,24.0401775038585
16,92.361,671,317,1030,147,287,477,6672.0,73.04861729273489,24.0401775038585
17,88.245,705,360,1064,0,155,499,6672.0,73.04967265695142,24.0401775038585
18,9.427,728,195,1087,520,658,627,6672.0,73.04515602460035,24.039340244075824
19,88.855,693,159,1052,491,642,580,6672.0,73.04621138455214,24.03934024407582
20,110.844,645,104,1004,351,515,462,6672.0,73.04726674450396,24.039340244075824
21,99.345,611,266,970,198,357,417,6672.0,73.04832210445575,24.039340244075824
22,98.203,572,212,931,136,308,351,6672.0,73.04937746440757,24.039340244075824
23,76.109,587,0,946,131,290,190,6672.0,73.05043282435938,24.039340244075824
24,102.319,587,0,946,131,290,190,6672.0,73.0514881843112,24.03934024407582
25,24.644,720,211,1079,569,764,618,6672.0,73.04486086273761,24.038502986367213
26,96.158,652,120,1011,500,672,550,6672.0,73.0459162184249,24.03850298636721
27,110.02,575,48,934,407,596,474,6672.0,73.0469715741122,24.038502986367217
28,106.01,476,35,835,253,514,327,6672.0,73.0480269297995,24.038502986367217
29,118.146,448,130,807,182,429,236,6672.0,73.04908228548679,24.038502986367213
30,69.974,569,75,928,121,366,179,6672.0,73.05013764117409,24.038502986367213
31,104.391,587,0,946,131,290,190,6672.0,73.05119299686137,24.038502986367213
32,35.771,638,180,997,498,758,548,6672.0,73.04562106591969,24.037665730732556
33,114.004,500,72,859,390,661,440,6672.0,73.04667641734268,24.037665730732567
34,118.173,381,105,740,369,640,418,6672.0,73.04773176876566,24.037665730732563
35,109.303,353,129,712,170,557,148,6672.0,73.04878712018862,24.03766573073256
36,84.922,471,145,830,57,439,85,6672.0,73.04984247161161,24.037665730732556
37,71.328,397,158,756,58,480,0,6672.0,73.0508978230346,24.037665730732563
38,14.181,479,176,838,467,738,517,6672.0,73.04638127419493,24.03682847717181
39,136.55,403,159,762,391,662,440,6672.0,73.0474366213538,24.03682847717181
40,119.527,286,110,645,288,607,323,6672.0,73.04849196851264,24.03682847717181
41,104.498,382,144,741,73,495,14,6672.0,73.04954731567153,24.036828477171813
42,22.17,368,129,727,87,510,29,6672.0,73.05060266283037,24.036828477171813
43,41.533,469,306,168,496,918,866,6672.0,73.04397545887868,24.035991225684857
44,59.485,469,306,168,496,918,866,6672.0,73.04503080177359,24.035991225684857
45,11.499,266,91,625,371,698,313,6672.0,73.04714148756348,24.03599122568486
46,24.166,203,27,561,307,679,249,6672.0,73.04819683045841,24.035991225684857
47,95.176,253,14,611,217,639,158,6672.0,73.04925217335337,24.035991225684857
48,36.631,396,103,755,259,681,200,6672.0,73.0503075162483,24.035991225684857
49,44.985,495,341,131,495,917,893,6672.0,73.04368035150064,24.03515397627161
50,131.451,466,308,134,480,902,863,6672.0,73.04473569013184,24.0351539762716
51,92.414,293,130,79,372,795,690,6672.0,73.04579102876306,24.03515397627161
52,16.518,80,95,439,375,780,317,6672.0,73.04790170602548,24.03515397627161
53,2.974,80,95,439,375,780,317,6672.0,73.04895704465669,24.03515397627161
54,20.581,347,0,706,353,776,295,6672.0,73.0500123832879,24.0351539762716
55,44.587,405,251,41,405,827,803,6672.0,73.04444059211038,24.034316728931966
56,72.285,350,192,18,363,785,747,6672.0,73.04549592647804,24.034316728931962
57,87.899,162,19,210,285,707,559,6672.0,73.04655126084575,24.034316728931962
58,132.168,36,36,322,330,814,433,6672.0,73.04760659521342,24.034316728931962
59,101.523,537,464,644,283,862,381,6672.0,73.0486619295811,24.034316728931962
60,10.144,537,464,644,283,862,381,6672.0,73.04971726394879,24.034316728931966
61,65.911,674,529,315,332,528,1071,6672.0,73.04203484750005,24.03347948366585
62,59.883,579,435,220,239,594,977,6672.0,73.04309017760438,24.03347948366585
63,104.045,472,328,113,178,555,869,6672.0,73.04414550770873,24.033479483665843
64,60.096,378,234,19,157,579,776,6672.0,73.0452008378131,24.03347948366585
