,POP_2015,active_living,community_space,health_wellbeing,ID_HDC_G0,lng,lat
0,12.75,840,370,121,6749.0,73.33393223399159,22.96097006565285
1,90.079,840,370,121,6749.0,73.33498225414085,22.960970065652855
2,91.773,495,153,0,6749.0,73.33918233473786,22.96097006565285
3,2.833,840,370,121,6749.0,73.33365177286119,22.96013540893356
4,165.869,840,370,121,6749.0,73.33470178899468,22.960135408933557
5,131.562,470,0,0,6749.0,73.33785183739526,22.960135408933557
6,87.061,367,102,102,6749.0,73.33890185352875,22.960135408933557
7,127.712,82,388,388,6749.0,73.34100188579582,22.960135408933557
8,106.617,36,433,433,6749.0,73.3420519019293,22.960135408933557
9,78.315,962,492,0,6749.0,73.33337132493028,22.959300754173384
10,135.473,962,492,0,6749.0,73.33442133704825,22.959300754173388
11,133.533,470,0,0,6749.0,73.33757137340217,22.959300754173384
12,104.646,367,102,102,6749.0,73.33862138552013,22.959300754173388
13,142.926,33,496,442,6749.0,73.34177142187403,22.959300754173384
14,92.112,0,505,475,6749.0,73.342821433992,22.959300754173384
15,138.738,565,300,0,6749.0,73.33834093071154,22.958466101372228
16,128.02,565,300,0,6749.0,73.33939093881415,22.958466101372228
17,175.139,157,565,318,6749.0,73.34149095501937,22.958466101372224
18,116.472,565,300,0,6749.0,73.3380604891026,22.957631450530013
19,91.311,475,402,0,6749.0,73.33911049319002,22.95763145053001
20,148.438,475,402,0,6749.0,73.34016049727748,22.957631450530013
21,137.167,319,558,156,6749.0,73.34121050136488,22.95763145053001
22,131.008,248,629,227,6749.0,73.34226050545233,22.957631450530013
23,157.954,1625,1274,415,6749.0,73.3304300601857,22.956796801646654
24,131.808,1625,1274,415,6749.0,73.33148006025813,22.956796801646654
25,138.892,1209,859,0,6749.0,73.33463006047552,22.95679680164665
26,77.915,1625,1274,415,6749.0,73.33014967307838,22.955962154722055
27,136.767,1625,1274,415,6749.0,73.33119966913607,22.95596215472206
28,148.716,1363,1012,153,6749.0,73.33329966125137,22.955962154722055
29,153.427,1227,876,17,6749.0,73.33434965730903,22.955962154722055
30,142.464,1244,894,34,6749.0,73.33539965336671,22.95596215472205
31,124.91,837,572,71,6749.0,73.33749964548203,22.95596215472206
32,123.586,837,572,71,6749.0,73.33854964153969,22.95596215472205
33,64.888,909,644,0,6749.0,73.33721924346959,22.95512750975613
34,65.35,837,572,71,6749.0,73.33826923551264,22.95512750975613
35,80.656,1554,1290,0,6749.0,73.33553710853937,22.95011968108786
36,82.072,1554,1290,0,6749.0,73.3352567989046,22.949285049830216
