,POP_2015,active_living,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,35.021,1343,821,3054,6913.0,74.87225901120277,24.474158986351554
1,24.259,1343,821,3054,6913.0,74.8733166111436,24.474158986351554
2,59.787,1343,821,3054,6913.0,74.87194981482875,24.47332063997515
3,47.839,1343,821,3054,6913.0,74.87300741040205,24.473320639975146
4,26.854,0,711,2330,6913.0,74.85846167102807,24.468290606260673
5,33.913,0,711,2330,6913.0,74.85951924040047,24.468290606260677
6,43.567,515,0,2226,6913.0,74.86692222600725,24.468290606260673
7,104.927,518,0,2229,6913.0,74.86797979537964,24.468290606260673
8,23.45,7,716,2330,6913.0,74.85815262185697,24.467452274731396
9,30.234,0,711,2330,6913.0,74.85921018686325,24.467452274731393
10,115.631,0,506,2142,6913.0,74.86344044688836,24.467452274731393
11,63.379,7,505,2141,6913.0,74.86449801189464,24.467452274731393
12,60.796,515,0,2226,6913.0,74.86661314190718,24.467452274731393
13,66.806,522,0,2232,6913.0,74.86767070691347,24.467452274731396
14,68.472,0,506,2142,6913.0,74.86313139005158,24.466613945322763
15,109.081,7,499,2135,6913.0,74.86418895069193,24.46661394532277
16,91.007,224,290,1934,6913.0,74.8652465113323,24.466613945322766
17,84.622,224,290,1934,6913.0,74.86630407197265,24.466613945322763
18,74.974,2485,444,4195,6913.0,74.88005236029731,24.466613945322766
19,58.731,2485,444,4195,6913.0,74.88110992093767,24.46661394532277
20,61.876,278,246,1866,6913.0,74.86176479110458,24.465775618034694
21,71.665,278,246,1866,6913.0,74.86282234737922,24.4657756180347
22,68.073,222,284,1928,6913.0,74.8649374599285,24.46577561803469
23,24.248,226,284,1935,6913.0,74.86599501620314,24.4657756180347
24,52.158,2485,444,4195,6913.0,74.87974324777346,24.465775618034698
25,73.801,2485,444,4195,6913.0,74.88080080404809,24.4657756180347
26,41.126,286,251,1858,6913.0,74.86145576696171,24.4649372928671
27,51.337,285,244,1858,6913.0,74.86251331887084,24.4649372928671
28,112.297,502,32,1639,6913.0,74.86326185206975,24.464098969819876
29,61.219,502,18,1654,6913.0,74.86431939961358,24.464098969819876
30,108.87,1320,0,3031,6913.0,74.87383732750779,24.46409896981988
31,64.317,511,4,1654,6913.0,74.86401039070148,24.463260648892938
32,72.486,1320,0,3031,6913.0,74.87352827930964,24.463260648892934
33,52.088,2353,0,3974,6913.0,74.88304616791781,24.463260648892934
34,38.027,2353,0,3974,6913.0,74.88273709460016,24.46242233008618
35,72.627,1758,0,3380,6913.0,74.87714036320342,24.461584013399527
36,45.069,1049,565,1093,6913.0,74.86096838877219,24.4607456988329
37,93.824,1758,0,3380,6913.0,74.87683134004016,24.4607456988329
38,74.176,2142,0,0,6913.0,74.85008418803578,24.459907386386163
39,19.319,2142,0,0,6913.0,74.851141713756,24.45990738638617
40,84.857,1049,565,1093,6913.0,74.85960191951767,24.459907386386163
41,52.51,1049,565,1093,6913.0,74.8606594452379,24.459907386386167
42,98.072,1306,0,2459,6913.0,74.87017717671979,24.459907386386167
43,60.163,2142,0,0,6913.0,74.8497753023034,24.459069076059265
44,30.023,2142,0,0,6913.0,74.85083282365949,24.45906907605926
45,13.309,2324,181,181,6913.0,74.85189034501558,24.459069076059265
46,73.73,2324,181,181,6913.0,74.85294786637165,24.45906907605927
47,81.876,1306,0,2459,6913.0,74.86986820806918,24.459069076059265
48,83.636,1306,0,2459,6913.0,74.87092572942527,24.45906907605927
49,41.454,2324,181,181,6913.0,74.85158146471362,24.458230767852093
50,24.765,2324,181,181,6913.0,74.8526389817058,24.458230767852093
51,63.097,1455,687,687,6913.0,74.8568690496745,24.458230767852097
52,29.858,1455,687,687,6913.0,74.85792656666666,24.45823076785209
53,86.969,1325,128,2387,6913.0,74.86955925358062,24.458230767852093
54,21.408,1775,180,2927,6913.0,74.87484683854147,24.458230767852097
55,43.379,1775,180,2927,6913.0,74.87453787639593,24.457392461764567
56,98.096,1853,0,2915,6913.0,74.87317142014759,24.456554157796596
57,61.313,1853,0,2915,6913.0,74.8742289284125,24.456554157796592
58,107.509,1704,507,2008,6913.0,74.86757497118104,24.455715855948082
59,105.443,1704,507,2008,6913.0,74.86863247508268,24.455715855948082
60,95.091,1789,13,2851,6913.0,74.87286249068914,24.45571585594808
61,107.204,1810,33,2872,6913.0,74.87391999459078,24.455715855948082
62,72.158,1704,507,2008,6913.0,74.8672660776992,24.454877556218925
63,50.961,1704,507,2008,6913.0,74.86832357723773,24.454877556218925
64,104.692,1863,80,2925,6913.0,74.87255357539172,24.454877556218925
