,POP_2015,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,153.036,674,478,1639,7299.0,75.7825226143196,21.060381038141948
1,59.98,674,478,1639,7299.0,75.78356394778962,21.060381038141948
2,46.798,674,478,1639,7299.0,75.78330205549787,21.05955063015998
3,63.116,757,457,1723,7299.0,75.77861301879638,21.05788981948991
4,152.203,790,425,1724,7299.0,75.77965434147102,21.057889819489912
5,159.701,560,332,1525,7299.0,75.78069566414568,21.057889819489912
6,110.208,560,332,1525,7299.0,75.78173698682033,21.057889819489912
7,146.421,331,144,1297,7299.0,75.78277830949499,21.05788981948991
8,174.206,790,425,1724,7299.0,75.77835117947691,21.057059416801643
9,210.174,790,425,1724,7299.0,75.77939249855348,21.057059416801636
10,144.363,560,332,1525,7299.0,75.78043381763004,21.057059416801643
11,134.219,560,332,1525,7299.0,75.78147513670659,21.057059416801643
12,95.262,335,139,1301,7299.0,75.78251645578314,21.057059416801643
13,182.144,383,206,1234,7299.0,75.78355777485969,21.057059416801643
14,105.013,484,315,1104,7299.0,75.78459909393625,21.057059416801643
15,56.5,522,353,1067,7299.0,75.7856404130128,21.057059416801643
16,96.585,633,464,964,7299.0,75.78668173208935,21.05705941680164
17,161.563,2010,693,1304,7299.0,75.79501228470178,21.057059416801643
18,64.439,1041,486,1785,7299.0,75.77704803753736,21.056229015877772
19,85.412,951,295,1594,7299.0,75.77913066849462,21.056229015877776
20,247.612,884,228,1528,7299.0,75.78017198397325,21.056229015877776
21,199.491,774,118,1417,7299.0,75.78121329945186,21.056229015877776
22,212.428,475,0,1242,7299.0,75.7822546149305,21.056229015877776
23,109.669,475,0,1242,7299.0,75.78329593040914,21.056229015877776
24,153.477,277,108,1181,7299.0,75.78433724588777,21.056229015877776
25,75.22,400,231,1024,7299.0,75.7853785613664,21.056229015877776
26,60.862,536,367,849,7299.0,75.78641987684502,21.05622901587778
27,161.612,1058,718,815,7299.0,75.79058513875952,21.056229015877772
28,212.526,1157,733,914,7299.0,75.79162645423816,21.056229015877772
29,173.814,2002,685,1296,7299.0,75.79370908519542,21.056229015877776
30,178.861,1960,643,1254,7299.0,75.79475040067403,21.05622901587778
31,31.215,2536,552,1823,7299.0,75.79683303163131,21.056229015877776
32,60.617,2520,536,1807,7299.0,75.79787434710994,21.056229015877776
33,161.808,2391,350,1678,7299.0,75.79995697806717,21.05622901587778
34,56.5,2370,330,1657,7299.0,75.8009982935458,21.056229015877776
35,86.098,1041,486,1785,7299.0,75.77678622753233,21.055398616718225
36,223.454,937,281,1580,7299.0,75.77886885129408,21.055398616718225
37,229.53,816,160,1460,7299.0,75.77991016317496,21.055398616718225
38,194.689,748,58,1357,7299.0,75.78095147505584,21.055398616718225
39,135.248,689,0,1299,7299.0,75.78199278693673,21.055398616718225
40,126.183,174,46,1164,7299.0,75.7830340988176,21.05539861671822
41,168.864,223,54,1127,7299.0,75.78407541069848,21.055398616718225
42,122.262,342,173,1010,7299.0,75.78511672257937,21.055398616718225
43,58.069,536,367,849,7299.0,75.78615803446024,21.05539861671822
44,41.359,620,451,861,7299.0,75.78719934634111,21.055398616718225
45,23.962,706,537,861,7299.0,75.788240658222,21.05539861671822
46,51.11,915,746,806,7299.0,75.78928197010288,21.055398616718225
47,56.157,1012,740,752,7299.0,75.79032328198376,21.055398616718225
48,87.274,1130,646,846,7299.0,75.79136459386464,21.055398616718225
49,13.28,1838,521,1132,7299.0,75.79240590574551,21.055398616718225
50,99.182,1919,602,1213,7299.0,75.79344721762641,21.055398616718225
51,264.812,1878,561,1172,7299.0,75.79448852950728,21.05539861671822
52,147.744,2038,721,1332,7299.0,75.79552984138816,21.055398616718225
53,51.208,2536,552,1823,7299.0,75.79657115326904,21.055398616718225
54,198.756,2468,483,1755,7299.0,75.79761246514991,21.055398616718225
55,217.524,2392,407,1679,7299.0,75.79865377703078,21.055398616718225
56,178.126,2370,330,1657,7299.0,75.79969508891166,21.05539861671822
57,207.234,2323,120,1610,7299.0,75.80073640079256,21.055398616718225
58,21.904,2412,31,1699,7299.0,75.80177771267343,21.055398616718225
59,145.98,1111,569,1678,7299.0,75.77652443038492,21.05456821932291
60,173.716,1111,569,1678,7299.0,75.77756573866824,21.05456821932291
61,229.53,975,336,1543,7299.0,75.77860704695155,21.054568219322906
62,226.541,961,319,1528,7299.0,75.77964835523485,21.054568219322913
63,58.314,255,169,1059,7299.0,75.78277228008477,21.054568219322906
64,189.642,61,143,1102,7299.0,75.7838135883681,21.05456821932291
65,64.537,343,174,970,7299.0,75.7848548966514,21.054568219322913
66,51.502,636,467,749,7299.0,75.78589620493469,21.05456821932291
67,29.01,706,537,861,7299.0,75.78693751321799,21.05456821932291
68,20.777,803,634,833,7299.0,75.7879788215013,21.054568219322906
69,47.68,803,634,833,7299.0,75.78902012978463,21.05456821932291
70,48.072,1000,728,722,7299.0,75.79006143806792,21.054568219322906
71,61.793,1000,728,722,7299.0,75.79110274635123,21.054568219322906
72,52.139,1309,466,786,7299.0,75.79214405463453,21.054568219322913
73,68.702,1797,480,1091,7299.0,75.79318536291785,21.05456821932291
74,219.043,1813,496,1107,7299.0,75.79422667120114,21.054568219322913
75,156.319,1979,663,1273,7299.0,75.79526797948445,21.05456821932291
76,52.972,1979,663,1273,7299.0,75.79630928776778,21.05456821932291
77,110.208,2059,515,1346,7299.0,75.79735059605107,21.054568219322906
78,141.521,2312,366,1599,7299.0,75.79839190433437,21.05456821932291
79,205.273,2244,260,1531,7299.0,75.79943321261769,21.05456821932291
80,145.98,2209,235,1496,7299.0,75.80047452090099,21.05456821932291
81,136.13,2436,8,1723,7299.0,75.8015158291843,21.05456821932291
82,36.752,1111,569,1678,7299.0,75.77626264609479,21.05373782369175
83,122.703,1111,569,1678,7299.0,75.7773039507807,21.05373782369175
84,173.667,902,360,1469,7299.0,75.77834525546662,21.05373782369176
85,208.998,859,317,1427,7299.0,75.77938656015252,21.05373782369175
86,202.039,782,240,1350,7299.0,75.78042786483843,21.05373782369175
87,68.408,0,174,1040,7299.0,75.78251047421026,21.05373782369176
88,98.3,76,158,1117,7299.0,75.78355177889618,21.05373782369175
89,72.377,749,580,636,7299.0,75.78563438826801,21.053737823691755
90,92.224,729,633,583,7299.0,75.7866756929539,21.05373782369175
91,60.029,1006,607,600,7299.0,75.78875830232573,21.05373782369175
92,15.485,1006,607,600,7299.0,75.78979960701164,21.05373782369175
93,34.204,1111,502,495,7299.0,75.79084091169754,21.05373782369176
94,112.462,1309,466,786,7299.0,75.79188221638346,21.05373782369175
95,78.748,1716,399,1010,7299.0,75.79292352106938,21.05373782369176
96,206.205,1838,521,1132,7299.0,75.79396482575528,21.05373782369175
97,76.053,2055,738,1349,7299.0,75.79604743512712,21.053737823691755
98,41.947,1961,608,1255,7299.0,75.79708873981302,21.05373782369175
99,87.47,1926,518,1213,7299.0,75.79813004449895,21.05373782369175
100,94.086,2104,467,1370,7299.0,75.79917134918485,21.05373782369175
101,165.385,2104,467,1370,7299.0,75.80021265387074,21.05373782369176
102,62.969,2207,287,1467,7299.0,75.80125395855666,21.053737823691748
103,43.858,2335,159,1591,7299.0,75.80229526324258,21.053737823691755
104,124.958,916,374,1484,7299.0,75.77704217575027,21.052907429824664
105,150.047,758,216,1326,7299.0,75.77808347683894,21.052907429824657
106,206.548,758,216,1326,7299.0,75.77912477792763,21.052907429824664
107,203.411,632,90,1200,7299.0,75.78016607901634,21.05290742982466
108,100.407,167,266,873,7299.0,75.78224868119372,21.05290742982466
109,93.547,167,266,873,7299.0,75.78328998228241,21.052907429824664
110,29.108,729,633,583,7299.0,75.7853725844598,21.052907429824657
111,87.862,789,693,523,7299.0,75.78641388554847,21.05290742982466
112,92.763,1006,607,600,7299.0,75.78849648772587,21.05290742982466
113,74.534,1006,607,600,7299.0,75.78953778881457,21.05290742982466
114,44.838,1111,502,495,7299.0,75.79057908990325,21.052907429824657
115,81.296,1293,349,615,7299.0,75.79162039099192,21.052907429824657
116,85.314,1405,407,726,7299.0,75.79266169208064,21.05290742982466
117,124.272,1555,238,849,7299.0,75.79370299316933,21.052907429824657
118,199.295,1549,232,843,7299.0,75.79474429425801,21.05290742982466
119,68.359,1872,555,1166,7299.0,75.79682689643539,21.052907429824657
120,87.764,1858,541,1145,7299.0,75.7978681975241,21.05290742982466
121,80.561,1971,535,1216,7299.0,75.79890949861279,21.05290742982466
122,133.337,2064,438,1317,7299.0,75.79995079970149,21.052907429824657
123,73.406,2207,287,1467,7299.0,75.80099210079017,21.052907429824657
124,59.833,2274,221,1530,7299.0,75.80203340187886,21.052907429824664
125,161.906,916,374,1484,7299.0,75.77678041357652,21.05207703772155
126,71.25,758,216,1326,7299.0,75.77782171106816,21.052077037721556
127,68.016,690,148,1258,7299.0,75.77886300855981,21.052077037721553
128,179.057,600,58,1168,7299.0,75.77990430605148,21.052077037721556
129,92.077,467,69,1025,7299.0,75.78094560354312,21.052077037721556
130,47.141,367,93,925,7299.0,75.78198690103477,21.052077037721556
131,46.455,244,198,802,7299.0,75.78302819852642,21.052077037721556
132,57.873,382,343,664,7299.0,75.78406949601806,21.05207703772156
133,13.672,438,399,602,7299.0,75.7851107935097,21.052077037721556
134,126.477,554,515,485,7299.0,75.78615209100136,21.05207703772155
135,129.417,670,631,370,7299.0,75.78719338849301,21.052077037721556
136,46.161,810,506,420,7299.0,75.78823468598466,21.052077037721553
137,75.024,883,433,425,7299.0,75.7892759834763,21.052077037721553
138,44.838,1212,376,533,7299.0,75.79031728096794,21.052077037721556
139,47.68,1293,295,615,7299.0,75.79135857845961,21.052077037721556
140,166.169,1293,295,615,7299.0,75.79239987595126,21.052077037721556
141,159.946,1478,161,772,7299.0,75.7934411734429,21.052077037721553
142,97.026,1478,161,772,7299.0,75.79448247093454,21.052077037721556
143,54.981,1575,258,862,7299.0,75.79552376842624,21.052077037721556
144,98.643,1686,369,973,7299.0,75.79656506591785,21.052077037721553
145,77.964,1859,542,1146,7299.0,75.79760636340951,21.052077037721556
146,57.039,1916,580,1139,7299.0,75.79864766090115,21.052077037721553
147,55.814,1963,646,1074,7299.0,75.7996889583928,21.052077037721556
148,87.96,2174,333,1418,7299.0,75.80073025588447,21.052077037721553
149,14.848,699,157,1266,7299.0,75.77860125204869,21.051246647382353
150,94.772,625,121,1135,7299.0,75.77964254594347,21.051246647382353
151,199.295,584,26,987,7299.0,75.78068383983826,21.051246647382353
152,164.944,451,91,917,7299.0,75.78172513373303,21.051246647382353
153,60.911,331,234,824,7299.0,75.78276642762782,21.051246647382353
154,135.297,455,416,712,7299.0,75.78380772152259,21.05124664738235
