,POP_2015,active_living,education,health_wellbeing,ID_HDC_G0,lng,lat
0,167.889,1063,429,221,7414.0,76.18506515682566,20.54005817075405
1,136.152,1008,1462,348,7414.0,76.17337917759276,20.539228853017324
2,165.588,1008,1462,348,7414.0,76.17441828570976,20.53922885301733
3,173.797,1063,429,221,7414.0,76.18480936687956,20.539228853017324
4,161.329,1008,1462,348,7414.0,76.17312343875344,20.538399536993648
5,139.106,1008,1462,348,7414.0,76.1741625433818,20.53839953699365
6,155.936,604,912,188,7414.0,76.17520164801017,20.53839953699365
7,149.067,604,912,188,7414.0,76.17624075263853,20.53839953699365
8,113.517,633,0,207,7414.0,76.18247538040866,20.538399536993648
9,133.576,633,0,207,7414.0,76.18351448503704,20.53839953699365
10,129.077,841,207,0,7414.0,76.18455358966537,20.53839953699365
11,129.454,841,207,0,7414.0,76.18559269429375,20.53839953699365
12,111.663,904,1357,116,7414.0,76.17182861150384,20.537570222682938
13,138.728,774,1228,114,7414.0,76.17286771264375,20.537570222682938
14,151.849,774,1228,114,7414.0,76.17390681378367,20.537570222682938
15,147.968,604,912,188,7414.0,76.17494591492357,20.53757022268294
16,181.731,604,912,188,7414.0,76.17598501606348,20.537570222682938
17,146.697,491,729,311,7414.0,76.1770241172034,20.53757022268294
18,114.033,334,299,479,7414.0,76.18014142062313,20.53757022268294
19,98.92,334,299,479,7414.0,76.18118052176303,20.537570222682938
20,64.057,633,0,207,7414.0,76.18221962290292,20.537570222682938
21,103.213,633,0,207,7414.0,76.18325872404283,20.537570222682938
22,156.52,841,207,0,7414.0,76.18429782518274,20.53757022268294
23,129.18,841,207,0,7414.0,76.18533692632265,20.537570222682938
24,115.029,904,1357,116,7414.0,76.17157290161171,20.53674091008511
25,156.142,774,1228,114,7414.0,76.17261199926334,20.536740910085108
26,85.318,774,1228,114,7414.0,76.17365109691498,20.536740910085108
27,148.345,647,1101,0,7414.0,76.17469019456661,20.53674091008511
28,133.576,502,866,174,7414.0,76.17572929221824,20.536740910085108
29,58.15,491,729,311,7414.0,76.17676838986986,20.536740910085108
30,155.936,192,628,251,7414.0,76.17780748752149,20.53674091008511
31,148.448,196,553,326,7414.0,76.17884658517312,20.536740910085108
32,103.763,295,396,432,7414.0,76.17988568282476,20.536740910085108
33,78.209,283,350,428,7414.0,76.1809247804764,20.53674091008511
34,80.922,585,183,343,7414.0,76.18300297577966,20.53674091008511
35,134.813,585,183,343,7414.0,76.18404207343129,20.536740910085108
36,156.932,840,1440,32,7414.0,76.17131720444836,20.535911599200087
37,178.09,666,1266,0,7414.0,76.17235629861186,20.535911599200084
38,166.687,666,1266,0,7414.0,76.17339539277542,20.535911599200084
39,181.697,537,1137,62,7414.0,76.17443448693894,20.535911599200084
40,27.203,327,927,0,7414.0,76.176512675266,20.53591159920008
41,103.454,120,700,179,7414.0,76.17755176942951,20.53591159920008
42,127.05,144,605,284,7414.0,76.17859086359304,20.53591159920008
43,116.643,215,417,361,7414.0,76.17962995775656,20.535911599200087
44,97.615,215,417,361,7414.0,76.18066905192008,20.53591159920008
45,91.741,585,183,343,7414.0,76.18274724024715,20.53591159920008
46,62.718,585,183,343,7414.0,76.18378633441067,20.535911599200084
47,71.854,747,345,181,7414.0,76.18482542857419,20.53591159920008
48,132.168,877,476,281,7414.0,76.18586452273773,20.53591159920008
49,126.088,877,476,281,7414.0,76.18690361690126,20.535911599200084
50,153.978,863,1463,64,7414.0,76.17106152001338,20.535082290027773
51,138.557,703,1303,0,7414.0,76.17210061068896,20.535082290027773
52,101.255,703,1303,0,7414.0,76.17313970136458,20.535082290027773
53,167.511,539,1138,0,7414.0,76.1741787920402,20.53508229002777
54,142.678,303,903,0,7414.0,76.17625697339136,20.535082290027773
55,106.167,79,669,220,7414.0,76.17729606406698,20.535082290027777
56,78.38,0,633,145,7414.0,76.17833515474257,20.535082290027773
57,30.466,535,386,203,7414.0,76.18145242676937,20.535082290027773
58,66.771,535,386,203,7414.0,76.18249151744494,20.535082290027777
59,137.56,739,543,0,7414.0,76.18353060812055,20.535082290027773
60,112.934,739,543,0,7414.0,76.18456969879614,20.535082290027777
61,125.608,877,476,281,7414.0,76.18560878947176,20.535082290027777
62,10.957,877,476,281,7414.0,76.18664788014733,20.53508229002777
63,75.564,820,1453,0,7414.0,76.17080584830649,20.534252982568113
64,129.317,659,1292,0,7414.0,76.17184493549432,20.53425298256811
