,POP_2015,active_living,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,78.618,1537,757,178,643,734,8157.0,80.18758628497528,21.820954528067556
1,90.699,1573,916,313,811,646,8157.0,80.18863098589682,21.820954528067556
2,87.188,1573,916,313,811,646,8157.0,80.18967568681839,21.820954528067556
3,86.433,1753,1096,290,1006,541,8157.0,80.19176508866148,21.820954528067556
4,72.578,1753,1096,290,1006,541,8157.0,80.19280978958304,21.820954528067556
5,85.621,1840,1183,316,1145,567,8157.0,80.19385449050458,21.820954528067556
6,77.07,2065,1408,524,1449,775,8157.0,80.19594389234769,21.820954528067556
7,68.633,2065,1408,524,1449,775,8157.0,80.19698859326924,21.820954528067556
8,80.072,5000,5000,5000,5000,5000,8157.0,80.18207400632582,21.820122470446144
9,67.576,5000,5000,5000,5000,5000,8157.0,80.1831187034849,21.820122470446144
10,80.298,1745,614,146,500,958,8157.0,80.1852080978031,21.820122470446144
11,105.384,1775,643,191,529,988,8157.0,80.1862527949622,21.820122470446144
12,90.85,1657,701,202,588,862,8157.0,80.18729749212129,21.820122470446147
13,97.985,1529,872,269,767,603,8157.0,80.18834218928038,21.820122470446144
14,78.127,1529,872,269,767,603,8157.0,80.1893868864395,21.820122470446144
15,85.206,1505,848,245,758,579,8157.0,80.1904315835986,21.820122470446144
16,60.025,1650,993,390,903,643,8157.0,80.19147628075767,21.82012247044614
17,76.73,1658,1001,185,1036,436,8157.0,80.19252097791677,21.820122470446147
18,94.549,1812,1155,288,1173,539,8157.0,80.19356567507586,21.820122470446144
19,74.144,1656,501,0,388,1001,8157.0,80.18282993960453,21.819290414666046
20,73.182,1656,501,0,388,1001,8157.0,80.18387463300132,21.819290414666042
21,71.124,1596,442,35,329,927,8157.0,80.18491932639817,21.819290414666046
22,97.418,1640,508,76,395,853,8157.0,80.18596401979498,21.819290414666046
23,79.6,1405,578,0,465,618,8157.0,80.1870087131918,21.819290414666042
24,61.913,1428,648,70,535,625,8157.0,80.18805340658862,21.819290414666042
25,79.751,1430,773,170,668,504,8157.0,80.18909809998544,21.819290414666046
26,89.868,1505,848,245,758,579,8157.0,80.19014279338226,21.819290414666046
27,72.804,1498,841,234,876,485,8157.0,80.19118748677911,21.819290414666046
28,77.561,1633,976,99,1011,350,8157.0,80.19223218017592,21.819290414666046
29,93.417,1707,1050,166,1091,417,8157.0,80.19327687357273,21.819290414666046
30,80.6,1707,1050,166,1091,417,8157.0,80.19432156696955,21.819290414666042
31,76.315,1760,605,505,492,1112,8157.0,80.18149650001277,21.818458360727163
32,90.302,1658,503,403,390,1010,8157.0,80.18254118964751,21.818458360727163
33,71.936,1602,448,348,335,955,8157.0,80.18358587928223,21.81845836072716
34,73.578,1561,407,71,293,906,8157.0,80.18463056891697,21.818458360727163
35,64.046,1552,432,0,318,764,8157.0,80.18567525855168,21.818458360727163
36,71.332,1552,432,0,318,764,8157.0,80.18671994818644,21.818458360727163
37,84.923,1246,584,159,471,458,8157.0,80.18776463782116,21.818458360727163
38,89.981,1334,677,75,713,408,8157.0,80.1888093274559,21.81845836072716
39,86.697,1343,686,84,721,417,8157.0,80.18985401709062,21.818458360727163
40,92.228,1498,841,234,876,485,8157.0,80.19089870672535,21.81845836072716
41,85.206,1541,884,0,924,250,8157.0,80.19194339636007,21.81845836072716
42,42.169,1587,930,46,970,297,8157.0,80.19298808599481,21.818458360727163
43,67.123,1760,605,505,492,1112,8157.0,80.18120776774066,21.817626308629432
44,62.574,1658,503,403,390,1010,8157.0,80.18225245361349,21.81762630862943
45,71.804,1571,417,316,303,923,8157.0,80.1832971394863,21.81762630862943
46,67.009,1427,273,166,160,775,8157.0,80.18434182535913,21.81762630862943
47,72.238,1423,269,163,155,774,8157.0,80.18538651123194,21.817626308629432
48,86.112,1246,584,159,471,458,8157.0,80.18747588297758,21.817626308629432
49,93.209,1226,569,89,547,423,8157.0,80.18852056885038,21.81762630862943
50,80.317,1218,561,57,601,276,8157.0,80.18956525472322,21.81762630862943
51,78.486,1403,746,137,787,113,8157.0,80.19060994059605,21.817626308629432
52,76.693,1403,746,137,787,113,8157.0,80.19165462646887,21.81762630862943
53,71.275,1597,443,349,330,950,8157.0,80.18300841361311,21.81679425837275
54,87.225,1270,133,133,15,728,8157.0,80.18405309572418,21.816794258372745
55,51.04,1274,126,126,13,706,8157.0,80.18509777783528,21.81679425837275
56,57.93,1122,465,140,413,334,8157.0,80.18823182416855,21.81679425837275
57,81.261,1064,407,71,448,265,8157.0,80.18927650627964,21.81679425837275
58,83.696,1165,508,29,549,164,8157.0,80.19032118839073,21.81679425837275
59,105.648,1330,673,193,713,0,8157.0,80.19136587050183,21.81679425837275
60,42.206,1438,781,248,822,108,8157.0,80.19241055261291,21.816794258372745
61,60.931,1717,1063,173,955,389,8157.0,80.19449991683508,21.81679425837275
62,82.45,1816,1164,267,1048,490,8157.0,80.19554459894619,21.81679425837275
63,80.43,1816,1164,267,1048,490,8157.0,80.19658928105726,21.81679425837275
64,48.907,1270,133,133,15,728,8157.0,80.18376438001177,21.815962209957032
65,73.465,1261,124,124,15,719,8157.0,80.18480905836132,21.815962209957036
66,104.742,1282,0,0,130,673,8157.0,80.18585373671085,21.81596220995704
67,90.076,969,313,166,444,360,8157.0,80.18794309340996,21.815962209957036
68,95.984,969,313,166,444,360,8157.0,80.1889877717595,21.81596220995704
69,88.452,1411,793,192,833,165,8157.0,80.19212180680813,21.81596220995704
70,86.603,1532,875,342,916,202,8157.0,80.19316648515766,21.815962209957036
71,73.163,1656,1119,107,888,456,8157.0,80.19421116350723,21.815962209957036
72,87.093,1656,1119,107,888,456,8157.0,80.19525584185675,21.815962209957036
73,85.715,1763,1226,0,932,563,8157.0,80.1963005202063,21.815962209957036
74,59.648,1184,144,144,83,784,8157.0,80.1834756782215,21.815130163382218
75,47.831,1184,144,144,83,784,8157.0,80.18452035280967,21.81513016338222
76,67.519,1361,78,78,209,752,8157.0,80.18556502739786,21.815130163382218
77,102.874,827,455,308,586,502,8157.0,80.1876543765742,21.815130163382218
78,86.131,827,455,308,586,502,8157.0,80.18869905116237,21.815130163382218
79,82.563,904,532,385,663,579,8157.0,80.18974372575055,21.815130163382218
80,90.604,1147,548,261,679,428,8157.0,80.19078840033872,21.815130163382218
81,92.454,1407,796,188,837,169,8157.0,80.19183307492692,21.815130163382218
82,96.965,1314,715,94,846,262,8157.0,80.1928777495151,21.81513016338222
83,81.223,1529,992,223,765,384,8157.0,80.19392242410328,21.815130163382218
84,61.63,1561,1023,223,760,431,8157.0,80.19496709869144,21.815130163382218
85,61.026,1794,1257,58,873,622,8157.0,80.19601177327962,21.815130163382218
86,76.315,827,455,308,586,502,8157.0,80.18736567366089,21.814298118648196
87,102.27,875,502,356,633,550,8157.0,80.18841034448789,21.814298118648193
88,86.716,983,610,422,741,593,8157.0,80.18945501531489,21.814298118648196
89,98.249,1073,622,335,753,502,8157.0,80.19049968614186,21.814298118648193
90,90.887,1209,907,97,926,455,8157.0,80.19154435696888,21.814298118648196
91,72.936,1342,815,36,846,362,8157.0,80.19258902779586,21.8142981186482
92,83.337,1422,885,116,824,432,8157.0,80.19363369862285,21.8142981186482
93,67.821,1589,1052,274,657,523,8157.0,80.19467836944985,21.8142981186482
94,101.552,1694,1156,159,772,552,8157.0,80.19572304027683,21.8142981186482
95,35.789,875,453,298,392,1093,8157.0,80.18394298347165,21.81346607575489
96,72.936,577,751,0,690,847,8157.0,80.1870769846696,21.81346607575489
97,91.02,1209,907,97,926,455,8157.0,80.19125565293356,21.81346607575489
98,94.681,1306,810,0,828,357,8157.0,80.19230031999956,21.81346607575489
99,70.936,1495,958,189,755,505,8157.0,80.19334498706554,21.813466075754892
100,77.353,1516,1039,270,676,573,8157.0,80.19438965413153,21.813466075754892
101,79.298,1505,1138,328,530,618,8157.0,80.19543432119751,21.81346607575489
102,39.677,866,464,298,403,1105,8157.0,80.18365431968446,21.812634034702217
103,37.903,980,570,415,509,1211,8157.0,80.18469898298962,21.812634034702217
104,27.936,530,752,47,737,809,8157.0,80.18678830959995,21.812634034702214
105,64.367,617,693,134,816,741,8157.0,80.18783297290513,21.812634034702217
106,78.127,675,916,211,901,909,8157.0,80.18887763621028,21.812634034702214
107,78.392,802,808,306,939,781,8157.0,80.18992229951546,21.812634034702217
108,67.915,877,835,262,957,715,8157.0,80.19096696282062,21.812634034702214
109,74.918,1005,964,155,837,822,8157.0,80.19201162612579,21.812634034702217
110,83.205,1071,1046,65,771,878,8157.0,80.19305628943096,21.812634034702217
111,54.853,1409,1017,207,626,564,8157.0,80.19410095273611,21.812634034702217
112,58.081,1381,1091,280,563,638,8157.0,80.19514561604126,21.812634034702217
113,56.835,980,570,415,509,1211,8157.0,80.18336566981793,21.811801995490097
114,43.452,995,585,430,524,1226,8157.0,80.18441032936244,21.811801995490097
115,81.072,774,1016,310,1000,1008,8157.0,80.18858896754055,21.811801995490097
116,81.336,864,1105,400,1090,1098,8157.0,80.18963362708509,21.811801995490097
117,70.86,1005,980,264,1045,860,8157.0,80.19067828662959,21.811801995490097
118,79.524,1072,1047,49,886,927,8157.0,80.19172294617412,21.811801995490093
119,92.36,1122,1097,0,836,944,8157.0,80.19276760571867,21.811801995490097
120,91.095,1243,1159,236,599,707,8157.0,80.19381226526318,21.811801995490097
121,86.225,1304,1105,288,538,652,8157.0,80.19485692480771,21.811801995490097
122,62.555,1428,1233,259,543,781,8157.0,80.19590158435223,21.811801995490097
123,87.376,1593,1388,0,249,935,8157.0,80.19694624389676,21.811801995490097
124,74.692,1593,1388,0,249,935,8157.0,80.1979909034413,21.811801995490097
125,64.858,1788,1583,194,55,1094,8157.0,80.1990355629858,21.811801995490097
126,56.76,1843,1638,249,0,1149,8157.0,80.20008022253033,21.811801995490097
127,53.815,1157,748,593,687,1388,8157.0,80.18307703387167,21.810969958118438
128,68.519,834,1075,370,1060,1068,8157.0,80.18830031279202,21.81096995811844
129,70.407,915,1157,451,1142,1149,8157.0,80.18934496857607,21.810969958118438
130,79.637,991,966,320,1097,846,8157.0,80.19038962436015,21.81096995811844
131,76.032,1122,1097,145,982,977,8157.0,80.1914342801442,21.810969958118438
132,95.436,1184,1159,116,953,1029,8157.0,80.19247893592828,21.81096995811844
133,91.473,1328,1303,214,1050,1158,8157.0,80.19352359171235,21.81096995811844
134,86.791,1343,1318,235,1072,1179,8157.0,80.19456824749639,21.810969958118434
135,79.449,1428,1233,259,543,781,8157.0,80.19561290328046,21.810969958118438
136,74.465,1605,1410,116,366,957,8157.0,80.19665755906455,21.81096995811844
137,84.602,1605,1410,116,366,957,8157.0,80.1977022148486,21.81096995811844
138,87.15,1788,1583,194,55,1094,8157.0,80.19874687063265,21.810969958118434
139,44.509,1788,1583,194,55,1094,8157.0,80.19979152641675,21.81096995811844
140,97.777,1280,870,715,809,1510,8157.0,80.18174375982152,21.810137922587156
141,62.876,1254,844,689,783,1484,8157.0,80.18278841184528,21.810137922587156
142,13.515,1254,844,689,783,1484,8157.0,80.18383306386909,21.810137922587156
143,14.138,165,1117,412,1102,1165,8157.0,80.18592236791666,21.81013792258716
144,24.652,195,1087,381,1071,1134,8157.0,80.18696701994045,21.810137922587156
145,95.871,1086,1328,622,1312,1276,8157.0,80.18905632398801,21.810137922587156
146,100.892,1086,1120,421,1251,1000,8157.0,80.1901009760118,21.810137922587153
147,88.49,1194,1170,370,1207,1050,8157.0,80.1911456280356,21.810137922587156
