,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,110.77,5000,2932,190,2170,8195.0,77.48173135628743,10.031798381355944
1,159.768,5000,2834,89,2071,8195.0,77.48060389827963,10.030984828798326
2,79.335,5000,2835,94,2073,8195.0,77.48161120606511,10.030984828798323
3,88.882,5000,2948,204,2186,8195.0,77.47846914743684,10.030171277022513
4,126.77,5000,2927,182,2165,8195.0,77.47947645366044,10.030171277022514
5,122.113,5000,2779,35,2017,8195.0,77.48048375988407,10.030171277022514
6,93.173,5000,2744,0,1982,8195.0,77.48149106610765,10.030171277022514
7,125.939,5000,3115,371,2353,8195.0,77.47734171776753,10.029357726028449
8,165.789,5000,3115,371,2353,8195.0,77.47834902242936,10.029357726028449
9,120.683,5000,3115,371,2353,8195.0,77.47722160458585,10.02854417581607
10,149.523,5000,3115,371,2353,8195.0,77.47822890768605,10.028544175816068
11,187.444,4973,2499,245,1736,8195.0,77.47923621078627,10.02854417581607
12,106.845,4973,2499,245,1736,8195.0,77.48024351388649,10.028544175816071
13,137.648,5000,2810,727,2049,8195.0,77.48326542318713,10.028544175816071
14,105.581,5000,2836,753,2075,8195.0,77.48427272628736,10.02854417581607
15,57.98,5000,3000,1010,2239,8195.0,77.48628733248776,10.02854417581607
16,167.852,4973,2499,245,1736,8195.0,77.4791161047455,10.027730626385301
17,132.026,4971,2501,244,1739,8195.0,77.48012340628424,10.027730626385301
18,136.517,5000,2741,520,1981,8195.0,77.48213800936168,10.027730626385301
19,158.504,5000,2750,606,1989,8195.0,77.4831453109004,10.027730626385301
20,130.862,5000,2747,754,1987,8195.0,77.48415261243912,10.027730626385303
21,101.157,5000,2834,844,2074,8195.0,77.48515991397782,10.0277306263853
22,16.333,5000,2956,966,2195,8195.0,77.48616721551655,10.027730626385303
23,159.868,5000,2917,697,2157,8195.0,77.4810106089235,10.026917077736087
24,173.606,5000,2656,686,1895,8195.0,77.48201790890087,10.026917077736085
25,146.03,5000,2628,633,1868,8195.0,77.48302520887822,10.026917077736089
26,136.084,5000,2662,692,1902,8195.0,77.48403250885558,10.026917077736089
27,93.24,5000,2938,948,2177,8195.0,77.48503980883295,10.026917077736085
28,119.452,5000,2879,909,2119,8195.0,77.48604710881031,10.026917077736087
29,54.653,5000,3183,1213,2423,8195.0,77.48906900874239,10.026917077736085
30,101.622,5000,3183,1213,2423,8195.0,77.49007630871976,10.026917077736087
31,141.473,4730,2256,6,1493,8195.0,77.47887592345589,10.02610352986835
32,176.434,4728,2258,3,1496,8195.0,77.479883221872,10.026103529868347
33,143.768,5000,2940,720,2180,8195.0,77.48089052028818,10.026103529868351
34,119.685,5000,2940,720,2180,8195.0,77.48189781870433,10.02610352986835
35,109.007,5000,2549,579,1788,8195.0,77.48290511712045,10.02610352986835
36,117.057,5000,2594,624,1833,8195.0,77.48391241553658,10.02610352986835
37,124.009,5000,2669,699,1909,8195.0,77.48491971395272,10.026103529868351
38,109.672,5000,2784,814,2024,8195.0,77.48592701236888,10.02610352986835
39,114.296,5000,2910,940,2150,8195.0,77.48693431078502,10.02610352986835
40,43.876,5000,3015,1045,2254,8195.0,77.48794160920116,10.026103529868351
41,71.951,5000,3135,1173,2375,8195.0,77.4889489076173,10.02610352986835
42,36.557,5000,3183,1213,2423,8195.0,77.48995620603343,10.026103529868351
43,124.774,4725,2260,0,1498,8195.0,77.47976314506182,10.02528998278203
44,83.36,4957,2492,232,1730,8195.0,77.48077044191687,10.025289982782029
45,134.122,4957,2492,259,1730,8195.0,77.48177773877192,10.02528998278203
46,143.336,4870,2407,437,1646,8195.0,77.48278503562697,10.025289982782029
47,97.963,4954,2491,521,1730,8195.0,77.48379233248203,10.02528998278203
48,138.645,4997,2698,728,1938,8195.0,77.48479962933706,10.025289982782029
49,107.111,4925,2783,813,2023,8195.0,77.48580692619211,10.02528998278203
50,78.903,4982,2895,929,2134,8195.0,77.48681422304718,10.025289982782029
51,64.899,5000,2953,991,2193,8195.0,77.48782151990221,10.025289982782029
52,94.737,5000,3118,1156,2357,8195.0,77.48882881675726,10.025289982782029
53,1.896,5000,3178,1215,2417,8195.0,77.48983611361231,10.02528998278203
54,86.753,4808,2332,187,1570,8195.0,77.47662119263309,10.024476436477062
55,101.123,4702,2226,38,1464,8195.0,77.47762848792716,10.024476436477062
56,135.885,4646,2171,97,1409,8195.0,77.47863578322125,10.024476436477062
57,106.612,4552,2083,3,1320,8195.0,77.47964307851535,10.024476436477062
58,131.327,4936,2473,304,1712,8195.0,77.48165766910354,10.024476436477062
59,114.695,4837,2373,403,1613,8195.0,77.48266496439763,10.024476436477062
