,POP_2015,community_space,health_wellbeing,ID_HDC_G0,lng,lat
0,112.201,1843,520,8203.0,77.3477526729709,9.092649339708103
1,101.525,1843,520,8203.0,77.34764429163357,9.091836646307286
2,119.435,1975,216,8203.0,77.3516666607585,9.091836646307286
3,187.528,1975,216,8203.0,77.35155828389719,9.09102395361246
4,130.322,1758,0,8203.0,77.35144991714805,9.090211261623557
5,104.37,1622,375,8203.0,77.34530803218189,9.089398570340512
6,163.894,1758,0,8203.0,77.35134156051093,9.089398570340514
7,201.716,1901,143,8203.0,77.35234714856576,9.089398570340512
8,110.305,1901,143,8203.0,77.35335273662062,9.089398570340514
9,54.081,1733,532,8203.0,77.34117734752262,9.088585879763263
10,135.063,1733,532,8203.0,77.34218293416893,9.088585879763265
11,162.279,1483,237,8203.0,77.34519969410786,9.088585879763267
12,126.353,1483,237,8203.0,77.34620528075418,9.088585879763267
13,131.551,1901,143,8203.0,77.352238800632,9.088585879763267
14,162.981,1901,143,8203.0,77.35324438727832,9.088585879763265
15,1.124,1733,532,8203.0,77.34106902519319,9.087773189891747
16,80.033,1733,532,8203.0,77.34207461043108,9.087773189891747
17,202.102,1455,209,8203.0,77.34509136614481,9.087773189891747
18,143.877,1455,209,8203.0,77.34609695138273,9.087773189891747
19,126.74,1323,0,8203.0,77.34710253662062,9.087773189891747
20,125.089,1323,0,8203.0,77.34810812185853,9.087773189891747
21,193.604,1461,296,8203.0,77.35011929233434,9.087773189891747
22,112.974,1476,369,8203.0,77.35112487757225,9.087773189891747
23,161.225,1290,32,8203.0,77.34699421595192,9.086960500725894
24,135.73,1290,32,8203.0,77.34799979978155,9.086960500725894
25,199.785,1330,256,8203.0,77.3490053836112,9.086960500725894
26,153.71,1390,292,8203.0,77.35001096744081,9.086960500725894
27,182.823,1450,389,8203.0,77.35101655127045,9.086960500725894
28,154.237,1584,531,8203.0,77.3520221351001,9.086960500725894
29,41.614,1584,531,8203.0,77.35302771892972,9.086960500725894
30,72.272,1423,288,8203.0,77.34185799328672,9.08614781226564
31,157.854,1423,288,8203.0,77.34286357570821,9.086147812265637
32,128.32,1270,68,8203.0,77.34487474055122,9.08614781226564
33,141.805,1180,15,8203.0,77.34688590539422,9.08614781226564
34,121.753,1172,7,8203.0,77.3478914878157,9.086147812265638
35,151.392,1245,171,8203.0,77.34889707023719,9.086147812265638
36,191.953,1330,256,8203.0,77.34990265265868,9.08614781226564
37,198.029,1376,405,8203.0,77.3509082350802,9.086147812265637
38,161.857,1538,565,8203.0,77.3519138175017,9.08614781226564
39,22.37,1538,565,8203.0,77.3529193999232,9.086147812265638
40,125.37,1423,288,8203.0,77.34174969987993,9.085335124510918
41,139.066,1423,288,8203.0,77.3427552808934,9.085335124510916
42,157.327,1205,3,8203.0,77.3447664429204,9.085335124510918
43,123.193,1010,0,8203.0,77.34778318596084,9.085335124510916
44,122.104,1243,169,8203.0,77.34878876697434,9.085335124510916
45,149.004,1289,358,8203.0,77.35079992900133,9.085335124510918
46,146.441,1097,104,8203.0,77.34465815540005,9.084522437461663
47,199.925,1097,104,8203.0,77.34566373500566,9.084522437461663
48,146.897,998,0,8203.0,77.34666931461128,9.084522437461663
49,104.264,980,30,8203.0,77.34767489421688,9.084522437461665
50,99.769,1073,0,8203.0,77.3486804738225,9.084522437461661
51,190.303,1138,470,8203.0,77.34253872159435,9.083709751117812
52,159.329,1138,470,8203.0,77.34354429979223,9.08370975111781
53,160.277,1017,184,8203.0,77.3445498779901,9.083709751117814
54,171.866,1017,207,8203.0,77.34555545618795,9.083709751117814
55,169.092,1032,207,8203.0,77.34656103438581,9.083709751117814
56,125.862,883,19,8203.0,77.34756661258369,9.083709751117812
57,145.668,1067,232,8203.0,77.34957776897942,9.083709751117814
58,191.216,1083,215,8203.0,77.35058334717728,9.08370975111781
59,176.361,1124,175,8203.0,77.35158892537514,9.083709751117814
60,171.971,1288,77,8203.0,77.35259450357302,9.08370975111781
61,130.041,1138,470,8203.0,77.34243045710984,9.0828970654793
62,146.968,1138,470,8203.0,77.3434360339001,9.082897065479303
63,162.138,984,217,8203.0,77.34444161069037,9.082897065479301
64,189.109,956,256,8203.0,77.34544718748059,9.0828970654793
65,119.857,975,279,8203.0,77.34645276427084,9.0828970654793
66,126.845,816,86,8203.0,77.3474583410611,9.082897065479301
67,148.126,949,166,8203.0,77.34846391785136,9.0828970654793
68,208.74,949,166,8203.0,77.34946949464162,9.082897065479301
69,114.132,958,189,8203.0,77.35047507143186,9.082897065479303
70,126.845,1211,0,8203.0,77.35148064822212,9.0828970654793
71,151.287,1211,0,8203.0,77.35248622501237,9.082897065479303
72,140.295,874,299,8203.0,77.34433335350073,9.08208438054606
73,186.37,874,299,8203.0,77.3453389288835,9.082084380546062
74,169.548,674,98,8203.0,77.34634450426627,9.082084380546062
75,160.031,742,160,8203.0,77.34735007964903,9.082084380546064
76,193.288,920,196,8203.0,77.34835565503182,9.08208438054606
77,143.561,913,144,8203.0,77.34936123041459,9.082084380546064
78,154.834,930,161,8203.0,77.35036680579735,9.082084380546062
79,183.244,1113,97,8203.0,77.35137238118013,9.082084380546064
80,140.646,1113,97,8203.0,77.35237795656288,9.08208438054606
81,128.671,561,13,8203.0,77.34623625437193,9.081271696318032
82,151.322,521,35,8203.0,77.34724182834736,9.081271696318032
83,154.729,814,0,8203.0,77.3492529762982,9.081271696318032
84,151.252,866,97,8203.0,77.35025855027364,9.081271696318034
85,169.934,1113,97,8203.0,77.35226969822445,9.081271696318032
86,119.681,474,106,8203.0,77.35327527219988,9.081271696318034
87,124.914,474,106,8203.0,77.35428084617529,9.081271696318032
88,87.338,511,19,8203.0,77.34612801458773,9.080459012795139
