,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,28.158,4384,4274,4008,1956,2037,4252,8294.0,77.79977587772753,9.485264007396719
1,79.382,3901,3792,3526,1473,1555,3769,8294.0,77.80078216739074,9.48526400739672
2,56.755,3886,3776,3510,1399,1480,3754,8294.0,77.80178845705397,9.48526400739672
3,60.818,3886,3776,3510,1399,1480,3754,8294.0,77.80279474671721,9.48526400739672
4,97.049,4114,4004,3738,458,1002,3982,8294.0,77.80983877435976,9.48526400739672
5,101.607,4081,3972,3705,566,969,3949,8294.0,77.810845064023,9.48526400739672
6,19.721,4022,3912,3646,58,910,3890,8294.0,77.81285764334945,9.48526400739672
7,67.738,4022,3912,3646,58,910,3890,8294.0,77.81386393301267,9.48526400739672
8,12.376,3963,3854,3587,0,851,3831,8294.0,77.81487022267589,9.485264007396719
9,28.578,4384,4274,4008,1956,2037,4252,8294.0,77.79966201436231,9.484450965362164
10,31.295,3863,3753,3487,1435,1516,3731,8294.0,77.8006683025528,9.484450965362164
11,61.715,3882,3773,3506,1454,1535,3750,8294.0,77.80167459074325,9.484450965362164
12,10.77,3813,3703,3437,1384,1466,3681,8294.0,77.80268087893373,9.484450965362164
13,0.0,4118,4009,3742,1167,1248,3986,8294.0,77.80368716712421,9.484450965362162
14,0.0,4118,4009,3742,1167,1248,3986,8294.0,77.80469345531468,9.484450965362166
15,75.839,4061,3952,3685,522,949,3929,8294.0,77.80972489626707,9.484450965362164
16,100.828,4009,3900,3633,594,897,3877,8294.0,77.81073118445755,9.484450965362164
17,96.505,3982,3873,3606,586,870,3850,8294.0,77.81173747264802,9.484450965362164
18,44.285,3929,3820,3554,33,818,3798,8294.0,77.81375004902897,9.484450965362164
19,71.611,3963,3854,3587,0,851,3831,8294.0,77.81475633721945,9.484450965362164
20,60.44,4233,4124,3857,1805,1886,4101,8294.0,77.7985418745052,9.483637924065196
21,4.322,4233,4124,3857,1805,1886,4101,8294.0,77.79954816122306,9.483637924065198
22,72.178,3921,3812,3546,1493,1575,3790,8294.0,77.80055444794093,9.483637924065198
23,93.435,3837,3728,3461,1409,1490,3705,8294.0,77.80156073465876,9.483637924065198
24,19.06,3711,3601,3335,1283,1364,3579,8294.0,77.80256702137665,9.483637924065196
25,42.419,3972,3862,3596,622,860,3840,8294.0,77.80961102840166,9.483637924065198
