,POP_2015,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,142.113,1587,1732,1585,1893,1906,8533.0,79.2100896881492,11.981836773918108
1,93.038,1587,1732,1585,1893,1906,8533.0,79.2111011239585,11.981836773918108
2,130.282,1587,1732,1585,1893,1906,8533.0,79.20994189999685,11.981021158613308
3,68.903,1587,1732,1585,1893,1906,8533.0,79.21095333391905,11.981021158613308
4,195.447,1331,1375,1228,1637,1549,8533.0,79.20863492603677,11.97938993083008
5,74.866,1953,829,1459,2685,1780,8533.0,79.19938431790855,11.978574318351525
6,72.5,1893,890,1399,2625,1720,8533.0,79.20039574617024,11.978574318351525
7,103.213,1815,968,1321,2547,1642,8533.0,79.20140717443192,11.978574318351527
8,54.706,1665,933,1171,2397,1492,8533.0,79.2024186026936,11.978574318351525
9,121.338,1359,1348,1201,1665,1522,8533.0,79.20848717226379,11.978574318351525
10,40.13,1230,1477,1329,1536,1651,8533.0,79.20949860052548,11.978574318351525
11,190.762,1230,1477,1329,1536,1651,8533.0,79.21051002878717,11.978574318351525
12,112.772,2022,761,1528,2754,1849,8533.0,79.19923659194497,11.977758706814912
13,122.284,1953,829,1459,2685,1780,8533.0,79.20024801832012,11.977758706814912
14,111.211,1815,968,1321,2547,1642,8533.0,79.20125944469525,11.977758706814912
15,79.788,1666,932,1172,2398,1493,8533.0,79.20227087107038,11.977758706814912
16,146.467,1317,970,823,2049,1144,8533.0,79.2053051501958,11.97775870681491
17,113.482,1314,967,820,2046,1141,8533.0,79.20631657657094,11.97775870681491
18,43.301,1475,1231,1084,1781,1405,8533.0,79.20732800294606,11.977758706814912
19,29.104,1475,1231,1084,1781,1405,8533.0,79.2083394293212,11.97775870681491
20,10.506,1230,1477,1329,1536,1651,8533.0,79.20935085569634,11.977758706814912
21,173.678,2512,0,2018,3244,2339,8533.0,79.19706602783296,11.97694309622018
22,193.128,2155,628,1661,2887,1982,8533.0,79.19908887681038,11.97694309622018
23,247.219,1743,963,1249,2475,1571,8533.0,79.20313457476527,11.976943096220179
24,140.125,1314,967,820,2046,1141,8533.0,79.20515742374269,11.976943096220179
25,113.245,1199,852,705,2160,1026,8533.0,79.2061688482314,11.97694309622018
26,148.407,623,929,929,929,1609,8533.0,79.21426024414117,11.97694309622018
27,173.394,623,929,929,929,1609,8533.0,79.21527166862987,11.97694309622018
28,32.843,2402,250,1908,3134,2230,8533.0,79.19590690469731,11.976127486567256
29,103.166,2437,75,1943,3169,2264,8533.0,79.19691832729974,11.97612748656725
30,193.222,2352,160,1858,3084,2179,8533.0,79.19792974990219,11.976127486567254
31,207.893,2155,628,1661,2887,1982,8533.0,79.1989411725046,11.976127486567254
32,67.578,1703,809,1209,2434,1530,8533.0,79.20197544031193,11.97612748656725
33,168.803,1646,866,1152,2378,1473,8533.0,79.20298686291437,11.976127486567254
34,164.071,1199,852,705,2160,1026,8533.0,79.20500970811923,11.976127486567254
35,21.627,1199,852,705,2160,1026,8533.0,79.20602113072168,11.976127486567252
36,51.772,595,957,957,957,1581,8533.0,79.21411251154117,11.976127486567256
37,107.235,609,943,943,943,1595,8533.0,79.21512393414359,11.97612748656725
38,146.656,1330,221,221,221,2316,8533.0,79.22119246975824,11.976127486567252
