,POP_2015,active_living,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,141.705,2057,1362,774,2055,8553.0,80.16992253629128,16.104340749640542
1,95.19,2098,1404,800,2012,8553.0,80.1709452879454,16.104340749640542
2,65.673,2132,1438,834,1978,8553.0,80.17074018254377,16.103519504201465
3,148.984,974,460,677,1854,8553.0,80.16480618734215,16.10023453541848
4,54.274,594,366,622,1778,8553.0,80.16255568273867,16.09941329646569
5,119.427,1397,703,81,1679,8553.0,80.167669362524,16.099413296465688
6,138.105,340,620,876,2025,8553.0,80.1603052005229,16.098592058809935
7,130.026,340,620,876,2025,8553.0,80.16132793386431,16.09859205880993
8,77.352,567,339,595,1750,8553.0,80.16235066720573,16.098592058809935
9,87.631,757,242,498,1659,8553.0,80.16439613388856,16.09859205880993
10,119.267,1311,617,13,1601,8553.0,80.16746433391283,16.09859205880993
11,160.023,1397,703,81,1679,8553.0,80.16848706725425,16.098592058809935
12,80.152,295,617,865,2014,8553.0,80.1601002021455,16.097770822451146
13,174.822,328,617,865,2014,8553.0,80.16112293287142,16.097770822451146
14,129.466,447,459,715,1864,8553.0,80.16214566359734,16.097770822451146
15,14.598,698,191,447,1602,8553.0,80.16316839432329,16.097770822451146
16,90.191,622,108,364,1524,8553.0,80.16419112504921,16.097770822451146
17,156.944,900,238,387,1547,8553.0,80.16521385577514,16.097770822451146
18,82.671,1316,622,0,1598,8553.0,80.16725931722699,16.097770822451146
19,72.599,1759,793,841,1215,8553.0,80.17032750940477,16.097770822451146
20,81.551,1872,906,954,1309,8553.0,80.1713502401307,16.097770822451146
21,79.872,1916,950,998,1352,8553.0,80.17237297085663,16.097770822451146
22,43.595,2061,1095,1143,1493,8553.0,80.17339570158255,16.097770822451146
23,114.748,204,561,809,1958,8553.0,80.15989521569209,16.09694958738925
24,171.982,237,496,744,1893,8553.0,80.16091794380269,16.09694958738925
25,174.662,339,403,651,1800,8553.0,80.16194067191327,16.09694958738925
26,38.396,394,307,555,1704,8553.0,80.16296340002386,16.09694958738925
27,71.153,613,101,357,1505,8553.0,80.16398612813444,16.09694958738925
28,152.904,702,0,256,1416,8553.0,80.16500885624504,16.09694958738925
29,153.704,1094,400,233,1410,8553.0,80.16603158435561,16.09694958738925
30,73.592,1092,398,223,1400,8553.0,80.16705431246622,16.096949587389247
31,132.626,1347,386,429,1325,8553.0,80.16807704057679,16.09694958738925
32,147.065,1571,606,654,1261,8553.0,80.16909976868737,16.09694958738925
33,120.121,1601,635,683,1261,8553.0,80.17012249679797,16.09694958738925
34,180.301,1748,783,830,1198,8553.0,80.17114522490856,16.09694958738925
35,82.111,1910,944,992,1334,8553.0,80.17216795301916,16.09694958738925
36,51.115,2025,1059,1107,1430,8553.0,80.17319068112973,16.09694958738925
37,26.317,2226,1148,1308,1458,8553.0,80.17523613735091,16.09694958738925
38,191.1,133,653,901,2050,8553.0,80.15969024116244,16.096128353624167
39,153.464,109,598,846,1990,8553.0,80.16071296665784,16.096128353624167
40,157.783,339,363,611,1760,8553.0,80.16173569215321,16.096128353624167
41,171.782,410,291,539,1688,8553.0,80.16275841764863,16.096128353624167
42,154.944,597,105,359,1513,8553.0,80.16378114314402,16.096128353624167
43,143.345,756,58,202,1357,8553.0,80.16480386863942,16.096128353624167
44,129.026,1092,398,223,1400,8553.0,80.16582659413484,16.096128353624167
45,135.266,1144,441,217,1380,8553.0,80.16684931963023,16.096128353624167
46,134.266,1347,386,429,1325,8553.0,80.16787204512563,16.096128353624163
47,145.945,1475,510,558,1261,8553.0,80.16889477062104,16.096128353624163
48,146.865,1538,572,620,1247,8553.0,80.16991749611643,16.096128353624167
49,212.498,1683,717,765,1112,8553.0,80.17094022161183,16.09612835362417
50,160.583,1763,798,845,1170,8553.0,80.17196294710723,16.096128353624167
51,61.594,1911,945,993,1313,8553.0,80.17298567260264,16.096128353624167
52,126.227,20,722,970,1946,8553.0,80.15948527855626,16.095307121155827
53,164.743,82,673,960,1855,8553.0,80.16050800143663,16.095307121155827
54,187.78,535,328,732,1708,8553.0,80.16153072431698,16.095307121155827
55,163.583,538,240,411,1560,8553.0,80.16255344719734,16.095307121155827
56,150.584,638,179,345,1489,8553.0,80.1635761700777,16.095307121155823
57,148.384,771,188,178,1327,8553.0,80.16459889295807,16.095307121155827
58,122.627,915,221,73,1233,8553.0,80.16562161583843,16.095307121155827
59,177.861,1087,284,169,1223,8553.0,80.1666443387188,16.095307121155827
60,131.466,1216,253,299,1176,8553.0,80.16766706159918,16.095307121155823
61,165.423,1233,268,315,1164,8553.0,80.16868978447954,16.095307121155827
