,POP_2015,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,62.805,2716,867,1637,9135.0,85.51769313815814,24.443141582492856
1,45.064,2565,716,1486,9135.0,85.51875057663399,24.443141582492856
2,37.66,2565,716,1486,9135.0,85.51980801510983,24.443141582492853
3,49.557,2125,0,1116,9135.0,85.5272100844408,24.443141582492853
4,0.019,1926,1081,2248,9135.0,85.51522565623445,24.442303314543185
5,22.812,2819,970,1740,9135.0,85.51734052446594,24.442303314543185
6,27.825,2565,716,1486,9135.0,85.51839795858164,24.442303314543185
7,82.724,2547,697,1468,9135.0,85.5194553926974,24.442303314543185
8,71.617,2125,0,1116,9135.0,85.52685743150751,24.442303314543185
9,63.807,2556,245,1204,9135.0,85.53108716797043,24.44230331454318
10,65.485,2801,0,1140,9135.0,85.53320203620189,24.44230331454318
11,66.835,2801,0,1140,9135.0,85.53425947031762,24.44230331454319
12,0.482,1926,1081,2248,9135.0,85.51487306742895,24.441465048711407
13,19.784,2905,1055,1826,9135.0,85.51698792694057,24.441465048711414
14,28.577,2905,1055,1826,9135.0,85.51804535669638,24.44146504871141
15,57.772,1867,18,1057,9135.0,85.52438993523126,24.44146504871141
16,97.244,2801,0,1140,9135.0,85.53284937327776,24.441465048711418
17,85.154,2801,0,1140,9135.0,85.53390680303356,24.441465048711414
18,37.505,1808,963,2130,9135.0,85.51452049478935,24.44062678499745
19,50.251,1685,840,2007,9135.0,85.51557792018546,24.440626784997452
20,46.607,3125,1275,2045,9135.0,85.51875019637376,24.44062678499745
21,53.665,3125,1275,2045,9135.0,85.51980762176983,24.44062678499745
22,36.416,2075,226,996,9135.0,85.52297989795811,24.440626784997452
23,30.351,2002,152,922,9135.0,85.52403732335422,24.440626784997452
24,48.786,2030,180,894,9135.0,85.5250947487503,24.440626784997452
25,76.071,2060,210,880,9135.0,85.52615217414639,24.44062678499745
26,71.27,2781,321,979,9135.0,85.53038187573075,24.44062678499745
27,49.982,2746,186,953,9135.0,85.53249672652296,24.44062678499745
28,57.174,2746,186,953,9135.0,85.53355415191906,24.440626784997452
29,63.036,3143,0,1500,9135.0,85.54095612969171,24.440626784997452
30,81.895,3143,0,1500,9135.0,85.54201355508779,24.440626784997452
31,81.259,1679,834,2001,9135.0,85.51416793831518,24.4397885234012
32,64.617,1622,777,1944,9135.0,85.51522535935177,24.4397885234012
33,30.236,1502,657,1824,9135.0,85.51628278038834,24.4397885234012
34,77.306,1502,657,1824,9135.0,85.51734020142491,24.4397885234012
35,31.643,3125,1275,2045,9135.0,85.51839762246149,24.4397885234012
36,9.198,3125,1275,2045,9135.0,85.51945504349807,24.439788523401198
37,12.89,2067,218,988,9135.0,85.5226273066078,24.4397885234012
38,49.634,2016,166,908,9135.0,85.52368472764438,24.4397885234012
39,49.037,2030,180,894,9135.0,85.52474214868093,24.4397885234012
40,70.248,2183,333,741,9135.0,85.52579956971752,24.4397885234012
41,71.443,2776,316,984,9135.0,85.5300292538638,24.439788523401198
42,64.675,2746,186,953,9135.0,85.53214409593694,24.439788523401198
43,85.694,2746,186,953,9135.0,85.53320151697353,24.4397885234012
44,71.116,3143,0,1500,9135.0,85.54060346422955,24.439788523401198
45,72.408,3143,0,1500,9135.0,85.54166088526613,24.4397885234012
46,52.913,1614,769,1936,9135.0,85.5138153980059,24.438950263922575
47,55.169,1518,673,1840,9135.0,85.51487281468314,24.438950263922575
48,67.298,1471,625,1793,9135.0,85.51593023136041,24.438950263922575
49,53.973,1435,590,1757,9135.0,85.51698764803768,24.438950263922575
50,84.922,1410,123,1602,9135.0,85.51910248139218,24.438950263922575
51,17.551,1443,308,1481,9135.0,85.52121731474669,24.438950263922575
52,5.881,1443,308,1481,9135.0,85.52227473142395,24.438950263922575
53,37.698,2183,333,741,9135.0,85.52544698145572,24.438950263922575
54,90.823,2669,251,818,9135.0,85.52967664816474,24.438950263922575
55,72.388,2735,167,884,9135.0,85.53073406484201,24.438950263922575
56,78.058,2568,0,717,9135.0,85.53179148151925,24.438950263922575
57,70.672,2568,0,717,9135.0,85.5328488981965,24.438950263922575
58,70.576,2913,230,1270,9135.0,85.53919339826002,24.438950263922578
59,53.491,2913,230,1270,9135.0,85.5402508149373,24.438950263922575
60,44.139,1556,829,1996,9135.0,85.51346287386096,24.438112006561475
61,71.887,1489,644,1811,9135.0,85.51452028617908,24.438112006561475
62,55.323,1358,512,1680,9135.0,85.51557769849724,24.43811200656147
63,64.945,1403,436,1637,9135.0,85.51663511081537,24.438112006561468
64,66.256,1396,388,1588,9135.0,85.5176925231335,24.438112006561475
65,70.46,1371,162,1562,9135.0,85.51874993545162,24.438112006561468
66,68.108,1369,0,1561,9135.0,85.51980734776978,24.438112006561475
67,18.415,1390,256,1534,9135.0,85.5208647600879,24.438112006561475
68,24.856,1390,256,1534,9135.0,85.52192217240604,24.438112006561468
69,85.25,2577,343,726,9135.0,85.52932405863302,24.43811200656147
70,65.736,2577,343,726,9135.0,85.53038147095113,24.438112006561475
71,68.782,2568,0,717,9135.0,85.53143888326927,24.43811200656147
72,86.214,2568,0,717,9135.0,85.53249629558742,24.438112006561468
73,83.515,2913,230,1270,9135.0,85.53884076949622,24.43811200656147
74,65.177,2913,230,1270,9135.0,85.53989818181437,24.43811200656147
75,43.56,1539,846,2013,9135.0,85.51311036587985,24.43727375131782
76,79.118,1556,829,1996,9135.0,85.51416777383906,24.437273751317825
77,49.789,1226,422,1548,9135.0,85.51522518179829,24.437273751317825
78,53.819,1226,422,1548,9135.0,85.51628258975748,24.43727375131783
79,94.159,1341,366,1533,9135.0,85.5173399977167,24.43727375131783
80,66.372,1274,259,1466,9135.0,85.51839740567594,24.437273751317825
81,51.948,1272,329,1464,9135.0,85.51945481363515,24.43727375131782
82,55.728,1251,117,1443,9135.0,85.52051222159434,24.43727375131782
83,53.8,1251,117,1443,9135.0,85.52156962955358,24.437273751317825
84,72.485,2448,120,597,9135.0,85.5310863011865,24.437273751317825
85,66.796,2448,120,597,9135.0,85.53214370914576,24.437273751317825
86,78.212,2511,551,867,9135.0,85.5363733409826,24.43727375131782
87,33.379,1381,840,1966,9135.0,85.512757874062,24.43643549819151
88,63.923,1274,339,1466,9135.0,85.5159300848635,24.43643549819151
89,69.342,1274,339,1466,9135.0,85.516987488464,24.436435498191514
90,69.284,1126,191,1318,9135.0,85.5180448920645,24.43643549819151
91,54.243,1272,329,1464,9135.0,85.51910229566501,24.43643549819151
92,46.723,1123,189,1315,9135.0,85.52015969926549,24.436435498191514
93,69.457,2521,529,188,9135.0,85.52967633166998,24.436435498191507
94,66.546,2329,238,478,9135.0,85.53073373527047,24.43643549819151
95,86.581,2329,238,478,9135.0,85.53179113887099,24.436435498191514
96,81.336,2511,551,867,9135.0,85.53602075327295,24.436435498191507
97,50.965,3325,641,1681,9135.0,85.54236517487594,24.436435498191514
98,20.228,1316,774,1901,9135.0,85.51240539840695,24.435597247182457
99,3.259,1176,635,1761,9135.0,85.51346279764896,24.435597247182457
100,12.36,1176,635,1761,9135.0,85.51452019689093,24.435597247182457
101,68.069,1005,464,1590,9135.0,85.51557759613291,24.435597247182464
102,40.321,1040,429,1555,9135.0,85.51663499537487,24.435597247182457
103,49.75,1108,173,1300,9135.0,85.51769239461686,24.435597247182457
104,52.681,1090,155,1282,9135.0,85.51874979385885,24.435597247182464
105,44.119,1023,88,1215,9135.0,85.51980719310082,24.43559724718246
106,58.466,2558,638,78,9135.0,85.52826638703662,24.435597247182457
107,69.708,2534,573,144,9135.0,85.52932378627862,24.435597247182457
108,74.355,2378,386,331,9135.0,85.5303811855206,24.435597247182457
109,89.338,2322,442,314,9135.0,85.53143858476258,24.435597247182457
110,76.592,2140,406,496,9135.0,85.53249598400457,24.435597247182457
111,86.484,2216,482,573,9135.0,85.53355338324653,24.435597247182457
112,63.846,3325,641,1681,9135.0,85.54201257718238,24.435597247182454
113,0.0,1176,635,1761,9135.0,85.51311033379784,24.434758998290583
