,POP_2015,active_living,community_space,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,110.904,1311,2482,1979,3052,2406,9494.0,87.06021093628478,23.25489159012733
1,68.299,1244,1353,636,1690,3579,9494.0,87.02660242300992,23.2523855407439
2,20.248,1244,1353,636,1690,3579,9494.0,87.02765385623624,23.252385540743898
3,77.127,1244,1353,636,1690,3579,9494.0,87.02731598258309,23.251550194929344
4,89.206,1396,830,1102,830,2241,9494.0,87.04519027803502,23.251550194929344
5,135.193,1370,804,1076,804,2215,9494.0,87.04624170717925,23.251550194929347
6,107.785,1604,1038,1261,1038,2140,9494.0,87.04834456546773,23.251550194929354
7,152.498,1604,1038,1261,1038,2140,9494.0,87.04939599461196,23.251550194929347
8,231.426,725,780,182,1340,3007,9494.0,87.03328667511693,23.250714851104604
9,175.25,587,449,720,1134,2675,9494.0,87.03749237536637,23.2507148511046
10,7.511,587,449,720,1134,2675,9494.0,87.03854380042876,23.2507148511046
11,182.409,1396,830,1102,830,2241,9494.0,87.04485235080296,23.250714851104608
12,191.721,1370,804,1076,804,2215,9494.0,87.04590377586531,23.250714851104604
13,100.494,1490,924,1196,924,2243,9494.0,87.04695520092768,23.250714851104604
14,170.682,1498,932,1204,932,2210,9494.0,87.04800662599008,23.250714851104604
15,31.8,1604,1038,1261,1038,2140,9494.0,87.04905805105241,23.250714851104608
16,8.741,1602,951,1123,951,2002,9494.0,87.0501094761148,23.250714851104608
17,64.566,1531,1041,1147,1041,1873,9494.0,87.05116090117717,23.250714851104604
18,3.646,1531,1041,1147,1041,1873,9494.0,87.05221232623956,23.2507148511046
19,134.314,1431,967,1072,967,1798,9494.0,87.0532637513019,23.250714851104604
20,109.059,1431,967,1072,967,1798,9494.0,87.05431517636428,23.2507148511046
21,178.324,1349,1055,1161,1055,1887,9494.0,87.05536660142666,23.250714851104604
22,63.512,1225,1180,1285,1180,1796,9494.0,87.056418026489,23.2507148511046
23,45.811,1179,1332,1408,1332,1751,9494.0,87.05746945155138,23.2507148511046
24,201.208,877,2047,1545,2617,1971,9494.0,87.06167515180086,23.2507148511046
25,69.529,783,1954,1451,2524,1877,9494.0,87.06272657686323,23.250714851104608
26,130.01,607,716,0,1223,2942,9494.0,87.0329488085987,23.249879509269586
27,49.325,462,476,494,1077,2703,9494.0,87.03610307154081,23.249879509269594
28,134.71,596,501,628,1186,2727,9494.0,87.03715449252152,23.249879509269594
29,119.512,569,430,716,1115,2657,9494.0,87.0382059135022,23.249879509269597
30,173.713,648,510,840,1195,2736,9494.0,87.03925733448291,23.249879509269594
31,51.126,685,547,882,1232,2773,9494.0,87.0403087554636,23.249879509269594
32,137.257,1231,665,937,665,2076,9494.0,87.04241159742496,23.249879509269586
33,179.378,1234,668,940,668,2078,9494.0,87.04346301840569,23.24987950926959
34,164.665,1263,697,969,697,2108,9494.0,87.04451443938639,23.249879509269594
35,148.194,1198,631,904,631,2042,9494.0,87.04556586036708,23.249879509269597
36,103.744,1326,760,1032,760,2171,9494.0,87.04661728134776,23.249879509269586
37,199.231,1399,832,1105,832,2073,9494.0,87.04766870232847,23.249879509269594
38,124.695,1453,887,1092,887,1971,9494.0,87.04872012330914,23.249879509269594
39,61.843,1459,808,979,808,1858,9494.0,87.04977154428987,23.249879509269594
40,94.169,1421,944,1050,944,1776,9494.0,87.05292580723196,23.249879509269594
41,100.143,1331,1017,1122,1017,1848,9494.0,87.05397722821264,23.249879509269594
42,80.422,1349,1055,1161,1055,1887,9494.0,87.05502864919333,23.249879509269586
43,180.081,1255,1173,1278,1173,1826,9494.0,87.05608007017402,23.249879509269597
44,186.099,1144,1297,1373,1297,1716,9494.0,87.05713149115473,23.249879509269594
45,73.921,902,1437,1374,1437,1586,9494.0,87.05818291213544,23.249879509269597
46,50.994,917,1453,1390,1453,1602,9494.0,87.05923433311612,23.249879509269586
