,ID_HDC_G0,active_living,nightlife,community_space,education,food_choices,health_wellbeing,mobility,accessibility,fifteenPopAccess,fifteenPopAl,fifteenPopN,fifteenPopCS,fifteenPopE,fifteenPopFC,fifteenPopHW,fifteenPopM,lng,lat,CTR_MN_NM,UC_NM_MN,P15,AREA,UC_NM_CTR
0,3442,583.7780151367188,768.8984985351562,480.9630126953125,456.2665100097656,374.6329956054688,499.4140167236328,389.4710083007813,499.5565665108817,139646.2106274,137338.26976430998,121096.70660688,140129.16735565002,140302.43635663,144484.90973498,131008.85758890997,137582.69631564,26.027520723991913,44.93876675645065,Romania,Ploie?ti,175454.07,40.0,"Ploie?ti, Romania"
1,3444,566.6430053710938,856.1947631835938,540.5252380371094,518.2445068359375,242.18325042724607,399.37950134277344,264.57800483703613,500.8897492544992,1499499.2284828199,1446626.40163911,1196311.8639540002,1475698.42672835,1478510.56113155,1575420.1791954201,1493183.9478150401,1587185.8497492599,26.104806674335443,44.435393587023725,Romania,Bucharest,1774128.268,252.0,"Bucharest, Romania"
2,3448,562.6300048828125,1535.7080078125,738.3200073242188,564.1699829101562,300.4140014648437,659.7890014648438,886.9299926757812,767.6347220284598,74724.57945594,77160.16110531,38081.68169687,70579.65278777,76822.2302714,82343.74799864998,75493.56392498,62837.98787684,25.96847435716379,43.86388625166817,Bulgaria,Ruse,141675.343,55.0,"Ruse, Bulgaria"
3,3449,1075.6082458496094,1244.0149536132812,1073.0810546875,677.1434936523438,396.7322540283203,681.3479919433594,620.0582580566406,898.9164316994803,118818.78258231,93148.54209412,85329.76191797,90772.25355667,127040.2417436,146708.17598379002,122681.01588783,130662.70846384,29.208137167167923,53.14869838609024,Belarus,Babruysk,197539.4007,60.0,"Babruysk, Belarus"
4,3450,785.2429809570312,1440.636962890625,621.72998046875,586.0640258789062,330.09950256347656,523.7420043945312,284.75201416015625,736.3704310825893,276999.27263764,242100.62007841,164586.83549077998,302260.19369997,275406.8026659,319053.34957978,289683.08964393,322895.63107209,30.200377391445777,55.190139573205585,Belarus,Vitebsk,354209.0381,81.0,"Vitebsk, Belarus"
5,654,721.10400390625,1094.2420043945312,843.0390014648438,661.906982421875,524.1300048828125,995.3379821777344,1722.7490234375,928.3927132742746,239562.57957818,259271.76041982,191295.20093673002,236126.80192686,260709.87850887002,284871.11815182,208631.55618144,102588.16958261,-74.18256552946266,11.230324823062963,Colombia,Santa Marta,384998.0721,46.0,"Santa Marta, Colombia"
6,656,1432.2579956054688,2465.0245361328125,589.7589874267578,890.6685180664062,1219.4999694824219,1845.8575134277344,3877.1929931640625,1850.1590096609932,53854.74750135001,80947.98762492999,35898.18634348,120196.98703405,104422.23512032,86532.5167027,49483.99748746,30010.229190550002,-81.11430167153742,32.048352358169176,United States,Savannah,139465.4384,139.0,"Savannah, United States"
7,658,1099.9044799804688,974.2050170898438,855.0604858398438,600.9749755859375,473.4319915771485,549.5609741210938,949.7705078125,798.4668709891183,245735.91493659,207283.22153907001,218858.58449068,236021.31007024,254098.98684442,252308.17843755998,247620.62235497,227739.50247319002,-76.25795599812825,20.879810018834235,Cuba,Holgu¡n,299328.7072,50.0,"Holgu¡n, Cuba"
8,659,407.7317504882813,1131.3395080566406,489.1449966430664,525.4204940795898,457.70475006103516,605.3320007324219,2150.4210205078125,970.349140712193,126770.98136544,150628.61325713998,89780.80031025,145792.37018538002,144254.7167284,145001.73259406,125563.95337646999,30871.00250709,-73.35687552784717,5.540029259168657,Colombia,Tunja,176791.9028,21.0,"Tunja, Colombia"
9,1,696.08251953125,1836.968505859375,1069.0837707519531,1040.4340209960938,811.8797454833984,1358.8709716796875,1833.9630126953125,1372.547860281808,277405.08463237004,393015.41342399,218349.68638101,337320.79010045005,348214.01347294997,353637.61660888,299976.44633251,205673.4467579,-157.8880046913395,21.336951632635056,United States,Honolulu,512853.6667,185.0,"Honolulu, United States"
